time,side,ticker_id,mv_dn_composite_labels,velocity_price_vs_etf_diff_21_df050,price_roc_5_df020,dist_lower_bb_20_2.5_df055,price_drift_21_df005
2006-08-17 00:00:00+00,SHORT,3994,0.6526930703040303,0.09052915,0.033562824,-0.22546963,0.12505855
2006-08-21 00:00:00+00,SHORT,3994,0.5036349483894199,0.10580384,0.05685324,-0.2102472,0.15566266
2006-09-15 00:00:00+00,SHORT,167,0.0,0.11175805,0.03495007,-0.2190624,0.12918288
2006-09-21 00:00:00+00,SHORT,4118,0.26927972919569704,0.08103642,0.036954444,-0.21571828,0.09448554
2006-10-10 00:00:00+00,SHORT,2064,0.3624461285912784,0.114106685,0.05061495,-0.21527767,0.15137377
2006-10-13 00:00:00+00,SHORT,557,0.17064823072169216,0.034863446,0.05614473,-0.22313257,0.0681388
2006-10-16 00:00:00+00,SHORT,557,0.0,0.02714608,0.039057657,-0.21460092,0.06412698
2006-10-16 00:00:00+00,SHORT,3343,0.0,0.06257573,0.041221373,-0.21596377,0.09955663
2006-10-16 00:00:00+00,SHORT,2042,0.6895880097749211,0.111422494,0.048447985,-0.20086697,0.1484034
2006-10-17 00:00:00+00,SHORT,192,0.0,0.06840894,0.055407114,-0.2036458,0.100723155
2006-10-18 00:00:00+00,SHORT,192,0.06540682994654147,0.06737987,0.046867028,-0.2010542,0.103644185
2006-10-18 00:00:00+00,SHORT,3286,0.0,0.11059113,0.034759358,-0.23722279,0.14685544
2006-10-18 00:00:00+00,SHORT,3918,0.29797824937202305,0.1008609,0.032839406,-0.21566802,0.13712522
2006-10-27 00:00:00+00,SHORT,3283,0.0,0.04402499,0.045941807,-0.21498437,0.07559055
2006-11-15 00:00:00+00,SHORT,2297,0.6593784106251428,0.07790618,0.046353523,-0.20577176,0.10437051
2006-11-22 00:00:00+00,SHORT,1297,0.21424441504978725,0.10809285,0.052818827,-0.21080735,0.130141
2006-11-24 00:00:00+00,SHORT,1297,0.0,0.097435094,0.051597733,-0.2022668,0.11189118
2006-11-24 00:00:00+00,SHORT,3703,0.0,0.0668432,0.034117434,-0.20164038,0.08129929
2006-11-27 00:00:00+00,SHORT,1069,0.19108064014886822,0.07905597,0.05323152,-0.20955327,0.07646194
2006-11-28 00:00:00+00,SHORT,2613,0.8333333333333334,0.07855258,0.05807478,-0.20255737,0.08660131
2006-11-28 00:00:00+00,SHORT,1069,0.0,0.0814915,0.06017224,-0.2039381,0.08954023
2006-12-06 00:00:00+00,SHORT,3198,0.08022557021306663,0.091181464,0.033766232,-0.2009788,0.11797753
2006-12-15 00:00:00+00,SHORT,2159,0.0,0.06926017,0.05288253,-0.2057564,0.085829236
2006-12-19 00:00:00+00,SHORT,3684,0.0,0.115512595,0.036144577,-0.2227826,0.12833129
2006-12-29 00:00:00+00,SHORT,1064,0.0,0.09477724,0.0513834,-0.21634689,0.10296404
2007-01-11 00:00:00+00,SHORT,502,1.0,0.0792581,0.04111111,-0.23133098,0.08449074
