time,side,ticker_id,mv_up_composite_labels,dist_lower_bb_50_2.0_df055,sessions_since_bearish_13_50_df059
2005-04-20 00:00:00+00,LONG,465,0.0,0.016958462,10.0
2005-04-20 00:00:00+00,LONG,664,0.49589533854336926,0.009109189,18.0
2005-04-20 00:00:00+00,LONG,2930,0.18944376664238174,0.0020554825,19.0
2005-04-20 00:00:00+00,LONG,3335,0.5739291169633376,0.0051749498,12.0
2005-04-20 00:00:00+00,LONG,3355,0.3375811641386448,0.016327608,17.0
2005-04-20 00:00:00+00,LONG,1840,0.4854310909692417,0.017581241,21.0
2005-04-20 00:00:00+00,LONG,3905,0.7095835310217351,0.0100701405,11.0
2005-04-21 00:00:00+00,LONG,4122,0.4085976830747575,0.02425727,20.0
2005-04-21 00:00:00+00,LONG,3905,0.7036720535912411,0.012731922,12.0
2005-04-22 00:00:00+00,LONG,4122,0.343690727552444,0.015744945,21.0
2005-04-22 00:00:00+00,LONG,142,0.5963017436912298,0.002795805,11.0
2005-04-22 00:00:00+00,LONG,3355,0.28995228505081566,0.0054242625,19.0
2005-04-22 00:00:00+00,LONG,3905,0.6433250533058478,0.009598448,13.0
2005-04-22 00:00:00+00,LONG,3912,0.4294012470266103,1.6989221E-4,25.0
2005-04-25 00:00:00+00,LONG,4122,0.36062645334729243,0.0054696784,22.0
2005-04-26 00:00:00+00,LONG,4122,0.42151343058115687,0.0099161025,23.0
2005-04-26 00:00:00+00,LONG,386,0.40915314743131065,0.031732846,6.0
2005-04-26 00:00:00+00,LONG,465,0.0,0.002124136,14.0
2005-04-27 00:00:00+00,LONG,2137,0.15753464519341415,0.015379989,26.0
2005-04-27 00:00:00+00,LONG,386,0.33927778835829436,0.01578425,7.0
2005-04-27 00:00:00+00,LONG,3098,0.46436318976258106,0.0029049695,8.0
2005-04-27 00:00:00+00,LONG,1423,0.0,0.020063527,13.0
2005-04-27 00:00:00+00,LONG,4005,1.0,0.008540126,21.0
2005-04-28 00:00:00+00,LONG,2137,0.29093892056864734,0.020438759,27.0
2005-04-28 00:00:00+00,LONG,345,1.0,0.010918542,25.0
2005-04-28 00:00:00+00,LONG,386,0.2600376192545927,0.016909458,8.0
2005-04-28 00:00:00+00,LONG,594,0.8501248371805982,0.0011552386,12.0
2005-04-28 00:00:00+00,LONG,3098,0.9615384615384616,0.0033766816,9.0
2005-04-28 00:00:00+00,LONG,3271,0.6460202454213304,0.08632203,21.0
2005-04-28 00:00:00+00,LONG,1258,0.14266991478948032,0.046420343,9.0
2005-04-28 00:00:00+00,LONG,1423,0.9761904761904762,0.027671346,14.0
2005-04-28 00:00:00+00,LONG,1807,1.0,0.037080888,19.0
2005-04-29 00:00:00+00,LONG,2133,0.8131791695060228,0.0036261578,27.0
2005-04-29 00:00:00+00,LONG,2137,0.12402880988248238,0.0038331205,28.0
2005-04-29 00:00:00+00,LONG,2548,1.0,0.06580633,28.0
2005-04-29 00:00:00+00,LONG,3271,0.6121794578258031,0.059246972,22.0
2005-04-29 00:00:00+00,LONG,3515,0.8372061403693491,0.0014823494,15.0
2005-04-29 00:00:00+00,LONG,3699,1.0,0.022432769,25.0
2005-04-29 00:00:00+00,LONG,3804,1.0,0.005790855,18.0
2005-04-29 00:00:00+00,LONG,1807,0.962962962962963,0.008184661,20.0
2005-05-02 00:00:00+00,LONG,3271,0.5828714840929035,0.020091338,23.0
2005-05-02 00:00:00+00,LONG,3378,0.24477156475331624,0.005915823,4.0
2005-05-02 00:00:00+00,LONG,3699,0.96875,0.009231169,26.0
2005-05-02 00:00:00+00,LONG,3748,1.0,0.035468306,7.0
2005-05-03 00:00:00+00,LONG,2070,0.0,0.05405838,24.0
2005-05-03 00:00:00+00,LONG,2365,0.2679575513846249,0.010801145,6.0
2005-05-03 00:00:00+00,LONG,323,0.28645018445080644,0.037566103,24.0
2005-05-03 00:00:00+00,LONG,3271,0.6424733506992161,0.021457985,24.0
2005-05-03 00:00:00+00,LONG,3378,0.2461899776151288,0.010906221,5.0
2005-05-04 00:00:00+00,LONG,2070,0.0,0.024635613,25.0
2005-05-05 00:00:00+00,LONG,2070,0.0,0.01570043,26.0
2005-05-05 00:00:00+00,LONG,1064,0.5380217189004242,0.020802343,6.0
