time,side,ticker_id,mv_dn_composite_labels,volume_spike_1_df057,dist_upper_bb_20_2.0_df055
2005-06-21 00:00:00+00,SHORT,907,0.49454082408381017,-0.05056952,-0.008478418
2005-06-22 00:00:00+00,SHORT,245,0.2766931282513203,-0.030474257,-0.01104357
2005-06-22 00:00:00+00,SHORT,413,0.4835819727063172,-0.1667303,-0.0014852362
2005-06-22 00:00:00+00,SHORT,730,0.0,-0.09890799,-0.002655073
2005-06-22 00:00:00+00,SHORT,2999,0.4235919789603007,-0.14258747,0.0076624244
2005-06-22 00:00:00+00,SHORT,1927,0.6885107414441294,-0.12226263,-0.0036683308
2005-06-23 00:00:00+00,SHORT,413,0.3394426264884169,-0.00486204,-0.011595665
2005-06-23 00:00:00+00,SHORT,1816,0.17399030173167704,-0.098522805,0.0036205256
2005-06-24 00:00:00+00,SHORT,1816,0.11413893461169916,-0.17316553,-0.0076071303
2005-06-28 00:00:00+00,SHORT,413,0.2808509251576811,-0.14332896,-0.010386704
2005-06-28 00:00:00+00,SHORT,457,0.03963080006923329,-0.10965537,-0.009608076
2005-06-28 00:00:00+00,SHORT,907,0.3749440040323032,-0.051300842,-0.009037211
2005-07-01 00:00:00+00,SHORT,93,0.43475835618114883,-0.022437239,-0.009856342
2005-07-01 00:00:00+00,SHORT,588,0.2001987308068306,-0.096491225,0.004846616
2005-07-07 00:00:00+00,SHORT,3903,0.5406124493558289,-0.16565387,-0.0032465425
2005-07-11 00:00:00+00,SHORT,1250,0.11673948630413597,-0.065766476,-3.5761835E-4
2005-07-11 00:00:00+00,SHORT,1816,0.0,-0.0023645046,-0.008972483
2005-07-12 00:00:00+00,SHORT,984,0.0,-0.021508232,0.0040759654
2005-07-12 00:00:00+00,SHORT,2028,0.0,-0.16804394,0.007868391
2005-07-13 00:00:00+00,SHORT,3352,1.0,-0.19074178,0.0035486612
2005-07-19 00:00:00+00,SHORT,3531,0.6071236651285105,-0.06840466,-0.009936957
2005-07-21 00:00:00+00,SHORT,3433,0.21104748966986223,-0.03149238,0.015896656
2005-07-21 00:00:00+00,SHORT,1615,0.0,-0.14868416,-0.009609349
2005-07-21 00:00:00+00,SHORT,3973,0.3527971835415313,-0.10131817,-0.010633979
2005-07-21 00:00:00+00,SHORT,4034,1.0,-0.08609272,-0.0013252918
2005-07-26 00:00:00+00,SHORT,3748,0.8333333333333334,-0.10048623,-8.2047285E-5
2005-07-28 00:00:00+00,SHORT,370,0.33965648833475115,-0.105771616,-0.0061089587
2005-07-28 00:00:00+00,SHORT,2640,0.0,-0.174728,-7.622186E-4
2005-07-29 00:00:00+00,SHORT,2638,0.0,-0.043436293,0.0033324298
2005-07-29 00:00:00+00,SHORT,730,0.058854377807013865,-0.052905634,0.024201574
2005-07-29 00:00:00+00,SHORT,1514,1.0,-0.07785577,-0.0025651674
2005-08-01 00:00:00+00,SHORT,2351,0.9090909090909091,-0.08083832,-0.0075774733
2005-08-01 00:00:00+00,SHORT,786,0.27839277063593665,-0.19262907,-0.002789218
2005-08-03 00:00:00+00,SHORT,2638,0.0,-0.04522613,-0.0074598826
2005-08-03 00:00:00+00,SHORT,3052,0.2706318670855964,-0.11277676,-4.2158065E-4
2005-08-03 00:00:00+00,SHORT,3198,0.3100617070951723,-0.046750817,7.306928E-4
2005-08-03 00:00:00+00,SHORT,1210,0.23167060115975807,-0.032463823,-0.0026050054
2005-08-03 00:00:00+00,SHORT,1333,0.3458584605134093,-0.023984294,-0.0014057079
2005-08-03 00:00:00+00,SHORT,3703,0.2442184300947241,-0.10042343,-0.010342421
2005-08-04 00:00:00+00,SHORT,3052,0.19126561857226418,-0.027034052,-0.011554929
2005-08-04 00:00:00+00,SHORT,1262,0.0,-0.11503532,-0.0019244856
2005-08-10 00:00:00+00,SHORT,1141,0.9375,-0.09886956,-0.011635434
2005-08-11 00:00:00+00,SHORT,243,0.0,-0.09863633,-0.0047892714
2005-08-11 00:00:00+00,SHORT,1063,0.6565522946881533,-0.023505298,0.0012779027
2005-08-11 00:00:00+00,SHORT,1184,0.38137831162380625,-0.065099455,0.0021667772
2005-08-11 00:00:00+00,SHORT,3420,0.46879023363521527,-0.0019828156,0.0073564174
2005-08-11 00:00:00+00,SHORT,3613,0.0,-0.15717599,0.0023948445
2005-08-11 00:00:00+00,SHORT,3831,0.18206726729262862,-0.05626082,0.0015949758
2005-08-12 00:00:00+00,SHORT,2751,0.22343106911071797,-0.11398998,-0.007562757
2005-08-15 00:00:00+00,SHORT,4000,0.0,-0.07914588,-0.010514059
2005-08-16 00:00:00+00,SHORT,1807,0.0,-0.19124424,0.0048616286
2005-08-29 00:00:00+00,SHORT,2142,0.48017796460215256,-0.0032168608,-0.01048646
2005-09-01 00:00:00+00,SHORT,870,1.0,-0.17194988,0.0012869909
2005-09-01 00:00:00+00,SHORT,3116,0.0,-0.055504218,0.0034182745
2005-09-01 00:00:00+00,SHORT,3538,0.0,-0.0074076843,-0.009234161
2005-09-01 00:00:00+00,SHORT,3613,1.0,-0.063736625,0.011039567
2005-09-06 00:00:00+00,SHORT,69,0.0,-0.17659143,-0.0074268417
2005-09-06 00:00:00+00,SHORT,2276,1.0,-0.031640723,-0.009724248
2005-09-07 00:00:00+00,SHORT,1076,0.4357081590624795,-0.11940504,0.0059147007
2005-09-08 00:00:00+00,SHORT,2095,0.5055051885223582,-0.036009602,0.021954818
2005-09-08 00:00:00+00,SHORT,2248,0.6753857445877683,-0.16178767,0.0032419194
2005-09-08 00:00:00+00,SHORT,2330,0.5564430284318844,-0.16110109,-0.01187293
2005-09-08 00:00:00+00,SHORT,1076,0.5826372385969889,-0.0694401,-0.006687617
2005-09-08 00:00:00+00,SHORT,3287,0.7709635762486385,-0.11440678,-0.008880044
2005-09-09 00:00:00+00,SHORT,2095,0.438970012886374,-0.07744881,0.001193443
2005-09-09 00:00:00+00,SHORT,2440,0.46604191243343696,-0.09167263,0.00611981
2005-09-09 00:00:00+00,SHORT,3124,0.897953272333224,-0.16071428,-0.009645473
2005-09-09 00:00:00+00,SHORT,1299,0.5170311403594415,-0.087151274,-0.0024919298
2005-09-12 00:00:00+00,SHORT,3127,0.44999999999999996,-0.11161731,-0.0030824821
2005-09-12 00:00:00+00,SHORT,1299,0.38453418035454523,-0.1460916,-0.011167003
2005-09-12 00:00:00+00,SHORT,3443,0.7421731434340275,-0.1400416,-5.824577E-4
2005-09-12 00:00:00+00,SHORT,3501,0.0,-0.1524229,-0.006922388
2005-09-12 00:00:00+00,SHORT,1960,1.0,-0.14375342,0.0046147187
2005-09-13 00:00:00+00,SHORT,3244,0.2200524485569754,-0.14340463,-0.0112819085
2005-09-13 00:00:00+00,SHORT,1330,1.0,-0.047403187,-0.0070844498
2005-09-13 00:00:00+00,SHORT,1767,0.43218288509167674,-0.11699621,-0.0013556662
2005-09-13 00:00:00+00,SHORT,3973,0.9089600274601755,-0.002705953,-0.0043062717
2005-09-14 00:00:00+00,SHORT,3359,0.24276892115173632,-0.1222186,6.3336804E-4
2005-09-14 00:00:00+00,SHORT,1383,0.0,-0.08506142,-0.009487599
2005-09-14 00:00:00+00,SHORT,3824,0.6230215339616383,-0.08836784,-0.0070316945
2005-09-15 00:00:00+00,SHORT,3824,0.5750978201213767,-0.006507569,-0.00610864
2005-09-19 00:00:00+00,SHORT,1888,0.6600124987199114,-0.09647808,-0.00661156
2005-09-20 00:00:00+00,SHORT,2716,0.0,-0.18665579,-0.0035136212
2005-09-21 00:00:00+00,SHORT,1888,0.4915433918433163,-0.1638484,-0.010002378
2005-09-23 00:00:00+00,SHORT,2716,0.0,-0.04450494,-0.005145951
2005-09-23 00:00:00+00,SHORT,675,0.6352147068915088,-0.023912577,-0.009093368
2005-09-30 00:00:00+00,SHORT,4169,0.0,-0.12062322,-0.0053418833
2005-09-30 00:00:00+00,SHORT,498,0.6196448260023587,-0.042362,-0.009070019
2005-09-30 00:00:00+00,SHORT,3255,0.3114927048252305,-0.025550315,-4.205762E-4
2005-09-30 00:00:00+00,SHORT,3811,0.05871772391149543,-0.11314681,-0.0011267368
2005-10-03 00:00:00+00,SHORT,4237,0.09244980855164225,-0.057392783,-0.008844762
2005-10-03 00:00:00+00,SHORT,220,0.6555241429718353,-0.037552204,0.0078098443
2005-10-03 00:00:00+00,SHORT,475,0.0,-0.053575866,-0.0083651515
2005-10-03 00:00:00+00,SHORT,602,1.0,-0.027452596,-0.0021251182
2005-10-03 00:00:00+00,SHORT,1826,1.0,-0.049122028,-0.0115971
