time,side,ticker_id,mv_up_composite_labels,joint_fall_flag_21_10_df042,dist_lower_bb_50_2.0_df055
2005-07-07 00:00:00+00,LONG,1633,0.4624275828903112,0.0,0.022768917
2005-07-11 00:00:00+00,LONG,2285,0.168292192445789,0.0,0.12458496
2005-07-12 00:00:00+00,LONG,2285,0.14130554758072641,0.0,0.07943495
2005-07-13 00:00:00+00,LONG,2285,0.1156830309725133,0.0,0.035824094
2005-07-14 00:00:00+00,LONG,3773,0.0,0.0,0.13756762
2005-07-15 00:00:00+00,LONG,3773,0.0,0.0,0.07585077
2005-07-18 00:00:00+00,LONG,3773,0.0,0.0,0.04213985
2005-07-21 00:00:00+00,LONG,684,0.0,0.0,0.14460981
2005-07-22 00:00:00+00,LONG,684,0.0,0.0,0.103386775
2005-07-25 00:00:00+00,LONG,2686,0.648012469920028,0.0,0.053800095
2005-07-25 00:00:00+00,LONG,684,0.0,0.0,0.072828725
2005-07-26 00:00:00+00,LONG,2686,0.6377743397126253,0.0,0.01807016
2005-07-26 00:00:00+00,LONG,684,0.0,0.0,0.032175153
2005-07-28 00:00:00+00,LONG,4194,1.0,0.0,0.01735523
2005-07-28 00:00:00+00,LONG,3531,0.694770770808545,0.0,0.025793023
2005-07-29 00:00:00+00,LONG,2504,0.0,0.0,0.11434604
2005-07-29 00:00:00+00,LONG,3531,0.5987243398944982,0.0,0.017147379
2005-08-01 00:00:00+00,LONG,2504,0.0,0.0,0.051180195
2005-08-02 00:00:00+00,LONG,1064,0.0,0.0,0.01524101
2005-08-08 00:00:00+00,LONG,2778,0.0,0.0,0.049599305
2005-08-08 00:00:00+00,LONG,3621,0.2282085577850403,0.0,0.03959158
2005-08-09 00:00:00+00,LONG,2778,0.26583515347507436,0.0,0.03408934
2005-08-09 00:00:00+00,LONG,3621,0.19999966178411377,0.0,0.026034916
2005-08-10 00:00:00+00,LONG,2778,0.0,0.0,0.020772897
2005-08-10 00:00:00+00,LONG,3621,0.15629590832044318,0.0,0.022464698
2005-08-12 00:00:00+00,LONG,3882,0.07327951809272867,0.0,0.052041538
2005-08-19 00:00:00+00,LONG,3586,0.5985302269106966,0.0,0.029567346
2005-08-19 00:00:00+00,LONG,3994,0.868421052631579,0.0,0.014403286
2005-08-23 00:00:00+00,LONG,3586,0.5473077621057609,0.0,0.020609811
2005-08-24 00:00:00+00,LONG,3586,0.5188052087236618,0.0,0.014478356
2005-08-30 00:00:00+00,LONG,1807,1.0,0.0,0.049175613
2005-09-07 00:00:00+00,LONG,2462,0.2978283771978657,0.0,0.07485647
2005-09-08 00:00:00+00,LONG,2462,0.29007694163053566,0.0,0.06288171
2005-09-09 00:00:00+00,LONG,2462,0.2879651683110545,0.0,0.047247324
2005-09-12 00:00:00+00,LONG,2462,0.18110290237318497,0.0,0.019853288
