time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_50_2.0_df055,joint_fall_flag_1_10_df042,price_to_sales_rev_growth_zscore_universe_df073
2005-03-07 00:00:00+00,SHORT,1615,1.0,0.041676983,0.0,-0.0458
2005-03-08 00:00:00+00,SHORT,898,1.0,0.0064398367,0.0,-0.0458
2005-03-08 00:00:00+00,SHORT,903,0.5285590603134446,0.033462804,0.0,-0.0458
2005-03-08 00:00:00+00,SHORT,1022,0.9568225337664427,0.012300569,0.0,-0.0458
2005-03-08 00:00:00+00,SHORT,3275,0.46417412179545753,-1.6420614E-5,0.0,-0.0458
2005-03-08 00:00:00+00,SHORT,1404,0.8571428571428572,0.012484708,0.0,-0.0458
2005-03-08 00:00:00+00,SHORT,3539,0.6750055325703885,-7.897085E-5,0.0,-0.0458
2005-03-08 00:00:00+00,SHORT,3561,0.8116853111369149,5.0309533E-4,0.0,-0.0458
2005-03-08 00:00:00+00,SHORT,1615,0.9090909090909091,0.020639956,0.0,-0.0448
2005-03-08 00:00:00+00,SHORT,3815,1.0,-0.0039216923,0.0,-0.0458
2005-03-08 00:00:00+00,SHORT,1851,0.35727183397401724,-0.0017431491,0.0,-0.0458
2005-03-09 00:00:00+00,SHORT,903,0.37524020924203605,0.0135142505,0.0,-0.0458
2005-03-09 00:00:00+00,SHORT,1615,0.8181818181818181,0.011604644,0.0,-0.0469
2005-03-10 00:00:00+00,SHORT,2175,0.5895526355312637,0.025193239,0.0,-0.0458
2005-03-10 00:00:00+00,SHORT,2430,0.36382622078024474,-0.004144533,0.0,-0.0458
2005-03-10 00:00:00+00,SHORT,629,0.6522168064459993,0.021027887,0.0,-0.0432
2005-03-10 00:00:00+00,SHORT,903,0.36139761484571936,-0.0015495687,0.0,-0.0458
2005-03-11 00:00:00+00,SHORT,2175,0.41562277878933634,0.005150672,0.0,-0.0458
2005-03-11 00:00:00+00,SHORT,629,0.5357780265305563,0.008301621,0.0,-0.0424
2005-03-11 00:00:00+00,SHORT,2870,0.6025224093795137,-3.702899E-4,0.0,-0.046
2005-03-14 00:00:00+00,SHORT,2175,0.41724944235045125,4.531347E-4,0.0,-0.0458
2005-03-14 00:00:00+00,SHORT,629,0.5460879840797739,0.002556343,0.0,-0.0457
2005-03-14 00:00:00+00,SHORT,799,1.0,-0.004632089,0.0,-0.0458
2005-03-15 00:00:00+00,SHORT,629,0.6416329096580197,-0.0010770713,0.0,-0.0408
2005-03-15 00:00:00+00,SHORT,3915,0.6092558947612079,0.018737573,0.0,-0.0458
2005-03-15 00:00:00+00,SHORT,2042,1.0,-0.0011029597,0.0,-0.0458
2005-04-07 00:00:00+00,SHORT,3233,0.6529986639327557,-0.002176423,0.0,-0.0451
2005-04-13 00:00:00+00,SHORT,76,0.0,-0.0041897427,0.0,-0.0466
2005-04-25 00:00:00+00,SHORT,1631,0.0,0.022524491,0.0,-0.0439
2005-04-26 00:00:00+00,SHORT,1631,0.0,0.016432093,0.0,-0.0438
2005-05-03 00:00:00+00,SHORT,1631,0.0,-0.0015874648,0.0,-0.0455
2005-05-04 00:00:00+00,SHORT,558,0.601188259337888,0.0052318987,0.0,-0.0469
2005-05-05 00:00:00+00,SHORT,2961,0.055726848223251205,-0.003811508,0.0,-0.0457
2005-05-05 00:00:00+00,SHORT,1167,0.13944711867456913,-0.0011649398,0.0,-0.0457
2005-05-05 00:00:00+00,SHORT,1361,0.19008917476280035,-9.845762E-4,0.0,-0.0457
2005-05-09 00:00:00+00,SHORT,433,0.28300707077322074,0.03949864,0.0,-0.0457
2005-05-09 00:00:00+00,SHORT,3815,0.0,0.018479988,0.0,-0.0457
