time,side,ticker_id,mv_up_composite_labels,accel_price_1_df021,dist_lower_bb_50_2.0_df055,ma_cloud_diff_13_50_df007,vola_roc_21_5_df040
2006-03-13 00:00:00+00,LONG,2088,0.0,-0.026373055,-0.032858927,-0.054992393,0.50498086
2006-03-13 00:00:00+00,LONG,1673,0.9782608695652174,-0.012207518,-0.0024322532,-0.05806353,0.33749872
2006-03-22 00:00:00+00,LONG,243,0.0,0.0075907665,-0.015025106,-0.060442064,0.85747
2006-03-23 00:00:00+00,LONG,1673,0.8043478260869565,0.007975619,-0.019052638,-0.07183309,0.81136876
2006-03-27 00:00:00+00,LONG,487,1.0,0.009838458,0.0034460553,-0.07328184,0.36464953
2006-04-05 00:00:00+00,LONG,1262,0.9642857142857143,0.0031644334,0.0011421813,-0.04895342,0.74690455
2006-06-08 00:00:00+00,LONG,2105,0.4896714292334686,-0.015900496,0.011850375,-0.07686738,0.47654146
2006-06-09 00:00:00+00,LONG,684,0.0,0.0071709203,0.011922427,-0.053376187,0.32202387
2006-06-12 00:00:00+00,LONG,2105,0.5433551827301658,-0.0089111,0.02102105,-0.08888755,0.5701084
2006-06-13 00:00:00+00,LONG,2055,0.48739224337542114,-0.01292009,0.031565674,-0.08614213,0.7757372
2006-06-13 00:00:00+00,LONG,135,1.0,0.015263158,0.03062543,-0.0591463,0.5051242
2006-06-13 00:00:00+00,LONG,243,0.4859139490052772,-0.022530064,0.031709474,-0.07242658,0.65630394
2006-06-13 00:00:00+00,LONG,2619,0.0,-4.669551E-4,9.59126E-4,-0.05318848,0.3593154
2006-06-13 00:00:00+00,LONG,3283,0.6229844170847054,-0.001218819,0.049341686,-0.06957672,0.7203762
2006-06-16 00:00:00+00,LONG,2272,0.0,-0.056198392,-0.003537035,-0.07874353,0.5725788
2006-06-16 00:00:00+00,LONG,3352,0.8695652173913043,-0.052418653,-0.029967787,-0.0689583,0.63785297
2006-06-19 00:00:00+00,LONG,243,0.40877616461697547,-0.032204803,-0.022471793,-0.08423709,0.3985741
2006-06-19 00:00:00+00,LONG,498,0.0,-0.019956945,-0.02580865,-0.08802881,0.64739835
2006-06-19 00:00:00+00,LONG,897,0.0,-0.02280997,-0.020075137,-0.059085295,0.8668167
2006-06-19 00:00:00+00,LONG,4000,0.0,-0.04067745,-0.034238067,-0.04943791,0.5561987
2006-07-14 00:00:00+00,LONG,2032,1.0,0.0035810727,0.0013949404,-0.054428335,0.74184394
2006-08-02 00:00:00+00,LONG,3905,0.9666666666666667,-0.02035873,-0.032238815,-0.049568217,0.7367719
2006-08-04 00:00:00+00,LONG,1368,0.9487179487179487,-0.04657845,-0.03262897,-0.05530986,0.4010477
2006-08-07 00:00:00+00,LONG,2923,0.6108081682843287,-0.025177957,-0.027368078,-0.072894394,0.45743436
2006-08-09 00:00:00+00,LONG,2983,0.5905050613107867,0.0136830695,0.021876121,-0.062482215,0.8763868
2006-08-14 00:00:00+00,LONG,2557,0.4860824292592598,0.0149379205,-0.03510569,-0.08473195,0.4967068
2006-08-15 00:00:00+00,LONG,2196,0.9310344827586207,-0.0032812883,-0.034591608,-0.049343772,0.57702273
2006-08-15 00:00:00+00,LONG,1069,1.0,0.010596818,-0.024068266,-0.064149454,0.62583953
2006-08-25 00:00:00+00,LONG,881,0.4370826058353073,-0.0027082036,-0.0027352194,-0.0879183,0.5285839
2006-08-28 00:00:00+00,LONG,3473,0.3734754957407836,0.007603617,-0.0056020436,-0.06152729,0.32207364
2006-09-25 00:00:00+00,LONG,588,1.0,0.0117660705,-0.028927578,-0.055324607,0.54980075
2006-09-25 00:00:00+00,LONG,3236,0.6170130320006562,0.016053904,-0.0017438891,-0.066038616,0.339605
2006-09-25 00:00:00+00,LONG,3433,0.6668828169617032,-0.01851435,0.022225356,-0.06828221,0.46922398
2006-10-03 00:00:00+00,LONG,243,0.3881011239464683,-8.576567E-4,-0.01367872,-0.06090864,0.35275847
2006-10-03 00:00:00+00,LONG,3236,0.5153510620018933,-0.053149603,-0.0329449,-0.06766095,0.6927201
2006-10-04 00:00:00+00,LONG,3851,0.7869655970524237,0.017614447,0.010411384,-0.058205247,0.9151079
2006-10-06 00:00:00+00,LONG,610,0.8360655737704918,-0.025132447,-0.02834432,-0.07531246,0.542825
2006-11-07 00:00:00+00,LONG,2327,0.3147913171946528,0.0048859366,-0.03342523,-0.06786909,0.39702883
2006-11-08 00:00:00+00,LONG,2327,0.25203276419293646,-0.029381324,-0.033205464,-0.06768501,0.36455384
2006-11-09 00:00:00+00,LONG,2327,0.15383463166170297,-0.020268256,-0.013736231,-0.06818665,0.5396591
2006-11-21 00:00:00+00,LONG,3885,0.6107423584786484,0.0023505075,-0.030269768,-0.06660968,0.66501296
2007-01-05 00:00:00+00,LONG,1404,0.7421189594844843,8.9530763E-4,0.026013454,-0.056579836,0.50530875
2007-01-09 00:00:00+00,LONG,874,0.9428571428571428,-0.027875224,0.006158697,-0.08383505,0.4649414
2007-01-10 00:00:00+00,LONG,862,0.9142857142857143,0.0042328048,-0.019703168,-0.06401533,0.6748838
2007-01-10 00:00:00+00,LONG,2986,0.5129374602148191,-0.0044297953,-0.021790393,-0.051602982,0.9478963
2007-01-18 00:00:00+00,LONG,870,0.6570253506271581,-0.011817612,-0.02973216,-0.067015976,0.45614594
2007-01-23 00:00:00+00,LONG,1191,1.0,-0.012411153,0.0035775164,-0.053135224,0.39152038
2007-03-13 00:00:00+00,LONG,2543,0.725971236689903,-0.031735584,0.011236712,-0.05556156,0.3306206
2007-03-15 00:00:00+00,LONG,309,0.9772727272727273,0.004299259,-0.016190184,-0.05300698,0.6760575
2007-03-15 00:00:00+00,LONG,2543,0.5516705716720726,-0.029828664,-0.018284682,-0.06086343,0.46263066
2007-03-15 00:00:00+00,LONG,3241,0.37603328978336675,-0.008887998,-0.0055151302,-0.056527555,0.6996098
2007-03-15 00:00:00+00,LONG,3742,0.6440072557305727,0.008069694,0.0022115118,-0.055261925,0.81347895
2007-03-15 00:00:00+00,LONG,3815,0.38085659041801617,-0.018214116,0.025747912,-0.05571973,0.71507883
2007-03-15 00:00:00+00,LONG,3868,0.1885900788476497,-0.0034458232,-0.004366328,-0.05087773,0.5226853
2007-03-15 00:00:00+00,LONG,1967,0.2987886465863865,-0.001003909,0.013626108,-0.04918669,0.7756389
2007-03-16 00:00:00+00,LONG,2116,0.7,-0.012603946,-0.033296246,-0.07417949,0.46886024
2007-03-16 00:00:00+00,LONG,2543,0.5197980031428282,0.006212407,-0.024311818,-0.060659267,0.3210036
2007-03-16 00:00:00+00,LONG,2640,0.0,-0.008984803,-0.021461284,-0.054157667,0.5776755
2007-03-16 00:00:00+00,LONG,1051,0.4705574372783003,0.010845719,-0.005653573,-0.053360328,0.8460182
2007-03-16 00:00:00+00,LONG,3573,0.9393939393939394,-0.02253205,4.6440205E-4,-0.07494285,0.34189093
2007-03-16 00:00:00+00,LONG,3607,0.4857200284644273,-0.013110133,-0.003392467,-0.056328528,0.53886473
2007-03-16 00:00:00+00,LONG,3742,0.5791285317415726,-0.0069148373,-0.0019077527,-0.057450265,0.52796483
2007-03-16 00:00:00+00,LONG,3815,0.4242023959246679,0.0043846765,0.025388705,-0.05779599,0.55500245
2007-03-19 00:00:00+00,LONG,309,0.8277261606915938,-0.022263791,-0.033187937,-0.057258163,0.3316682
2007-03-19 00:00:00+00,LONG,1051,0.2640577662945263,0.0040850346,-0.025496354,-0.054585315,0.3948009
2007-03-30 00:00:00+00,LONG,1966,0.0,0.0077395616,-0.020784888,-0.066523984,0.7770632
2007-05-01 00:00:00+00,LONG,2568,0.0,0.005733409,-0.0012811953,-0.05389014,0.82859236
2007-05-02 00:00:00+00,LONG,2568,0.0,0.012396363,-0.019548701,-0.05524383,0.93359923
2007-05-15 00:00:00+00,LONG,1437,0.4094632342069695,0.0031377543,-0.004815503,-0.04892441,0.49986917
2007-06-01 00:00:00+00,LONG,1176,0.972972972972973,0.01022479,0.008310919,-0.08362975,0.7149803
2007-06-04 00:00:00+00,LONG,1817,0.0,-0.01366653,-0.020156695,-0.06777307,0.40622368
2007-06-21 00:00:00+00,LONG,1191,0.6785714285714286,0.008290681,-0.017861068,-0.05074798,0.5439751
2007-06-22 00:00:00+00,LONG,91,0.8530734263917051,-0.033638783,0.0055361553,-0.066049784,0.46972778
2007-06-22 00:00:00+00,LONG,142,0.0,0.005162173,-0.006430623,-0.05330101,0.96404797
2007-06-25 00:00:00+00,LONG,858,0.0,-0.038841665,-0.033866383,-0.053496752,0.46417287
2007-06-25 00:00:00+00,LONG,1910,0.8205128205128205,-0.0062844655,-0.02614347,-0.05273428,0.8327949
2007-06-27 00:00:00+00,LONG,4136,0.0,-0.018825,-0.02477193,-0.07788044,0.6713922
2007-06-27 00:00:00+00,LONG,356,0.0,0.02029651,-0.0057087983,-0.06840595,0.6698632
2007-06-27 00:00:00+00,LONG,3355,0.08972134854384269,0.009682905,-0.023903111,-0.07070799,0.86011726
2007-07-11 00:00:00+00,LONG,2617,1.0,0.0038988409,-0.01461438,-0.071327955,0.53797656
2007-08-08 00:00:00+00,LONG,523,0.26793077490033845,-0.040691588,-0.031698518,-0.0496319,0.817888
2007-08-08 00:00:00+00,LONG,1927,0.967741935483871,0.015839048,-0.028110903,-0.06849156,0.6663632
2007-08-09 00:00:00+00,LONG,1356,0.896551724137931,-0.02932262,-0.01878313,-0.04871691,0.6394058
2007-08-10 00:00:00+00,LONG,1356,0.25885568571776535,-0.0024565486,-0.009515493,-0.048710074,0.78937244
2007-08-13 00:00:00+00,LONG,194,0.0,-0.004584382,0.026345842,-0.07155956,0.7166047
2007-08-13 00:00:00+00,LONG,2408,0.0,-0.020072754,-0.011009703,-0.05552657,0.6107972
2007-08-14 00:00:00+00,LONG,304,0.0,-0.014096753,-0.0060201446,-0.061553784,0.44900897
2007-08-14 00:00:00+00,LONG,2408,0.0,0.0068288194,-0.0229817,-0.056558628,0.7313093
2007-08-14 00:00:00+00,LONG,1840,0.9,0.019013423,-0.022646215,-0.06428164,0.8759914
2007-08-15 00:00:00+00,LONG,397,0.39836585502647764,0.00446885,0.004428586,-0.059758175,0.46915108
2007-08-16 00:00:00+00,LONG,4112,1.0,-0.012796325,0.032569386,-0.082461275,0.48591226
2007-08-16 00:00:00+00,LONG,2567,0.0,-0.0016607646,0.03587396,-0.06532323,0.6620016
2007-08-16 00:00:00+00,LONG,1474,0.0,4.5448955E-4,0.031106863,-0.07598999,0.32318914
2007-08-16 00:00:00+00,LONG,1650,0.0,-0.0033518588,0.012013286,-0.06848462,0.51267505
2007-08-17 00:00:00+00,LONG,1,0.0,0.019994024,0.02992894,-0.050224535,0.36011058
2007-08-17 00:00:00+00,LONG,1043,0.9615384615384616,-0.005768525,0.018297562,-0.087134376,0.7594835
2007-08-17 00:00:00+00,LONG,3868,0.0,-0.0062524755,-0.025156112,-0.07374379,0.49165258
2007-08-20 00:00:00+00,LONG,2877,0.0,-0.050685063,-5.737209E-4,-0.068451606,0.3923785
2007-08-20 00:00:00+00,LONG,2936,0.0,-0.02574139,-0.03195978,-0.07527744,0.8532216
2007-08-20 00:00:00+00,LONG,1141,0.0,-0.019073192,0.013803751,-0.06486643,0.71789896
2007-08-21 00:00:00+00,LONG,3897,0.9230769230769231,-0.009771826,-0.030454423,-0.07544206,0.34948495
2007-08-23 00:00:00+00,LONG,920,0.09685092703792499,-0.01697725,-0.03473226,-0.07490022,0.65211415
2007-08-24 00:00:00+00,LONG,401,0.0,0.013778192,-0.027378367,-0.08291222,0.4548674
2007-08-28 00:00:00+00,LONG,4164,0.868421052631579,-0.0061187157,-0.017347332,-0.052559562,0.33359736
2007-08-28 00:00:00+00,LONG,3148,0.0,-0.013723175,-0.017180927,-0.058200397,0.47189772
2007-08-28 00:00:00+00,LONG,3381,0.7450980392156863,-0.021140594,-0.028677037,-0.07132948,0.3616785
2007-08-28 00:00:00+00,LONG,1740,0.38336874002273336,-0.0048728036,-0.033333406,-0.054126102,0.7006283
