time,side,ticker_id,mv_dn_composite_labels,joint_fall_flag_1_20_df042,joint_fall_flag_1_10_df042,dist_upper_bb_50_2.5_df055
2005-03-11 00:00:00+00,SHORT,629,0.5357780265305563,0.0,0.0,-0.010666618
2005-03-11 00:00:00+00,SHORT,3124,0.37353887080961895,0.0,0.0,-0.012731927
2005-03-14 00:00:00+00,SHORT,2425,0.19852216590128835,0.0,0.0,-0.018418701
2005-03-14 00:00:00+00,SHORT,629,0.5460879840797739,0.0,0.0,-0.016959708
2005-03-14 00:00:00+00,SHORT,799,1.0,0.0,0.0,-0.011882232
2005-03-14 00:00:00+00,SHORT,3343,0.7822541647676121,0.0,0.0,-0.017780643
2005-03-15 00:00:00+00,SHORT,3915,0.6092558947612079,0.0,0.0,-0.007426678
2005-03-15 00:00:00+00,SHORT,2042,1.0,0.0,0.0,-0.012528407
2005-03-21 00:00:00+00,SHORT,3293,0.3970525859066154,0.0,0.0,-0.001976315
2005-03-21 00:00:00+00,SHORT,3905,0.5397076323069038,0.0,0.0,-0.010935138
2005-03-21 00:00:00+00,SHORT,4086,0.5005101563927123,0.0,0.0,-0.016552852
2005-03-22 00:00:00+00,SHORT,3293,0.22226494094068944,0.0,0.0,-0.013331955
2005-03-22 00:00:00+00,SHORT,3531,0.6930189571393245,0.0,0.0,-0.017701473
2005-03-24 00:00:00+00,SHORT,2923,0.7426934883973229,0.0,0.0,-0.009538239
2005-03-24 00:00:00+00,SHORT,3610,0.5695715325220209,0.0,0.0,-0.020391287
2005-03-28 00:00:00+00,SHORT,4218,1.0,0.0,0.0,-0.017026916
2005-03-30 00:00:00+00,SHORT,3293,0.06517423979454019,0.0,0.0,-0.014762864
2005-04-05 00:00:00+00,SHORT,1308,0.21055685581344497,0.0,0.0,-0.009124447
2005-04-06 00:00:00+00,SHORT,2269,0.0,0.0,0.0,-0.018840753
2005-04-06 00:00:00+00,SHORT,1112,0.2377573722518458,0.0,0.0,-0.019344475
2005-04-06 00:00:00+00,SHORT,1308,0.08911169210423346,0.0,0.0,-0.020097448
2005-04-07 00:00:00+00,SHORT,444,1.0,0.0,0.0,0.006049077
2005-04-07 00:00:00+00,SHORT,1740,0.6172053034362708,0.0,0.0,-0.018124258
2005-04-08 00:00:00+00,SHORT,444,0.5881820195265718,0.0,0.0,-0.0057664877
2005-04-08 00:00:00+00,SHORT,1250,0.0,0.0,0.0,-0.011904094
2005-04-08 00:00:00+00,SHORT,3903,0.16252604697762363,0.0,0.0,-0.0043729045
2005-04-11 00:00:00+00,SHORT,2269,0.0,0.0,0.0,-0.00950337
2005-04-11 00:00:00+00,SHORT,444,0.4628760955601689,0.0,0.0,-0.011254185
2005-04-11 00:00:00+00,SHORT,1250,0.0,0.0,0.0,-0.01810009
2005-04-11 00:00:00+00,SHORT,3890,0.26140720655368604,0.0,0.0,-0.0070747905
2005-04-11 00:00:00+00,SHORT,3903,0.3063204024562732,0.0,0.0,-0.020148281
2005-04-12 00:00:00+00,SHORT,4122,1.0,0.0,0.0,-0.017373338
2005-04-12 00:00:00+00,SHORT,2269,0.0,0.0,0.0,-0.011038086
2005-04-12 00:00:00+00,SHORT,3130,0.0,0.0,0.0,-0.009738849
2005-04-12 00:00:00+00,SHORT,1171,0.30771282186318694,0.0,0.0,-0.0075285384
2005-04-12 00:00:00+00,SHORT,1250,0.0,0.0,0.0,-0.014968646
2005-04-12 00:00:00+00,SHORT,1308,0.09392814775842913,0.0,0.0,-0.017061196
2005-04-12 00:00:00+00,SHORT,4083,0.0,0.0,0.0,-0.013156092
2005-04-13 00:00:00+00,SHORT,3052,0.24627944340282562,0.0,0.0,-7.0726406E-4
2005-04-13 00:00:00+00,SHORT,1141,0.4773567617132243,0.0,0.0,-0.018333085
2005-04-13 00:00:00+00,SHORT,3612,0.8,0.0,0.0,-0.011128421
2005-04-14 00:00:00+00,SHORT,3052,0.18336868445341853,0.0,0.0,-0.012788329
2005-04-19 00:00:00+00,SHORT,3612,0.0,0.0,0.0,-0.019264113
2005-04-19 00:00:00+00,SHORT,3890,0.23913707021027214,0.0,0.0,-0.018715965
2005-04-21 00:00:00+00,SHORT,2747,1.0,0.0,0.0,-0.0037472302
2005-04-21 00:00:00+00,SHORT,2028,1.0,0.0,0.0,-0.015259752
2005-04-25 00:00:00+00,SHORT,2297,0.0,0.0,0.0,-0.005619091
2005-04-25 00:00:00+00,SHORT,1631,0.0,0.0,0.0,0.0031200151
2005-04-26 00:00:00+00,SHORT,2116,0.3308319827270729,0.0,0.0,-0.013670488
2005-04-26 00:00:00+00,SHORT,2747,0.6666666666666667,0.0,0.0,-0.013450746
2005-04-26 00:00:00+00,SHORT,1631,0.0,0.0,0.0,-0.0033215855
2005-04-29 00:00:00+00,SHORT,2116,0.1724030228044281,0.0,0.0,-0.017934883
2005-05-02 00:00:00+00,SHORT,2116,0.17696866180675738,0.0,0.0,-0.01275095
2005-05-03 00:00:00+00,SHORT,2961,0.11961145076506714,0.0,0.0,-0.010447133
2005-05-03 00:00:00+00,SHORT,1361,0.2933664969315958,0.0,0.0,-0.008361864
2005-05-03 00:00:00+00,SHORT,1631,0.0,0.0,0.0,-0.01982047
2005-05-04 00:00:00+00,SHORT,405,0.8847062333874375,0.0,0.0,-0.0109784845
2005-05-04 00:00:00+00,SHORT,2527,0.0,0.0,0.0,-0.018894155
2005-05-04 00:00:00+00,SHORT,558,0.601188259337888,0.0,0.0,-0.0049779466
2005-05-04 00:00:00+00,SHORT,2961,0.22333624918725187,0.0,0.0,0.001694752
2005-05-04 00:00:00+00,SHORT,1361,0.35297435559813267,0.0,0.0,-0.0033948757
2005-05-05 00:00:00+00,SHORT,2961,0.055726848223251205,0.0,0.0,-0.0155720655
2005-05-05 00:00:00+00,SHORT,1167,0.13944711867456913,0.0,0.0,-0.012728494
2005-05-05 00:00:00+00,SHORT,1361,0.19008917476280035,0.0,0.0,-0.014391271
2005-05-06 00:00:00+00,SHORT,2961,0.06549439098085622,0.0,0.0,-0.016852759
2005-05-06 00:00:00+00,SHORT,3199,0.0,0.0,0.0,-0.013915562
2005-05-09 00:00:00+00,SHORT,3052,0.0,0.0,0.0,-0.02030809
2005-05-09 00:00:00+00,SHORT,3815,0.0,0.0,0.0,-0.009041761
2005-05-10 00:00:00+00,SHORT,1826,0.0,0.0,0.0,-0.0069347387
2005-05-11 00:00:00+00,SHORT,3116,0.12522969413183252,0.0,0.0,-0.017753055
2005-05-11 00:00:00+00,SHORT,3882,0.8333333333333334,0.0,0.0,-0.013217195
2005-05-16 00:00:00+00,SHORT,424,0.29712706812868356,0.0,0.0,-0.0046435418
2005-05-19 00:00:00+00,SHORT,3049,0.4061963918003904,0.0,0.0,-0.017012304
2005-05-20 00:00:00+00,SHORT,2640,0.0,0.0,0.0,0.001790882
2005-05-23 00:00:00+00,SHORT,3049,0.29045253795008613,0.0,0.0,-0.017755715
2005-05-23 00:00:00+00,SHORT,3100,0.20366031235444898,0.0,0.0,-0.005981186
2005-05-23 00:00:00+00,SHORT,3130,0.43409558684342764,0.0,0.0,-0.012091615
2005-05-27 00:00:00+00,SHORT,3702,0.7906111808740817,0.0,0.0,-0.018087475
2005-05-31 00:00:00+00,SHORT,1244,1.0,0.0,0.0,-0.010867814
2005-06-02 00:00:00+00,SHORT,938,0.0,0.0,0.0,0.0067951595
2005-06-03 00:00:00+00,SHORT,4032,1.0,0.0,0.0,-0.005814549
2005-06-06 00:00:00+00,SHORT,19,0.75,0.0,0.0,-0.019226916
2005-06-07 00:00:00+00,SHORT,4197,0.9131702621057194,0.0,0.0,-0.017599646
2005-06-07 00:00:00+00,SHORT,2643,0.855118435830967,0.0,0.0,-0.0037366082
2005-06-07 00:00:00+00,SHORT,4083,1.0,0.0,0.0,-0.008434089
2005-06-09 00:00:00+00,SHORT,191,0.0,0.0,0.0,-0.0059713
2005-06-14 00:00:00+00,SHORT,4223,0.12167269913384068,0.0,0.0,-0.015751034
2005-06-14 00:00:00+00,SHORT,1908,0.06513609961897675,0.0,0.0,0.0062874015
2005-06-15 00:00:00+00,SHORT,4128,0.27932717943125407,0.0,0.0,0.0012202489
2005-06-16 00:00:00+00,SHORT,4128,0.24749145110091653,0.0,0.0,-0.008456022
2005-06-16 00:00:00+00,SHORT,356,0.3757201425148478,0.0,0.0,-0.020065755
2005-06-16 00:00:00+00,SHORT,1306,0.3243481161875476,0.0,0.0,-0.010128683
2005-06-16 00:00:00+00,SHORT,3515,0.3712509770961423,0.0,0.0,-0.019580685
2005-06-17 00:00:00+00,SHORT,4128,0.149300770539291,0.0,0.0,-0.016947178
2005-06-17 00:00:00+00,SHORT,498,0.0,0.0,0.0,-0.0056573916
2005-06-17 00:00:00+00,SHORT,903,0.054484583148280204,0.0,0.0,-0.017379323
2005-06-17 00:00:00+00,SHORT,918,0.16339291464769126,0.0,0.0,-0.015831912
2005-06-17 00:00:00+00,SHORT,1297,0.291810995073328,0.0,0.0,0.005827508
2005-06-17 00:00:00+00,SHORT,1306,0.26661748005896696,0.0,0.0,-0.015173691
2005-06-17 00:00:00+00,SHORT,1383,0.0,0.0,0.0,-0.017526297
2005-06-17 00:00:00+00,SHORT,3456,0.3643693885308772,0.0,0.0,-0.017708417
2005-06-17 00:00:00+00,SHORT,1819,0.0,0.0,0.0,-4.6113597E-5
2005-06-17 00:00:00+00,SHORT,3882,0.7932087374802296,0.0,0.0,-0.012950764
2005-06-20 00:00:00+00,SHORT,4128,0.09545859557953242,0.0,0.0,-0.018776668
2005-06-20 00:00:00+00,SHORT,498,0.0,0.0,0.0,-0.01402863
2005-06-20 00:00:00+00,SHORT,918,0.09139647115301158,0.0,0.0,-0.020423397
2005-06-20 00:00:00+00,SHORT,2993,0.0,0.0,0.0,-0.011303085
2005-06-20 00:00:00+00,SHORT,1377,0.3428708072175483,0.0,0.0,-0.014068239
2005-06-20 00:00:00+00,SHORT,1383,0.07571356505231681,0.0,0.0,-0.017314024
2005-06-20 00:00:00+00,SHORT,3573,0.0,0.0,0.0,-0.019936461
2005-06-20 00:00:00+00,SHORT,1819,0.0,0.0,0.0,-0.008392965
2005-06-20 00:00:00+00,SHORT,3882,0.6435406730365354,0.0,0.0,-0.0062376377
2005-06-21 00:00:00+00,SHORT,2351,0.0,0.0,0.0,-0.0027927298
2005-06-21 00:00:00+00,SHORT,498,0.0,0.0,0.0,-0.018935742
2005-06-21 00:00:00+00,SHORT,684,0.0645644290147913,0.0,0.0,-0.010670143
2005-06-21 00:00:00+00,SHORT,2993,0.0,0.0,0.0,-0.013743434
2005-06-21 00:00:00+00,SHORT,1377,0.29228780537181864,0.0,0.0,-0.015180978
2005-06-21 00:00:00+00,SHORT,1819,0.0,0.0,0.0,-0.012387279
2005-06-21 00:00:00+00,SHORT,3882,0.875,0.0,0.0,-0.016956696
2005-06-21 00:00:00+00,SHORT,4086,0.13480049155154594,0.0,0.0,5.012343E-5
2005-06-22 00:00:00+00,SHORT,4128,0.0,0.0,0.0,-0.020440912
2005-06-22 00:00:00+00,SHORT,1819,0.0,0.0,0.0,-0.013062751
2005-06-22 00:00:00+00,SHORT,3882,0.8,0.0,0.0,-0.01508717
2005-06-22 00:00:00+00,SHORT,4062,0.0,0.0,0.0,-0.0017207401
2005-06-23 00:00:00+00,SHORT,2116,0.22247572651856534,0.0,0.0,0.0021775996
2005-06-23 00:00:00+00,SHORT,2176,0.6969690877519389,0.0,0.0,-0.010588145
2005-06-23 00:00:00+00,SHORT,773,0.6381857883218498,0.0,0.0,-9.263956E-4
2005-06-23 00:00:00+00,SHORT,2971,0.8795418168727182,0.0,0.0,-0.019331357
2005-06-23 00:00:00+00,SHORT,2006,0.34561637383817523,0.0,0.0,-0.01801677
2005-06-24 00:00:00+00,SHORT,323,0.7030225634076364,0.0,0.0,-0.0020746163
2005-06-24 00:00:00+00,SHORT,773,0.593942479368369,0.0,0.0,-0.014091037
2005-06-27 00:00:00+00,SHORT,2159,0.15881952936227134,0.0,0.0,-0.0034968513
2005-06-28 00:00:00+00,SHORT,2159,0.1227576054116956,0.0,0.0,-0.019689137
2005-06-28 00:00:00+00,SHORT,2482,0.4369911022671174,0.0,0.0,-0.019527648
2005-06-28 00:00:00+00,SHORT,444,0.23069882644528594,0.0,0.0,-0.019179642
2005-06-28 00:00:00+00,SHORT,4062,0.0,0.0,0.0,-0.018275732
2005-06-29 00:00:00+00,SHORT,413,0.3545280134512553,0.0,0.0,-0.019024903
2005-06-30 00:00:00+00,SHORT,304,0.7162931464849414,0.0,0.0,-0.0098750135
2005-07-01 00:00:00+00,SHORT,787,1.0,0.0,0.0,-0.016893836
2005-07-01 00:00:00+00,SHORT,796,0.0,0.0,0.0,-0.0048441407
2005-07-11 00:00:00+00,SHORT,934,0.0,0.0,0.0,-0.01936914
2005-07-11 00:00:00+00,SHORT,3443,0.4475376904689488,0.0,0.0,3.1020577E-4
2005-07-11 00:00:00+00,SHORT,1762,0.0,0.0,0.0,-0.0107860565
2005-07-11 00:00:00+00,SHORT,1816,0.0,0.0,0.0,-0.01664924
2005-07-12 00:00:00+00,SHORT,28,1.0,0.0,0.0,-0.002187043
2005-07-12 00:00:00+00,SHORT,773,0.0,0.0,0.0,-0.01883752
2005-07-12 00:00:00+00,SHORT,1298,0.0,0.0,0.0,-0.01233891
2005-07-12 00:00:00+00,SHORT,3815,0.0,0.0,0.0,-0.005373589
2005-07-12 00:00:00+00,SHORT,2028,0.0,0.0,0.0,-0.017856512
2005-07-13 00:00:00+00,SHORT,2272,0.0,0.0,0.0,-0.01842192
2005-07-14 00:00:00+00,SHORT,3573,0.0,0.0,0.0,-0.011511865
2005-07-14 00:00:00+00,SHORT,2041,0.0,0.0,0.0,-0.015100494
2005-07-15 00:00:00+00,SHORT,3573,0.0,0.0,0.0,-0.019568779
