time,side,ticker_id,mv_up_composite_labels,skew_weighted_10_df037,price_drift_abs_21_df006
2005-12-28 00:00:00+00,LONG,424,0.9615384615384616,-0.6535367,0.14191328
2005-12-29 00:00:00+00,LONG,424,0.9230769230769231,-0.6882778,0.1274998
2005-12-30 00:00:00+00,LONG,424,0.8846153846153846,-0.7186509,0.1416215
2006-01-11 00:00:00+00,LONG,234,0.9545454545454546,-0.6864779,0.13234614
2006-01-19 00:00:00+00,LONG,157,0.5181099795165645,-0.6768279,0.15972789
2006-01-20 00:00:00+00,LONG,157,0.9090909090909091,-0.69892275,0.15637283
2006-02-03 00:00:00+00,LONG,76,0.1570544629132542,-0.9757005,0.16368768
2006-02-06 00:00:00+00,LONG,76,0.2759971053358642,-0.97566724,0.15691426
2006-02-08 00:00:00+00,LONG,4049,0.42910885493433903,-0.7426617,0.13076225
2006-02-14 00:00:00+00,LONG,1176,0.0,-0.7374844,0.15981433
2006-02-14 00:00:00+00,LONG,4000,0.4327135452487047,-0.83082056,0.14577632
2006-02-15 00:00:00+00,LONG,1444,0.0,-0.8924763,0.15150812
2006-02-15 00:00:00+00,LONG,4000,0.98,-0.6726975,0.15954877
2006-02-21 00:00:00+00,LONG,1176,0.12,-0.7644559,0.12607831
2006-02-21 00:00:00+00,LONG,3447,1.0,-0.7537746,0.14813979
2006-02-23 00:00:00+00,LONG,3430,0.0,-0.8220837,0.15255946
2006-02-24 00:00:00+00,LONG,3430,0.9836065573770492,-0.82972085,0.16366214
2006-02-27 00:00:00+00,LONG,3430,0.9672131147540983,-0.7017786,0.16865118
2006-03-03 00:00:00+00,LONG,1377,0.0,-0.8767317,0.12586606
2006-03-08 00:00:00+00,LONG,1719,0.0,-0.7140817,0.14407335
2006-03-08 00:00:00+00,LONG,4086,0.6500823440598269,-0.641879,0.12990914
2006-03-09 00:00:00+00,LONG,1719,0.0,-0.6407146,0.124
2006-03-09 00:00:00+00,LONG,3947,0.33230098863238655,-0.63784176,0.107074976
2006-03-10 00:00:00+00,LONG,2619,0.5222650583543641,-0.6824592,0.12728904
2006-03-28 00:00:00+00,LONG,2815,0.0,-0.83192235,0.12090813
2006-04-05 00:00:00+00,LONG,3127,0.0,-0.80970424,0.12314675
2006-04-12 00:00:00+00,LONG,780,0.0,-0.9205071,0.13764045
2006-04-13 00:00:00+00,LONG,780,0.0,-0.9193632,0.13904494
2006-04-13 00:00:00+00,LONG,2028,1.0,-0.7443628,0.119930066
2006-04-17 00:00:00+00,LONG,780,0.0,-0.8940405,0.14052288
2006-05-04 00:00:00+00,LONG,3773,0.0,-0.64447427,0.12797882
2006-05-17 00:00:00+00,LONG,3116,0.0,-0.6372833,0.118200526
2006-05-17 00:00:00+00,LONG,1396,0.0,-0.7105324,0.16003005
2006-05-18 00:00:00+00,LONG,3116,0.0,-0.68026596,0.17088428
2006-05-18 00:00:00+00,LONG,1740,0.0,-0.6390776,0.13831979
2006-05-18 00:00:00+00,LONG,1966,0.0,-0.67202425,0.120170206
2006-05-19 00:00:00+00,LONG,3116,0.0,-0.8192232,0.14628437
2006-05-22 00:00:00+00,LONG,3343,1.0,-0.88670564,0.114359416
2006-05-22 00:00:00+00,LONG,1904,0.0,-0.6618143,0.1357971
2006-05-22 00:00:00+00,LONG,1966,0.0,-0.6653769,0.13896479
2006-05-23 00:00:00+00,LONG,3343,0.9743589743589743,-0.7255044,0.10956595
2006-05-24 00:00:00+00,LONG,397,1.0,-0.7718054,0.11654774
2006-05-24 00:00:00+00,LONG,3199,0.0,-0.90564036,0.1722659
2006-05-24 00:00:00+00,LONG,1306,0.6262626957006211,-0.6751901,0.1651879
2006-05-24 00:00:00+00,LONG,3652,0.560889650551131,-0.70766085,0.12208505
2006-05-25 00:00:00+00,LONG,3199,0.0,-0.649216,0.12917271
2006-05-30 00:00:00+00,LONG,3652,0.3042443768585214,-0.9381206,0.13349581
2006-06-12 00:00:00+00,LONG,684,0.0,-0.6741957,0.16704346
2006-06-13 00:00:00+00,LONG,1303,1.0,-0.654157,0.13400534
2006-06-13 00:00:00+00,LONG,1888,1.0,-0.6426394,0.16213389
2006-06-14 00:00:00+00,LONG,2272,0.0,-0.66795325,0.16343284
2006-06-14 00:00:00+00,LONG,540,0.5997554513095575,-0.6430209,0.11551513
2006-06-14 00:00:00+00,LONG,2990,1.0,-0.73875433,0.13141367
2006-06-14 00:00:00+00,LONG,1051,0.6745425568352538,-0.6391398,0.1513526
2006-06-14 00:00:00+00,LONG,1112,1.0,-0.7834289,0.12533507
2006-06-14 00:00:00+00,LONG,3236,0.452209812157989,-0.6820401,0.15141578
2006-06-14 00:00:00+00,LONG,3271,0.0,-0.6478102,0.116852365
2006-06-14 00:00:00+00,LONG,3556,0.9545454545454546,-0.64159876,0.15807799
2006-06-14 00:00:00+00,LONG,1673,1.0,-0.8048338,0.15632755
2006-06-15 00:00:00+00,LONG,3684,0.4720612973661733,-0.7114371,0.120986685
2006-06-20 00:00:00+00,LONG,3825,0.0,-0.6718283,0.1164342
2006-06-28 00:00:00+00,LONG,835,0.7420823139406023,-0.82105917,0.11192017
2006-07-17 00:00:00+00,LONG,323,0.7475854133092142,-0.9012372,0.113293745
2006-07-17 00:00:00+00,LONG,1817,0.0,-0.90018344,0.138163
2006-07-18 00:00:00+00,LONG,234,1.0,-0.9882804,0.13545647
2006-07-18 00:00:00+00,LONG,323,0.9807692307692307,-0.79533595,0.115864865
2006-07-18 00:00:00+00,LONG,3782,1.0,-0.8111006,0.14189869
2006-07-18 00:00:00+00,LONG,1817,0.0,-0.7769467,0.13314664
2006-07-21 00:00:00+00,LONG,4224,1.0,-0.63941437,0.12511091
2006-08-09 00:00:00+00,LONG,2983,0.5905050613107867,-0.7883734,0.11323764
2006-08-11 00:00:00+00,LONG,3677,0.9565217391304348,-0.7290033,0.1438891
2006-08-11 00:00:00+00,LONG,1939,0.0,-0.76420844,0.16240588
2006-08-11 00:00:00+00,LONG,4034,0.962962962962963,-0.7330623,0.12193008
2006-08-14 00:00:00+00,LONG,558,1.0,-0.85305804,0.16897394
2006-08-14 00:00:00+00,LONG,1790,0.828175506807403,-0.65445304,0.14935988
2006-08-15 00:00:00+00,LONG,558,0.9807692307692307,-0.6710343,0.1569343
2006-08-16 00:00:00+00,LONG,1939,0.0,-0.636465,0.13997872
2006-08-17 00:00:00+00,LONG,1939,1.0,-0.88464326,0.14258529
2006-09-05 00:00:00+00,LONG,3818,1.0,-0.8092004,0.119052745
2006-09-06 00:00:00+00,LONG,3818,0.972972972972973,-0.74137515,0.11190322
2006-09-08 00:00:00+00,LONG,3613,0.0,-0.66369945,0.16246925
2006-09-12 00:00:00+00,LONG,4086,0.0,-0.7548991,0.15756665
2006-09-15 00:00:00+00,LONG,4086,0.0,-0.6507185,0.12126024
2006-09-22 00:00:00+00,LONG,158,1.0,-0.84131396,0.1695022
2006-09-25 00:00:00+00,LONG,4171,0.8480539740618457,-0.6637595,0.12813774
2006-09-25 00:00:00+00,LONG,3677,1.0,-0.815659,0.12300414
2006-09-26 00:00:00+00,LONG,3677,0.9777777777777777,-0.81384027,0.12608868
2006-09-27 00:00:00+00,LONG,3677,0.9555555555555556,-0.65644056,0.13549767
2006-09-28 00:00:00+00,LONG,4171,0.7659382328655697,-0.6436003,0.13954091
2006-09-29 00:00:00+00,LONG,3677,0.9111111111111111,-0.669812,0.13457836
2006-10-02 00:00:00+00,LONG,610,0.9016393442622951,-0.7762025,0.15883027
2006-10-03 00:00:00+00,LONG,610,0.8852459016393442,-0.68303835,0.14968336
2006-10-03 00:00:00+00,LONG,1960,1.0,-0.63625854,0.15853658
2006-10-04 00:00:00+00,LONG,323,0.0,-0.6825659,0.12664342
2006-10-04 00:00:00+00,LONG,610,0.8688524590163934,-0.78559464,0.14973883
2006-10-09 00:00:00+00,LONG,191,0.0,-0.6462629,0.10852713
2006-10-10 00:00:00+00,LONG,2961,1.0,-0.69777745,0.11094542
2006-10-10 00:00:00+00,LONG,3531,1.0,-0.80448836,0.1052506
2006-10-25 00:00:00+00,LONG,1650,0.0,-0.8239604,0.13240132
2006-11-03 00:00:00+00,LONG,2327,0.24624213844722256,-0.67119217,0.12820514
2006-11-06 00:00:00+00,LONG,2877,1.0,-0.7025546,0.17083254
2006-11-09 00:00:00+00,LONG,2993,0.0,-0.95966727,0.15552239
2006-11-09 00:00:00+00,LONG,1090,0.30442982432532706,-0.8988944,0.10748243
2006-11-10 00:00:00+00,LONG,1817,0.021358959003010606,-0.7407169,0.11503532
2006-11-13 00:00:00+00,LONG,153,0.6105143407663012,-0.69310844,0.15701929
2006-11-14 00:00:00+00,LONG,450,0.523383380051921,-0.84751165,0.16695958
2006-12-13 00:00:00+00,LONG,2297,0.9565217391304348,-0.72808903,0.11720698
2006-12-21 00:00:00+00,LONG,2066,0.0,-0.9794559,0.1697074
2006-12-21 00:00:00+00,LONG,838,0.0,-0.6687748,0.10720562
2006-12-22 00:00:00+00,LONG,2066,0.0,-0.9627304,0.17152658
2006-12-26 00:00:00+00,LONG,2066,0.0,-0.89000374,0.16769548
2006-12-27 00:00:00+00,LONG,2066,0.0,-0.8494014,0.13354701
2006-12-28 00:00:00+00,LONG,2066,0.0,-0.8741875,0.13911505
2006-12-29 00:00:00+00,LONG,2066,0.0,-0.7491004,0.14190842
2007-01-03 00:00:00+00,LONG,158,1.0,-0.69673085,0.13768116
2007-01-05 00:00:00+00,LONG,862,1.0,-0.67999464,0.11835443
2007-01-09 00:00:00+00,LONG,93,0.0,-0.8902143,0.1321567
2007-01-10 00:00:00+00,LONG,2896,0.42747883681958226,-0.7957236,0.12656964
2007-01-10 00:00:00+00,LONG,984,1.0,-0.64913565,0.13195544
2007-01-10 00:00:00+00,LONG,1298,1.0,-0.7091669,0.1380814
2007-01-10 00:00:00+00,LONG,3466,1.0,-0.65460885,0.1453619
2007-01-10 00:00:00+00,LONG,1462,0.8260310277246005,-0.6919357,0.11897919
2007-01-10 00:00:00+00,LONG,1740,0.902136824047082,-0.8987611,0.13825585
2007-01-10 00:00:00+00,LONG,1908,0.9444444444444444,-0.84239465,0.13333334
2007-01-10 00:00:00+00,LONG,4000,1.0,-0.6511389,0.13260129
2007-01-11 00:00:00+00,LONG,2896,0.793815355042908,-0.78475106,0.12987368
2007-01-11 00:00:00+00,LONG,1298,0.96875,-0.709251,0.12830882
2007-01-11 00:00:00+00,LONG,3466,0.962962962962963,-0.65394944,0.15033072
2007-01-11 00:00:00+00,LONG,1740,0.8554146301141585,-0.8930969,0.13837245
2007-01-11 00:00:00+00,LONG,1908,0.9166666666666666,-0.84239465,0.13333334
2007-01-12 00:00:00+00,LONG,2546,0.20536126778672154,-0.9528278,0.15167215
2007-01-12 00:00:00+00,LONG,2569,0.5869899416718699,-0.8002204,0.12878615
