time,side,ticker_id,mv_dn_composite_labels,skew_weighted_10_df037,vola_roc_1_5_df040,normalized_3m_df004,price_to_sales_minmax_universe_df071
2006-05-05 00:00:00+00,SHORT,3699,1.0,0.3642937,1.1303469,0.40625,0.0051
2006-05-08 00:00:00+00,SHORT,248,0.4902752144570429,0.41151437,1.6319355,0.7090909,0.0199
2006-05-08 00:00:00+00,SHORT,2661,1.0,0.45462838,0.5961427,0.25,0.0056
2006-05-08 00:00:00+00,SHORT,2665,0.852528031246247,0.44165534,0.24473366,0.0625,0.0048
2006-05-08 00:00:00+00,SHORT,780,0.75,0.43300933,-0.15238895,0.5272727,0.0222
2006-05-08 00:00:00+00,SHORT,1063,0.8953327604199559,0.46134752,-0.086689286,0.4814815,0.0191
2006-05-08 00:00:00+00,SHORT,3433,0.6894926020486967,0.3869765,0.11945069,0.8518519,0.0194
2006-05-08 00:00:00+00,SHORT,3699,0.8360878320035176,0.45372677,0.4667504,0.41935483,0.0051
2006-05-09 00:00:00+00,SHORT,2095,0.4762695857827885,0.35902473,1.043854,0.1923077,0.0202
2006-05-09 00:00:00+00,SHORT,248,0.8235294117647058,0.39731845,0.22936292,0.6981132,0.0207
2006-05-09 00:00:00+00,SHORT,323,0.85,0.36397105,-0.13664643,0.16981132,0.0198
2006-05-09 00:00:00+00,SHORT,2440,0.5139530305523916,0.41613516,0.8566578,0.34615386,0.0205
2006-05-09 00:00:00+00,SHORT,2550,0.677732099230294,0.37154427,0.8119946,0.42307693,0.0206
2006-05-09 00:00:00+00,SHORT,2661,0.9473684210526316,0.44385332,0.32789737,0.27272728,0.0057
2006-05-09 00:00:00+00,SHORT,2665,0.7344160323497132,0.37961033,0.14101721,0.05882353,0.0048
2006-05-09 00:00:00+00,SHORT,780,0.5154079281314491,0.431361,-0.059653766,0.509434,0.0231
2006-05-09 00:00:00+00,SHORT,3067,0.0,0.34245655,1.7537438,0.42105263,0.0203
2006-05-09 00:00:00+00,SHORT,1410,0.35443269015900913,0.43355337,1.3371044,0.6530612,0.0202
2006-05-09 00:00:00+00,SHORT,1761,0.7439053626780845,0.4108831,1.2685654,0.7307692,0.0202
2006-05-09 00:00:00+00,SHORT,2004,0.8009504332377197,0.3541311,-0.15802892,0.21153846,0.02
2006-05-10 00:00:00+00,SHORT,9,0.48622199392805193,0.34201443,-0.037920013,0.86,0.0202
2006-05-10 00:00:00+00,SHORT,135,0.875,0.37298512,0.7698923,0.8,0.0261
2006-05-10 00:00:00+00,SHORT,433,0.8181818181818181,0.37141082,-0.059045855,0.14634146,0.0201
2006-05-10 00:00:00+00,SHORT,2550,0.7119257566361218,0.34570625,0.1995248,0.48,0.0206
2006-05-10 00:00:00+00,SHORT,780,0.5289324411526668,0.43502194,0.6736729,0.5272727,0.0231
