time,side,ticker_id,mv_dn_composite_labels,vola_roc_5_5_df040,price_drift_5_df005,joint_fall_flag_21_20_df042,accel_price_5_df021
2006-08-03 00:00:00+00,SHORT,3283,0.4784567289832113,-0.16166526,0.08703915,0.0,0.010572927
2006-08-07 00:00:00+00,SHORT,4137,0.0,-0.32780367,0.08085977,0.0,0.014538531
2006-08-18 00:00:00+00,SHORT,3915,0.0,-0.45294517,0.08911521,0.0,0.022281984
2006-09-01 00:00:00+00,SHORT,2345,0.2783746390597746,0.2750319,0.0902958,0.0,0.0043744715
2006-09-18 00:00:00+00,SHORT,1022,0.0,-0.10321536,0.09208046,0.0,0.04618633
2006-09-18 00:00:00+00,SHORT,1090,0.2848609630015136,-0.41301653,0.085458614,0.0,-0.020402359
2006-09-21 00:00:00+00,SHORT,3915,0.595853926162827,-0.4367588,0.08603418,0.0,-0.013607827
2006-09-28 00:00:00+00,SHORT,4137,0.0,0.34981745,0.08428246,0.0,-0.03473738
2006-10-18 00:00:00+00,SHORT,3703,0.0,0.3300773,0.088176355,0.0,0.024001045
2006-10-24 00:00:00+00,SHORT,3641,0.29127958444466817,0.21298774,0.08251355,0.0,0.01388415
2006-11-08 00:00:00+00,SHORT,3693,0.0,-0.0386444,0.08449107,0.0,0.035637766
2006-11-09 00:00:00+00,SHORT,3693,0.0,-0.5218758,0.08310017,0.0,-0.001390901
2006-11-10 00:00:00+00,SHORT,3815,0.0,-0.13590111,0.08519418,0.0,0.0022888188
2006-11-28 00:00:00+00,SHORT,4137,0.19999999999999996,-0.5198714,0.08239701,0.0,0.034337856
2006-12-05 00:00:00+00,SHORT,1176,0.8333333333333334,-0.41310927,0.087901704,0.0,0.025174428
2006-12-06 00:00:00+00,SHORT,2106,0.26396504211602984,0.035889048,0.089409366,0.0,0.0074931514
2006-12-20 00:00:00+00,SHORT,191,0.8125,0.1419,0.083292015,0.0,0.026135202
2006-12-27 00:00:00+00,SHORT,2107,0.9,-0.4057696,0.08430349,0.0,-0.038025793
2006-12-27 00:00:00+00,SHORT,153,0.0,-0.13870656,0.08873457,0.0,0.015619564
2007-01-16 00:00:00+00,SHORT,938,0.0,-0.18305413,0.084397696,0.0,0.011017129
2007-02-20 00:00:00+00,SHORT,3748,0.0,-0.11471666,0.091852225,0.0,-0.0026638207
2007-02-23 00:00:00+00,SHORT,2508,0.0,-0.49477774,0.09109645,0.0,-0.014211043
2007-03-09 00:00:00+00,SHORT,3703,0.0,-0.016664363,0.08585132,0.0,0.04760922
2007-04-18 00:00:00+00,SHORT,3486,0.0,0.14241388,0.0870021,0.0,0.04108373
2007-05-22 00:00:00+00,SHORT,557,0.3626948940724477,-0.3943623,0.09128145,0.0,-0.0013111414
2007-05-29 00:00:00+00,SHORT,1523,0.0,-0.13705985,0.08221828,0.0,0.030184222
2007-06-01 00:00:00+00,SHORT,2731,0.28554841214311116,0.26613864,0.083555,0.0,0.040627267
2007-06-05 00:00:00+00,SHORT,502,0.0,0.23031573,0.08588514,0.0,0.0017293704
2007-06-06 00:00:00+00,SHORT,88,0.0,-0.041658923,0.08941659,0.0,-0.011530713
2007-06-15 00:00:00+00,SHORT,3283,0.4003017116101934,0.077845976,0.086601734,0.0,0.0066227843
2007-06-15 00:00:00+00,SHORT,3573,0.0,0.24159433,0.08222351,0.0,0.037700955
2007-07-10 00:00:00+00,SHORT,3677,0.545177863135379,0.07212361,0.0890411,0.0,-0.025419034
2007-07-16 00:00:00+00,SHORT,1904,1.0,0.1634431,0.084194414,0.0,0.013594118
2007-07-19 00:00:00+00,SHORT,429,0.12398652356296705,0.086995415,0.08762291,0.0,-0.0041002133
2007-07-23 00:00:00+00,SHORT,2133,0.46408889641282136,0.27529255,0.08059965,0.0,-0.021982722
2007-07-23 00:00:00+00,SHORT,2305,0.95,-0.4725288,0.08209366,0.0,-0.0072084903
2007-08-08 00:00:00+00,SHORT,3744,1.0,0.06577308,0.0870317,0.0,0.014067899
2007-08-10 00:00:00+00,SHORT,3522,0.2301582381757124,0.003380783,0.09042237,0.0,0.03117795
2007-08-13 00:00:00+00,SHORT,2272,0.08959580667152087,0.11573738,0.09266744,0.0,0.029306555
2007-08-13 00:00:00+00,SHORT,1770,0.0,-0.49359113,0.082509436,0.0,0.035681374
2007-08-14 00:00:00+00,SHORT,938,0.0,-0.2623934,0.08664085,0.0,0.0072836205
2007-08-21 00:00:00+00,SHORT,234,0.0,-0.13033472,0.08246732,0.0,0.019121883
2007-08-23 00:00:00+00,SHORT,2534,0.5221570232010034,0.039113913,0.08576642,0.0,0.041492514
2007-08-23 00:00:00+00,SHORT,2961,0.0,-0.38002017,0.081987575,0.0,0.015995225
2007-08-23 00:00:00+00,SHORT,3470,0.12830005788853058,-0.28070733,0.090576515,0.0,7.260145E-4
2007-08-24 00:00:00+00,SHORT,694,0.8571428571428572,-0.23248345,0.0869258,0.0,0.009606208
2007-08-24 00:00:00+00,SHORT,2747,0.0,0.16712646,0.08980653,0.0,0.021397237
2007-08-24 00:00:00+00,SHORT,1673,0.0,-0.58625144,0.08519004,0.0,0.0011368832
2007-08-24 00:00:00+00,SHORT,3744,0.0,-0.46882367,0.08391608,0.0,0.0053446554
2007-08-24 00:00:00+00,SHORT,1748,0.0,-0.04946617,0.083541594,0.0,0.018668758
2007-09-05 00:00:00+00,SHORT,3130,0.0,-0.0971225,0.08831683,0.0,0.028621014
2007-09-19 00:00:00+00,SHORT,2665,0.0,0.15296815,0.08927382,0.0,0.012552506
2007-09-21 00:00:00+00,SHORT,1298,0.41040540232402717,0.34215322,0.086629,0.0,0.02755208
2007-10-01 00:00:00+00,SHORT,323,0.8571428571428572,-0.12440588,0.08643416,0.0,0.019501507
2007-10-08 00:00:00+00,SHORT,2670,0.7726954396264699,-0.20691757,0.084816135,0.0,-0.032901585
2007-10-10 00:00:00+00,SHORT,394,0.9090909090909091,-0.22276184,0.085035674,0.0,-0.02339096
2007-10-10 00:00:00+00,SHORT,1966,1.0,0.34032443,0.09204029,0.0,0.031517595
2007-10-11 00:00:00+00,SHORT,2330,0.0,-0.40068182,0.08723421,0.0,0.0068609626
2007-10-15 00:00:00+00,SHORT,88,0.0,-0.4715307,0.08413226,0.0,0.028126083
2007-10-31 00:00:00+00,SHORT,3531,0.0,0.06253027,0.09207331,0.0,0.032138452
2007-10-31 00:00:00+00,SHORT,2041,1.0,0.28434116,0.08597247,0.0,0.04178956
2007-11-06 00:00:00+00,SHORT,2742,1.0,-0.37138107,0.08845491,0.0,-0.0053229993
2007-11-08 00:00:00+00,SHORT,1673,0.9166666666666666,-0.40806317,0.08729412,0.0,0.03948084
2007-11-14 00:00:00+00,SHORT,2469,0.0,0.01701723,0.08846991,0.0,0.014205205
2007-11-14 00:00:00+00,SHORT,1710,0.0,0.14949943,0.0893174,0.0,0.04504423
2007-11-15 00:00:00+00,SHORT,2778,0.7142857142857143,0.35437122,0.087706424,0.0,-0.015899222
2007-11-15 00:00:00+00,SHORT,1710,0.0,0.34270304,0.08135658,0.0,-0.007960819
2007-11-16 00:00:00+00,SHORT,3744,0.0,0.17209935,0.09083697,0.0,6.832511E-4
2007-11-29 00:00:00+00,SHORT,4112,0.0,0.13954721,0.086415656,0.0,0.035654742
2007-11-29 00:00:00+00,SHORT,739,0.0,0.20377499,0.08802915,0.0,0.03753789
2007-11-29 00:00:00+00,SHORT,3456,0.0,-0.288261,0.08034448,0.0,0.038396608
2007-11-29 00:00:00+00,SHORT,3677,0.0,-0.26172832,0.08641747,0.0,0.009494391
2007-11-29 00:00:00+00,SHORT,1745,0.0,-0.1295289,0.08670931,0.0,-0.011132416
2007-11-30 00:00:00+00,SHORT,1043,0.0,-0.052805286,0.088705234,0.0,0.04850423
2007-11-30 00:00:00+00,SHORT,3381,0.0,0.25562343,0.085374385,0.0,0.02615453
2007-12-04 00:00:00+00,SHORT,2142,0.6666666666666667,0.12118692,0.08325494,0.0,-0.004672818
2007-12-04 00:00:00+00,SHORT,2993,0.0,-0.46670663,0.08480176,0.0,-0.013451513
2007-12-10 00:00:00+00,SHORT,2107,1.0,0.13200207,0.08236483,0.0,-0.016329292
2007-12-10 00:00:00+00,SHORT,2816,0.9090909090909091,0.33025214,0.08140749,0.0,-0.03941997
2007-12-12 00:00:00+00,SHORT,2932,0.0,0.17981215,0.090900235,0.0,0.017861273
2007-12-12 00:00:00+00,SHORT,1090,1.0,-0.32450795,0.09026128,0.0,-0.008740381
2007-12-13 00:00:00+00,SHORT,2350,0.8571428571428572,0.35851762,0.08338996,0.0,0.014264156
2007-12-21 00:00:00+00,SHORT,1719,0.0,-0.033607837,0.08654573,0.0,0.029541258
2007-12-24 00:00:00+00,SHORT,121,0.0,-0.18524031,0.09034721,0.0,0.04218908
2007-12-24 00:00:00+00,SHORT,3100,0.0,0.011571253,0.09205479,0.0,0.03767868
2007-12-26 00:00:00+00,SHORT,535,1.0,0.0049047954,0.0862069,0.0,-0.010738655
2007-12-26 00:00:00+00,SHORT,3352,0.05555555555555558,-0.0022741829,0.083869085,0.0,-0.03203974
2007-12-26 00:00:00+00,SHORT,1897,0.0,-0.33879527,0.09206896,0.0,0.015091812
2007-12-27 00:00:00+00,SHORT,4118,1.0,0.271277,0.082702704,0.0,0.009007167
2007-12-27 00:00:00+00,SHORT,3199,0.0,0.09306064,0.08453237,0.0,-0.020353327
2007-12-27 00:00:00+00,SHORT,1966,0.875,0.25228998,0.08361045,0.0,-0.026073107
2007-12-28 00:00:00+00,SHORT,1523,0.8571428571428572,-0.16677213,0.08322476,0.0,-0.027751936
2007-12-28 00:00:00+00,SHORT,3693,0.4860670210073861,-0.11452841,0.08905325,0.0,0.001396725
