time,side,ticker_id,mv_dn_composite_labels,dist_low52_vol_norm_20_df015,dist_upper_bb_20_2.0_df055,volume_spike_1_df057,vola_roc_21_5_df040
2005-02-17 00:00:00+00,SHORT,3021,0.3535409426643509,0.5081069,-0.010988401,0.55833334,0.32358283
2005-02-17 00:00:00+00,SHORT,4089,0.5788111257695832,0.3532355,-0.007936014,0.33068782,-0.3550981
2005-02-18 00:00:00+00,SHORT,2129,0.45158568054945414,0.30123833,-0.01834957,0.66308004,-0.36480585
2005-02-18 00:00:00+00,SHORT,370,0.39559377556870884,0.3249525,-0.01426027,0.08132649,-0.17434728
2005-02-18 00:00:00+00,SHORT,457,0.717622730232663,0.42101502,-0.0053701783,0.37060493,-0.36673266
2005-02-18 00:00:00+00,SHORT,2643,0.8181818181818181,0.3262511,-0.018821098,0.28774387,-0.011559802
2005-02-18 00:00:00+00,SHORT,3021,0.3080797753026201,0.49160707,-0.0132736415,0.46390375,0.12115469
2005-02-18 00:00:00+00,SHORT,4013,0.30874066126357863,0.46646127,-0.023512034,0.017122412,0.0575077
2005-02-22 00:00:00+00,SHORT,3791,0.4318611989276082,0.33198607,-0.020824838,0.3904899,1.1597935
2005-02-23 00:00:00+00,SHORT,3716,0.0,0.3341695,-0.018620284,-0.19734901,1.1803181
2005-02-24 00:00:00+00,SHORT,3716,0.027800621604563744,0.33063522,-0.017263044,-0.19758986,0.40201378
2005-02-25 00:00:00+00,SHORT,897,0.40289034108288246,0.31400794,9.768031E-4,0.36711028,0.25185195
2005-02-25 00:00:00+00,SHORT,1012,0.6575197197697998,0.10427119,-0.0026847844,0.4358151,0.8119169
2005-02-28 00:00:00+00,SHORT,897,0.39795449596464616,0.3032205,-0.020846501,-0.13045469,0.20585991
2005-02-28 00:00:00+00,SHORT,1012,0.5719437910287027,0.1051772,-0.0073448797,0.06029991,0.5619349
2005-03-01 00:00:00+00,SHORT,4223,1.0,0.29216748,-0.021994196,-0.1266694,-0.34155616
2005-03-01 00:00:00+00,SHORT,2230,0.3521015264646416,0.30744633,-0.007816061,-0.15787388,1.3021489
2005-03-01 00:00:00+00,SHORT,309,0.8823529411764706,0.4910376,-0.02148583,-0.18987708,0.768156
2005-03-01 00:00:00+00,SHORT,558,0.10941764323996127,0.28942928,0.0036019823,-0.009783805,-0.0843138
2005-03-02 00:00:00+00,SHORT,1012,0.6024962732358897,0.10637771,-0.021862945,-0.056251273,-0.14241587
2005-03-04 00:00:00+00,SHORT,270,0.0,0.28701013,-0.02488406,0.30214426,-0.18056785
2005-03-04 00:00:00+00,SHORT,3466,0.8840482875978609,0.18726863,-0.001283951,-0.10053778,0.27856427
2005-03-04 00:00:00+00,SHORT,1770,0.7016542152117223,0.55923986,-0.0017360456,0.014195068,0.10711436
2005-03-04 00:00:00+00,SHORT,4070,0.05882352941176472,0.45132288,-0.022587746,0.7212101,-0.0063290694
2005-03-07 00:00:00+00,SHORT,4107,0.38939885088252435,0.18503425,0.017005876,0.76587474,0.6362924
2005-03-07 00:00:00+00,SHORT,2119,0.3251296549859206,0.3965259,-0.012591002,0.21126074,-0.02021722
2005-03-07 00:00:00+00,SHORT,4223,0.8,0.3738164,-0.025657438,0.60986894,-0.24795362
2005-03-07 00:00:00+00,SHORT,641,0.24430411668534546,0.46380737,0.0029865685,0.039980136,1.1348178
2005-03-07 00:00:00+00,SHORT,2932,0.4990843828152256,0.54948854,-0.022730926,0.07696607,-0.09444282
2005-03-07 00:00:00+00,SHORT,3355,1.0,0.31533,0.011042384,-0.19805247,0.17064238
2005-03-07 00:00:00+00,SHORT,3614,0.3092746737297847,0.16356973,-0.025878066,0.10945274,0.45209265
2005-03-07 00:00:00+00,SHORT,1770,0.5194874021708399,0.5434434,-0.013279601,0.03405573,0.2351358
2005-03-08 00:00:00+00,SHORT,2119,0.41863213088442525,0.3900893,-0.015447943,-0.15604608,-8.8573975E-4
2005-03-08 00:00:00+00,SHORT,91,0.2661820954356924,0.29261783,-0.024990238,0.44853005,-0.2979706
