time,side,ticker_id,mv_dn_composite_labels,co_fall_count_1_5_df044,normalized_12m_df003,dist_upper_bb_50_2.0_df055,normalized_6m_df004
2006-04-17 00:00:00+00,SHORT,2546,0.5324959015834073,1.0,0.76116073,-0.012653842,0.4909091
2006-04-18 00:00:00+00,SHORT,3539,0.561578028280057,1.0,0.13286713,-0.019128237,0.5810811
2006-04-20 00:00:00+00,SHORT,2272,0.344038653420515,1.0,0.17872341,0.016480884,0.46666667
2006-04-20 00:00:00+00,SHORT,1762,0.6352068504295981,1.0,0.6042553,0.026673095,0.45454547
2006-04-21 00:00:00+00,SHORT,2055,1.0,1.0,0.74898785,0.01019156,0.51724136
2006-04-21 00:00:00+00,SHORT,2272,0.5355141534845818,1.0,0.17408907,0.015776372,0.53333336
2006-04-21 00:00:00+00,SHORT,1678,1.0,1.0,0.28699553,0.020790948,0.41379312
2006-04-24 00:00:00+00,SHORT,2690,0.27260881439654594,1.0,0.5442177,-0.007274569,0.45945945
2006-04-24 00:00:00+00,SHORT,1678,0.9230769230769231,1.0,0.65759635,0.017816948,0.3448276
2006-04-25 00:00:00+00,SHORT,3078,0.2133696382505898,1.0,0.58189654,-0.017118616,0.20588236
2006-04-25 00:00:00+00,SHORT,3271,0.5338065468926102,1.0,0.6220096,-0.019333815,0.54545456
2006-04-25 00:00:00+00,SHORT,3677,0.0,1.0,0.34913793,-0.008425797,0.375
2006-04-28 00:00:00+00,SHORT,562,0.34711746317194336,1.0,0.47085202,-0.010995966,0.43209878
2006-04-28 00:00:00+00,SHORT,2863,0.883951398785773,1.0,0.5201794,-0.019739674,0.3148148
2006-05-02 00:00:00+00,SHORT,684,0.0,1.0,0.14285715,-0.017795501,0.45652175
2006-05-03 00:00:00+00,SHORT,2272,0.47969028417494447,1.0,0.48051947,-0.014863998,0.53846157
2006-05-04 00:00:00+00,SHORT,142,0.21977032469513746,1.0,0.4581498,-0.004370088,0.21052632
2006-05-05 00:00:00+00,SHORT,142,0.6666666666666667,1.0,0.46938777,0.0072971773,0.1904762
2006-05-05 00:00:00+00,SHORT,192,1.0,1.0,0.55510205,-0.005528226,0.26666668
2006-05-05 00:00:00+00,SHORT,1910,0.393421760895029,1.0,0.6244898,0.0155591685,0.4864865
2006-05-08 00:00:00+00,SHORT,4176,0.0,1.0,0.3452116,0.0041363314,0.5555556
2006-05-08 00:00:00+00,SHORT,2801,0.9,1.0,0.45,0.016724775,0.37931034
2006-05-08 00:00:00+00,SHORT,974,0.9473684210526316,1.0,0.73942095,-0.010951705,0.25
2006-05-08 00:00:00+00,SHORT,3142,0.9285714285714286,1.0,0.30612245,-0.007977977,0.35135135
2006-05-08 00:00:00+00,SHORT,3694,0.3913058283921888,1.0,0.15367483,0.008054012,0.3448276
2006-05-08 00:00:00+00,SHORT,3702,0.875,1.0,0.6993318,-0.012597164,0.44186047
2006-05-08 00:00:00+00,SHORT,1832,0.23400862365275973,1.0,0.8017817,-0.015566871,0.34545454
2006-05-08 00:00:00+00,SHORT,2032,0.4963936352307147,1.0,0.18333334,0.0065286625,0.29032257
2006-05-09 00:00:00+00,SHORT,3694,0.20785169465723727,1.0,0.152809,1.8923997E-4,0.39285713
2006-05-10 00:00:00+00,SHORT,2064,0.4183547314491373,1.0,0.19421488,-0.004312682,0.46666667
2006-05-10 00:00:00+00,SHORT,2305,0.8333333333333334,1.0,0.85011184,-0.008839268,0.2
2006-05-10 00:00:00+00,SHORT,684,0.5993688202429358,1.0,0.147651,0.0044202353,0.4489796
2006-05-10 00:00:00+00,SHORT,3255,0.5994830338180426,1.0,0.18595041,0.013818207,0.29411766
2006-05-10 00:00:00+00,SHORT,1260,0.47838177996261294,1.0,0.54362416,-0.012808812,0.53061223
2006-05-10 00:00:00+00,SHORT,1410,0.37883418531506985,1.0,0.5055928,-0.010524563,0.36734694
2006-05-10 00:00:00+00,SHORT,3907,1.0,1.0,0.14988814,-0.01730403,0.40816328
2006-05-10 00:00:00+00,SHORT,4049,0.26693951950366335,1.0,0.73140496,-0.020133,0.5555556
2006-05-11 00:00:00+00,SHORT,69,1.0,1.0,0.84444445,0.042112373,0.5625
2006-05-11 00:00:00+00,SHORT,2365,0.3300966590882247,1.0,0.45333335,-0.0103530865,0.4509804
2006-05-11 00:00:00+00,SHORT,874,1.0,1.0,0.8155556,-0.0024352374,0.21621622
2006-05-11 00:00:00+00,SHORT,1258,0.434569711253009,1.0,0.704918,-0.008393063,0.5714286
2006-05-11 00:00:00+00,SHORT,3828,0.6157606950976042,1.0,0.10888889,0.009632265,0.59183675
2006-05-11 00:00:00+00,SHORT,3831,1.0,1.0,0.7311111,-0.020778712,0.5405405
