time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.5_df055,ma_cloud_diff_13_100_df007,joint_fall_flag_21_20_df042,price_drift_21_df005
2005-08-01 00:00:00+00,SHORT,2351,0.9090909090909091,-0.014346239,0.14329477,0.0,0.061646853
2005-08-01 00:00:00+00,SHORT,786,0.27839277063593665,-0.013770869,0.09958535,0.0,0.07646048
2005-08-02 00:00:00+00,SHORT,2351,0.1724781702635038,-0.017270807,0.14297312,0.0,0.06050605
2005-08-02 00:00:00+00,SHORT,835,0.36413216765688505,-0.013321588,0.063512236,0.0,0.07814785
2005-08-02 00:00:00+00,SHORT,3233,0.21523850032624856,-0.0079373075,0.10553393,0.0,0.101772346
2005-08-02 00:00:00+00,SHORT,1299,0.5815576484720051,-0.011284262,0.115577325,0.0,0.085607275
2005-08-02 00:00:00+00,SHORT,1462,0.4546536772646413,-0.009209227,0.064539455,0.0,0.13205908
2005-08-03 00:00:00+00,SHORT,3067,0.0,1.1003015E-4,0.083329566,0.0,0.061594028
2005-08-03 00:00:00+00,SHORT,3124,0.5899500898250912,-0.017302832,0.022254305,0.0,0.08857605
2005-08-03 00:00:00+00,SHORT,3198,0.3100617070951723,-0.010436718,0.10530241,0.0,0.07846496
2005-08-03 00:00:00+00,SHORT,1299,0.5171893122132893,-0.016180541,0.11645243,0.0,0.06315789
2005-08-03 00:00:00+00,SHORT,3538,0.5076889765440764,-0.015345075,0.13891442,0.0,0.0894221
2005-08-03 00:00:00+00,SHORT,3872,0.4465540217621683,-0.013029312,0.085407585,0.0,0.061190967
2005-08-04 00:00:00+00,SHORT,2430,0.19918426047399074,0.001401428,0.0684017,0.0,0.094969735
2005-08-04 00:00:00+00,SHORT,2961,0.0,-0.015087933,0.098715395,0.0,0.07258468
2005-08-04 00:00:00+00,SHORT,3067,0.0,-0.014281686,0.08571129,0.0,0.065123625
2005-08-04 00:00:00+00,SHORT,1361,0.046267367979409044,-0.014568183,0.088968925,0.0,0.07253577
2005-08-05 00:00:00+00,SHORT,2430,0.12022401192110671,-0.017737655,0.06927695,0.0,0.070774354
2005-08-11 00:00:00+00,SHORT,85,0.5530877325965516,-8.551343E-4,0.08791657,0.0,0.102130786
2005-08-11 00:00:00+00,SHORT,2751,0.3160402844500197,-0.006659845,0.023816608,0.0,0.06779757
2005-08-11 00:00:00+00,SHORT,1012,0.0,-0.019108698,0.07058754,0.0,0.08752392
2005-08-11 00:00:00+00,SHORT,1063,0.6565522946881533,-0.004585233,0.02006294,0.0,0.059280016
2005-08-11 00:00:00+00,SHORT,1184,0.38137831162380625,-0.0104170125,0.09515746,0.0,0.0842219
2005-08-11 00:00:00+00,SHORT,3831,0.18206726729262862,-0.008868621,0.08772421,0.0,0.06627454
2005-08-12 00:00:00+00,SHORT,2125,0.0,-0.012611194,0.053078372,0.0,0.08660131
2005-08-12 00:00:00+00,SHORT,85,0.35917698181884034,-0.01576601,0.0913147,0.0,0.07541697
2005-08-12 00:00:00+00,SHORT,440,0.2792954861535997,-0.017905341,0.0676857,0.0,0.10447004
2005-08-12 00:00:00+00,SHORT,1184,0.20941321456145065,-0.018142635,0.09954208,0.0,0.08597024
2005-08-12 00:00:00+00,SHORT,3831,0.024803706860761842,-0.015690593,0.091835275,0.0,0.07108138
2005-08-15 00:00:00+00,SHORT,2742,0.0,0.0031044674,0.09514475,0.0,0.14190094
2005-08-15 00:00:00+00,SHORT,1303,0.513771775337734,-0.01026807,0.111291744,0.0,0.07059849
2005-08-15 00:00:00+00,SHORT,1404,0.0,-0.019464452,0.11003806,0.0,0.12176166
2005-08-16 00:00:00+00,SHORT,1610,0.0,-0.015729014,0.03425462,0.0,0.0628423
2005-08-16 00:00:00+00,SHORT,1807,0.0,-0.00916876,0.09334587,0.0,0.08424909
2005-08-19 00:00:00+00,SHORT,853,0.0,-0.015472297,0.10180951,0.0,0.071428575
2005-08-24 00:00:00+00,SHORT,3255,0.0,0.004007907,0.05997966,0.0,0.133202
2005-08-25 00:00:00+00,SHORT,2142,0.3895254906792961,-0.016874095,0.08275451,0.0,0.15622725
2005-08-25 00:00:00+00,SHORT,3811,0.20328032297303222,-0.01687477,0.12850876,0.0,0.07703453
2005-09-02 00:00:00+00,SHORT,69,0.0,-0.01733764,0.061170362,0.0,0.11314554
2005-09-02 00:00:00+00,SHORT,1668,0.332099787628739,-0.0040200213,0.05532127,0.0,0.061290324
2005-09-07 00:00:00+00,SHORT,1076,0.4357081590624795,-0.006308096,0.004820434,0.0,0.09553572
2005-09-08 00:00:00+00,SHORT,1076,0.5826372385969889,-0.019444164,0.00918946,0.0,0.09006433
2005-09-09 00:00:00+00,SHORT,2276,0.8421052631578947,-0.018799422,0.067633934,0.0,0.06083916
2005-09-09 00:00:00+00,SHORT,1051,0.28908609003810826,-0.01788775,0.08167718,0.0,0.08496683
2005-09-12 00:00:00+00,SHORT,2291,1.0,-0.0075655114,0.08452326,0.0,0.05943033
2005-09-12 00:00:00+00,SHORT,1297,0.7597757005471123,0.0057499986,-0.006619038,0.0,0.069571674
2005-09-12 00:00:00+00,SHORT,3443,0.7421731434340275,-0.019539766,0.114345916,0.0,0.11363637
2005-09-28 00:00:00+00,SHORT,335,0.37282383670706887,-0.019553326,0.14613585,0.0,0.09700685
2005-09-28 00:00:00+00,SHORT,3013,0.5285774135553772,-0.010542795,0.11347799,0.0,0.111587144
2005-09-29 00:00:00+00,SHORT,335,0.4105545203084431,-0.012916191,0.14887804,0.0,0.1379056
2005-09-29 00:00:00+00,SHORT,3013,0.5042721905429494,-0.019632908,0.11853003,0.0,0.11239024
2005-09-29 00:00:00+00,SHORT,1012,1.0,-0.0034025041,0.09198109,0.0,0.08638916
2005-09-29 00:00:00+00,SHORT,3754,0.48999192819101395,0.003253134,0.13855934,0.0,0.15288344
2005-09-30 00:00:00+00,SHORT,3116,0.8408729824060686,-0.016338523,0.11793758,0.0,0.06117647
2005-09-30 00:00:00+00,SHORT,3255,0.3114927048252305,-0.014831836,0.12613449,0.0,0.10105059
2005-09-30 00:00:00+00,SHORT,4086,1.0,-0.019302456,0.13832138,0.0,0.10772396
2005-10-03 00:00:00+00,SHORT,2055,1.0,-0.011851556,0.11350134,0.0,0.09485039
2005-10-03 00:00:00+00,SHORT,220,0.6555241429718353,-0.00490286,0.094391406,0.0,0.09966539
2005-10-03 00:00:00+00,SHORT,2473,0.8011610124360771,2.7906717E-4,0.083708495,0.0,0.11106478
2005-10-03 00:00:00+00,SHORT,562,0.35772387394192895,-0.017578771,0.081070885,0.0,0.086593784
2005-10-03 00:00:00+00,SHORT,2979,1.0,-0.0050957263,0.033954516,0.0,0.06366571
2005-10-03 00:00:00+00,SHORT,3114,0.7774963464060076,-0.0042856336,0.03278284,0.0,0.12400636
