time,side,ticker_id,mv_up_composite_labels,sessions_since_bearish_13_50_df059,skew_weighted_10_df037
2005-05-16 00:00:00+00,LONG,3430,0.1982820520494393,33.0,-0.48142508
2005-05-16 00:00:00+00,LONG,3466,0.8817436677688048,33.0,-0.41835433
2005-05-16 00:00:00+00,LONG,3561,0.9830508474576272,21.0,-0.6151848
2005-05-16 00:00:00+00,LONG,1673,1.0,27.0,-0.4517309
2005-05-16 00:00:00+00,LONG,1762,0.5229291081305445,34.0,-0.32613164
2005-05-16 00:00:00+00,LONG,1770,1.0,20.0,-0.45844978
2005-05-16 00:00:00+00,LONG,4070,0.02136770568767554,40.0,-0.36056828
2005-05-17 00:00:00+00,LONG,4136,0.0,40.0,-0.49119776
2005-05-17 00:00:00+00,LONG,4187,0.7545556912630998,21.0,-0.36341286
2005-05-17 00:00:00+00,LONG,2619,0.975609756097561,31.0,-0.49476522
2005-05-17 00:00:00+00,LONG,602,0.9090909090909091,35.0,-0.3879917
2005-05-17 00:00:00+00,LONG,629,0.9761904761904762,26.0,-0.47204715
2005-05-17 00:00:00+00,LONG,739,1.0,20.0,-0.34123054
2005-05-17 00:00:00+00,LONG,1360,0.9642857142857143,32.0,-0.49035105
2005-05-17 00:00:00+00,LONG,3561,0.9661016949152542,22.0,-0.3848608
2005-05-17 00:00:00+00,LONG,1673,0.9705882352941176,28.0,-0.38708693
2005-05-17 00:00:00+00,LONG,4070,0.3121405044033544,41.0,-0.39602023
2005-05-18 00:00:00+00,LONG,4136,0.0,41.0,-0.41927537
2005-05-18 00:00:00+00,LONG,2125,1.0,37.0,-0.5497731
2005-05-18 00:00:00+00,LONG,4187,0.43816475242008474,22.0,-0.5329388
2005-05-18 00:00:00+00,LONG,2211,0.9696969696969697,33.0,-0.43938822
2005-05-18 00:00:00+00,LONG,2619,0.9512195121951219,32.0,-0.52507806
2005-05-18 00:00:00+00,LONG,576,0.9375,30.0,-0.35723978
2005-05-18 00:00:00+00,LONG,594,0.5490422736024223,26.0,-0.51767784
2005-05-18 00:00:00+00,LONG,602,0.8787878787878788,36.0,-0.65234095
2005-05-18 00:00:00+00,LONG,629,0.9523809523809523,27.0,-0.34347802
2005-05-18 00:00:00+00,LONG,857,0.42673788596867296,32.0,-0.42723697
2005-05-18 00:00:00+00,LONG,3466,0.8110890971367632,35.0,-0.36495847
2005-05-18 00:00:00+00,LONG,1673,0.9411764705882353,29.0,-0.46127185
2005-05-18 00:00:00+00,LONG,1770,0.92,22.0,-0.40352273
2005-05-18 00:00:00+00,LONG,1908,0.5945945945945945,32.0,-0.4505893
2005-05-18 00:00:00+00,LONG,4050,0.9772727272727273,20.0,-0.6386219
2005-05-19 00:00:00+00,LONG,2125,0.9795918367346939,38.0,-0.3920665
2005-05-19 00:00:00+00,LONG,4187,0.8846153846153846,23.0,-0.39166746
2005-05-19 00:00:00+00,LONG,498,0.0,30.0,-0.41060916
2005-05-19 00:00:00+00,LONG,2619,0.563831950119256,33.0,-0.4997313
2005-05-19 00:00:00+00,LONG,576,0.7107469187956944,31.0,-0.38507718
2005-05-19 00:00:00+00,LONG,594,0.49120462275541515,27.0,-0.32811314
2005-05-19 00:00:00+00,LONG,602,0.8484848484848485,37.0,-0.60499036
2005-05-19 00:00:00+00,LONG,712,0.0,26.0,-0.37453413
2005-05-19 00:00:00+00,LONG,857,0.4419401464562518,33.0,-0.40029928
2005-05-19 00:00:00+00,LONG,1673,0.9117647058823529,30.0,-0.44251707
2005-05-19 00:00:00+00,LONG,1908,0.5675675675675675,33.0,-0.4505893
2005-05-20 00:00:00+00,LONG,2125,0.9591836734693877,39.0,-0.63939214
2005-05-20 00:00:00+00,LONG,4187,0.696261654770438,24.0,-0.44088417
2005-05-20 00:00:00+00,LONG,498,0.9565217391304348,31.0,-0.47403714
2005-05-20 00:00:00+00,LONG,562,0.8005968873694563,31.0,-0.3649002
2005-05-20 00:00:00+00,LONG,2619,0.9024390243902439,34.0,-0.5232564
2005-05-20 00:00:00+00,LONG,576,0.7886207285178859,32.0,-0.40838817
2005-05-20 00:00:00+00,LONG,602,0.8181818181818181,38.0,-0.42786223
2005-05-20 00:00:00+00,LONG,712,0.9298245614035088,27.0,-0.43915638
2005-05-20 00:00:00+00,LONG,817,0.6287430495339249,28.0,-0.39207605
2005-05-20 00:00:00+00,LONG,857,0.3389182224388739,34.0,-0.43636242
2005-05-20 00:00:00+00,LONG,1673,0.5953843941746885,31.0,-0.5151688
2005-05-23 00:00:00+00,LONG,88,0.6120998039469852,25.0,-0.69038665
2005-05-23 00:00:00+00,LONG,4187,0.3520382908047875,25.0,-0.37708002
2005-05-23 00:00:00+00,LONG,498,0.9130434782608696,32.0,-0.32254434
2005-05-23 00:00:00+00,LONG,2619,0.8780487804878049,35.0,-0.42876133
2005-05-23 00:00:00+00,LONG,576,0.7173923409442942,33.0,-0.36050466
2005-05-23 00:00:00+00,LONG,602,0.7878787878787878,39.0,-0.35675186
2005-05-23 00:00:00+00,LONG,712,0.9122807017543859,28.0,-0.555686
2005-05-23 00:00:00+00,LONG,817,0.7777777777777778,29.0,-0.3456448
2005-05-23 00:00:00+00,LONG,857,0.45141823420830823,35.0,-0.3430942
2005-05-23 00:00:00+00,LONG,3466,0.7351590199105691,38.0,-0.375153
2005-05-23 00:00:00+00,LONG,1673,0.8529411764705882,32.0,-0.38268137
2005-05-23 00:00:00+00,LONG,3743,0.28683106642949036,39.0,-0.4574193
2005-05-23 00:00:00+00,LONG,1770,0.8,25.0,-0.32880217
2005-05-24 00:00:00+00,LONG,64,0.0,24.0,-0.6819878
2005-05-24 00:00:00+00,LONG,88,0.7285005706495437,26.0,-0.40005553
2005-05-24 00:00:00+00,LONG,450,0.8484848484848485,20.0,-0.4767876
2005-05-24 00:00:00+00,LONG,3743,0.2763738065260145,40.0,-0.3374625
2005-05-25 00:00:00+00,LONG,64,0.0,25.0,-0.6723034
2005-05-25 00:00:00+00,LONG,712,0.8771929824561404,30.0,-0.40355292
2005-05-26 00:00:00+00,LONG,64,0.0,26.0,-0.6415133
2005-05-26 00:00:00+00,LONG,450,0.7878787878787878,22.0,-0.37630558
2005-05-27 00:00:00+00,LONG,64,0.0,27.0,-0.6510734
2005-05-31 00:00:00+00,LONG,64,0.0,28.0,-0.74416596
2005-05-31 00:00:00+00,LONG,1473,0.907052904020273,41.0,-0.34986326
2005-05-31 00:00:00+00,LONG,3652,0.5574293118870428,20.0,-0.3497169
2005-06-01 00:00:00+00,LONG,64,0.0,29.0,-0.73750633
2005-06-02 00:00:00+00,LONG,64,0.0,30.0,-0.81008095
2005-06-02 00:00:00+00,LONG,1176,0.0,22.0,-0.37250054
2005-06-03 00:00:00+00,LONG,4169,0.04180304732090155,27.0,-0.39694417
2005-06-07 00:00:00+00,LONG,1667,0.014407769872620588,20.0,-0.82585084
2005-06-08 00:00:00+00,LONG,1453,0.0,32.0,-0.3485465
2005-06-08 00:00:00+00,LONG,1667,0.022936035013089863,21.0,-0.62263685
2005-06-09 00:00:00+00,LONG,1453,0.0,33.0,-0.39213684
2005-06-09 00:00:00+00,LONG,1667,0.0,22.0,-0.4006858
2005-06-10 00:00:00+00,LONG,64,0.0,36.0,-0.7315769
2005-06-10 00:00:00+00,LONG,1667,0.0,23.0,-0.3232405
2005-06-13 00:00:00+00,LONG,64,0.0,37.0,-0.4710482
2005-06-15 00:00:00+00,LONG,64,0.0,39.0,-0.33360422
2005-06-16 00:00:00+00,LONG,1453,0.0,38.0,-0.38145506
2005-06-17 00:00:00+00,LONG,1453,0.0,39.0,-0.42587405
2005-06-22 00:00:00+00,LONG,1176,0.0,36.0,-0.4596439
2005-06-22 00:00:00+00,LONG,1236,0.0,41.0,-0.45931143
2005-06-23 00:00:00+00,LONG,1176,0.0,37.0,-0.5809875
2005-06-27 00:00:00+00,LONG,73,0.7740055293650226,40.0,-0.5542893
2005-06-30 00:00:00+00,LONG,465,0.7561711464992317,20.0,-0.3859811
2005-07-05 00:00:00+00,LONG,465,0.7124815239319481,22.0,-0.3547429
2005-07-07 00:00:00+00,LONG,3109,0.0,22.0,-0.8141512
2005-07-08 00:00:00+00,LONG,3109,0.0,23.0,-0.48482993
2005-07-13 00:00:00+00,LONG,3612,0.0,40.0,-0.49427855
2005-07-14 00:00:00+00,LONG,3612,0.0,41.0,-0.4939514
2005-07-20 00:00:00+00,LONG,1356,0.25919541521031614,20.0,-0.57066065
2005-07-21 00:00:00+00,LONG,1356,0.1647030293340591,21.0,-0.37225118
2005-07-25 00:00:00+00,LONG,1011,0.0,32.0,-0.36820382
2005-07-26 00:00:00+00,LONG,1715,1.0,21.0,-0.516206
2005-07-27 00:00:00+00,LONG,1715,0.9814814814814815,22.0,-0.49092677
2005-07-29 00:00:00+00,LONG,1099,0.0,26.0,-0.33942497
2005-08-04 00:00:00+00,LONG,4074,0.40157420532249605,21.0,-0.46235874
2005-08-05 00:00:00+00,LONG,4074,0.4350589946064226,22.0,-0.4576514
2005-08-12 00:00:00+00,LONG,1236,0.0,26.0,-0.5344454
2005-08-12 00:00:00+00,LONG,3882,0.07327951809272867,24.0,-0.47616887
2005-08-15 00:00:00+00,LONG,1236,0.0,27.0,-0.43946046
2005-08-16 00:00:00+00,LONG,2095,0.4925805963678365,28.0,-0.6779107
