time,side,ticker_id,mv_up_composite_labels,joint_fall_flag_5_20_df042,skew_weighted_10_df037,velocity_price_univ_zscore_5_df048,weighted_neg_sum_10_df036,price_drift_21_df005
2006-03-13 00:00:00+00,LONG,356,0.0,0.0,-0.40257722,-2.5397506,0.14544849,-0.18818997
2006-03-13 00:00:00+00,LONG,2619,0.20515144081334535,0.0,-0.562723,-4.5269694,0.15680659,-0.13709535
2006-03-14 00:00:00+00,LONG,1719,0.0,0.0,-0.59371316,-0.82266015,0.12738743,-0.12810194
2006-03-15 00:00:00+00,LONG,1719,0.0,0.0,-0.5222002,-0.5593188,0.12738743,-0.11592272
2006-03-17 00:00:00+00,LONG,2661,0.0,0.0,-0.5390161,-4.872993,0.090495236,-0.107893504
2006-03-17 00:00:00+00,LONG,3699,0.0,0.0,-0.59039944,-5.465446,0.16922212,-0.13675708
2006-03-22 00:00:00+00,LONG,1888,0.8222222222222222,0.0,-0.47670472,-3.1202962,0.09567091,-0.09626274
2006-03-24 00:00:00+00,LONG,2518,0.813953488372093,0.0,-0.5914742,1.9327824,0.10714473,-0.19972146
2006-03-29 00:00:00+00,LONG,588,0.0,0.0,-0.5108095,5.6181684,0.14997256,-0.116883114
2006-04-17 00:00:00+00,LONG,557,0.875,0.0,-0.53846556,-0.015663857,0.16302112,-0.14295977
2006-04-18 00:00:00+00,LONG,780,0.8695652173913043,0.0,-0.59767765,-0.41231897,0.077585205,-0.13277623
2006-05-18 00:00:00+00,LONG,643,0.0,0.0,-0.56694007,-3.4400778,0.10054308,-0.1197318
2006-05-23 00:00:00+00,LONG,1677,0.669447957013312,0.0,-0.58748883,4.825223,0.11216429,-0.14738251
2006-05-23 00:00:00+00,LONG,1678,0.32190949770840965,0.0,-0.5874742,4.825217,0.11215929,-0.14737798
2006-05-25 00:00:00+00,LONG,397,0.9722222222222222,0.0,-0.59506935,-0.8708166,0.14085548,-0.10352941
2006-05-26 00:00:00+00,LONG,397,0.682539297424445,0.0,-0.524886,-1.1128463,0.13041073,-0.1015756
2006-05-30 00:00:00+00,LONG,397,0.7465390616379117,0.0,-0.53582233,-1.2752073,0.13444063,-0.11468813
2006-05-31 00:00:00+00,LONG,397,0.7567361469093817,0.0,-0.50776196,-2.0983117,0.12446045,-0.11665543
2006-05-31 00:00:00+00,LONG,791,0.0,0.0,-0.42661083,-0.68667245,0.031497873,-0.11827438
2006-06-07 00:00:00+00,LONG,1114,0.9615384615384616,0.0,-0.40734076,-2.4822087,0.12221746,-0.10796074
2006-06-08 00:00:00+00,LONG,2716,0.0,0.0,-0.520936,-0.3333566,0.1075096,-0.16126418
2006-06-09 00:00:00+00,LONG,684,0.0,0.0,-0.570247,-1.8334734,0.12238222,-0.1661109
2006-06-12 00:00:00+00,LONG,2710,0.0,0.0,-0.508831,-1.344814,0.13297132,-0.13801107
2006-06-13 00:00:00+00,LONG,85,0.8547288443922928,0.0,-0.47133058,-0.4854455,0.10066493,-0.13359864
2006-06-13 00:00:00+00,LONG,135,1.0,0.0,-0.46751654,-3.907492,0.1666677,-0.20005816
2006-06-13 00:00:00+00,LONG,212,1.0,0.0,-0.42499608,-1.0487103,0.102051616,-0.14895523
2006-06-13 00:00:00+00,LONG,440,0.9061370352849542,0.0,-0.5913028,-2.3012776,0.121112,-0.15715215
2006-06-13 00:00:00+00,LONG,2619,0.0,0.0,-0.44071612,-1.730133,0.11885102,-0.15254839
2006-06-13 00:00:00+00,LONG,684,0.0,0.0,-0.60024786,1.7366145,0.109786555,-0.14753887
2006-06-13 00:00:00+00,LONG,974,0.0,0.0,-0.4868644,-0.7003594,0.11938366,-0.13589026
2006-06-13 00:00:00+00,LONG,3330,1.0,0.0,-0.59222686,-1.3327686,0.103472225,-0.13818082
2006-06-13 00:00:00+00,LONG,1770,1.0,0.0,-0.50776297,-3.5514078,0.15373248,-0.10034709
2006-06-13 00:00:00+00,LONG,3855,0.331333019571244,0.0,-0.52874523,-2.0036793,0.15372309,-0.14488548
2006-06-13 00:00:00+00,LONG,4062,0.0,0.0,-0.5002643,-2.3630843,0.15638722,-0.1602285
2006-06-14 00:00:00+00,LONG,243,0.35925180871769563,0.0,-0.441922,0.956561,0.14768171,-0.12411032
2006-06-14 00:00:00+00,LONG,440,0.8074724160952986,0.0,-0.59055215,-1.6060398,0.121112,-0.124770515
2006-06-14 00:00:00+00,LONG,2536,1.0,0.0,-0.49563736,-4.0157166,0.10230883,-0.10439826
2006-06-14 00:00:00+00,LONG,498,0.0,0.0,-0.58503574,-4.6270795,0.17735407,-0.15558004
2006-06-14 00:00:00+00,LONG,2619,0.0,0.0,-0.40961775,0.58938724,0.11885102,-0.1053213
2006-06-14 00:00:00+00,LONG,714,0.9705882352941176,0.0,-0.4327784,2.896542,0.09644072,-0.19209282
2006-06-14 00:00:00+00,LONG,3013,0.6816457909781998,0.0,-0.43500486,-0.45550793,0.16242304,-0.14380531
