time,side,ticker_id,mv_up_composite_labels,ma_cloud_diff_8_50_df007,dist_lower_bb_50_2.0_df055,joint_fall_flag_5_20_df042
2005-01-19 00:00:00+00,LONG,3815,0.9024390243902439,-0.044344015,-0.020029964,0.0
2005-01-19 00:00:00+00,LONG,3994,0.9777777777777777,-0.031478498,0.011668205,0.0
2005-01-19 00:00:00+00,LONG,4049,0.46156435329330314,-0.0682015,-0.010029709,0.0
2005-01-20 00:00:00+00,LONG,2119,0.33623747035223767,-0.039869454,0.004383723,0.0
2005-01-20 00:00:00+00,LONG,2133,0.0,-0.03881023,-0.022431606,0.0
2005-01-20 00:00:00+00,LONG,4237,0.29685470448812407,-0.026466584,-0.02585753,0.0
2005-01-20 00:00:00+00,LONG,309,0.0,-0.036031734,-0.0064692227,0.0
2005-01-20 00:00:00+00,LONG,465,0.48998993380451955,-0.019278644,-0.027970014,0.0
2005-01-20 00:00:00+00,LONG,2751,0.0,-0.023352735,-1.01894104E-4,0.0
2005-01-20 00:00:00+00,LONG,2778,0.4190938930968782,-0.046613898,-0.026309159,0.0
2005-01-20 00:00:00+00,LONG,862,0.655110752564679,-0.029385725,-0.020601006,0.0
2005-01-20 00:00:00+00,LONG,3065,0.14611468224415602,-0.012438849,-0.02171602,0.0
2005-01-20 00:00:00+00,LONG,1184,0.46272147797292174,-0.012434605,-0.019694762,0.0
2005-01-20 00:00:00+00,LONG,3286,0.0,-0.044291936,-0.030622203,0.0
2005-01-20 00:00:00+00,LONG,1473,0.28542736763033105,-0.03162812,-0.015670037,0.0
2005-01-20 00:00:00+00,LONG,1585,0.3015974969559526,-0.0371993,-0.014587398,0.0
2005-01-20 00:00:00+00,LONG,3716,0.0,-0.026638944,-0.015456779,0.0
2005-01-20 00:00:00+00,LONG,3815,0.8780487804878049,-0.047136683,-0.0020757422,0.0
2005-01-20 00:00:00+00,LONG,3831,1.0,-0.018954074,-1.5959401E-4,0.0
