time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_50_2.0_df055,joint_fall_flag_1_20_df042
2006-04-07 00:00:00+00,SHORT,1011,0.894992477909567,0.009517679,1.0
2006-04-10 00:00:00+00,SHORT,1011,0.6363851875577154,-0.0044948836,1.0
2006-04-20 00:00:00+00,SHORT,153,0.8888888888888888,-0.006042156,1.0
2006-04-20 00:00:00+00,SHORT,1173,0.4661407471857192,-0.009656222,1.0
2006-04-20 00:00:00+00,SHORT,1280,0.9166666666666666,-0.0036793977,1.0
2006-04-21 00:00:00+00,SHORT,4163,0.39902990750327305,-0.008481602,1.0
2006-04-24 00:00:00+00,SHORT,2055,0.9166666666666666,0.002474481,1.0
2006-04-24 00:00:00+00,SHORT,3283,0.4619813861152503,-0.011943213,1.0
2006-04-27 00:00:00+00,SHORT,2640,0.8,-0.012788814,1.0
2006-04-28 00:00:00+00,SHORT,2990,0.9444444444444444,-0.012491332,1.0
2006-05-01 00:00:00+00,SHORT,3861,0.28737657772614167,0.0018338851,1.0
2006-05-02 00:00:00+00,SHORT,1195,0.9090909090909091,0.0025725858,1.0
2006-05-05 00:00:00+00,SHORT,2393,1.0,-0.006347642,1.0
2006-05-08 00:00:00+00,SHORT,3359,1.0,-0.0104709435,1.0
2006-05-08 00:00:00+00,SHORT,1410,0.528541245279816,-0.0016331217,1.0
2006-05-08 00:00:00+00,SHORT,1838,0.21510894858654292,-0.002084637,1.0
2006-05-09 00:00:00+00,SHORT,1838,0.0,-0.01288668,1.0
2006-05-10 00:00:00+00,SHORT,2352,0.26612369141546616,-0.013354896,1.0
2006-05-10 00:00:00+00,SHORT,1410,0.37883418531506985,-0.010524563,1.0
2006-05-11 00:00:00+00,SHORT,356,1.0,-0.00785522,1.0
2006-06-02 00:00:00+00,SHORT,2983,1.0,-0.005398326,1.0
2006-06-05 00:00:00+00,SHORT,4197,0.6776531553638879,-0.0075794077,1.0
2006-06-07 00:00:00+00,SHORT,93,0.0,-0.009451544,1.0
2006-06-07 00:00:00+00,SHORT,960,0.7997566450138588,-0.008232964,1.0
2006-06-07 00:00:00+00,SHORT,3686,0.22494353008456258,-0.0081526525,1.0
2006-06-08 00:00:00+00,SHORT,4197,0.5085074988294009,-0.010360033,1.0
2006-06-14 00:00:00+00,SHORT,4194,0.0,-0.010820451,1.0
2006-06-16 00:00:00+00,SHORT,3641,0.19713375026842075,-0.0067436146,1.0
2006-06-19 00:00:00+00,SHORT,3641,0.9,-0.012914545,1.0
2006-06-30 00:00:00+00,SHORT,3203,0.0,-0.013489788,1.0
2006-07-03 00:00:00+00,SHORT,2365,0.43493709320874746,0.0042835684,1.0
2006-07-05 00:00:00+00,SHORT,3646,0.0,-0.010899142,1.0
2006-07-07 00:00:00+00,SHORT,3694,0.18316990435257802,-0.008002455,1.0
2006-07-10 00:00:00+00,SHORT,3694,0.0,-0.011644068,1.0
2006-07-27 00:00:00+00,SHORT,1988,0.2490608908032843,-0.008862666,1.0
2006-07-31 00:00:00+00,SHORT,3811,0.12634545027558,0.003078785,1.0
2006-08-01 00:00:00+00,SHORT,69,1.0,-0.008223319,1.0
2006-08-01 00:00:00+00,SHORT,3811,0.05177275530910887,-0.011836682,1.0
2006-08-02 00:00:00+00,SHORT,2896,1.0,-0.008884019,1.0
2006-08-03 00:00:00+00,SHORT,3283,0.4784567289832113,0.0012325722,1.0
2006-08-04 00:00:00+00,SHORT,2536,0.14738875635617357,-0.0027719496,1.0
2006-08-04 00:00:00+00,SHORT,988,0.0,-0.009210414,1.0
2006-08-18 00:00:00+00,SHORT,2582,0.5292158891306085,0.0038333475,1.0
2006-08-21 00:00:00+00,SHORT,2582,0.43769698737877255,-0.0017022353,1.0
2006-08-29 00:00:00+00,SHORT,1171,0.498614417049679,-0.009005301,1.0
2006-08-31 00:00:00+00,SHORT,3343,0.0,-0.009381995,1.0
2006-09-05 00:00:00+00,SHORT,3124,0.0,-0.012093455,1.0
2006-09-05 00:00:00+00,SHORT,3352,0.0,0.0065576117,1.0
2006-09-06 00:00:00+00,SHORT,1300,0.18072929146248667,-0.013031749,1.0
2006-09-07 00:00:00+00,SHORT,3357,0.0,-0.0060858373,1.0
2006-09-14 00:00:00+00,SHORT,1377,0.35653525959104126,-0.009950811,1.0
2006-10-10 00:00:00+00,SHORT,1356,0.5913627776393886,-0.0053876773,1.0
2006-10-27 00:00:00+00,SHORT,2230,0.0,-0.00616608,1.0
2006-10-27 00:00:00+00,SHORT,2437,0.0,-0.01006608,1.0
2006-10-27 00:00:00+00,SHORT,1700,0.45370922300720695,-0.010516607,1.0
2006-10-30 00:00:00+00,SHORT,1072,0.15026784136920962,0.0032458166,1.0
2006-10-31 00:00:00+00,SHORT,1072,0.0,-0.013220701,1.0
2006-11-07 00:00:00+00,SHORT,3433,0.34747694093999454,-0.013319417,1.0
2006-11-07 00:00:00+00,SHORT,1615,0.1496310534773883,-0.009058695,1.0
2006-11-09 00:00:00+00,SHORT,1463,0.5292261422426489,-0.012892563,1.0
2006-11-09 00:00:00+00,SHORT,3573,0.21756647141355082,-0.008315681,1.0
2006-11-09 00:00:00+00,SHORT,1803,0.01704673911686227,-0.0073252404,1.0
2006-11-16 00:00:00+00,SHORT,3994,0.0,-0.008107427,1.0
2006-11-22 00:00:00+00,SHORT,1324,0.38160521630353667,-0.008769794,1.0
2006-11-24 00:00:00+00,SHORT,1297,0.0,-0.002454867,1.0
2006-11-24 00:00:00+00,SHORT,1826,0.0,-0.009075216,1.0
2006-12-01 00:00:00+00,SHORT,356,0.43377482131531775,-0.006959273,1.0
2006-12-05 00:00:00+00,SHORT,88,1.0,-0.011037746,1.0
2006-12-07 00:00:00+00,SHORT,610,0.0,-0.008094692,1.0
2006-12-11 00:00:00+00,SHORT,3918,0.3086231273223393,-0.011721437,1.0
2006-12-19 00:00:00+00,SHORT,1745,0.18906536735575857,-0.007705794,1.0
2006-12-20 00:00:00+00,SHORT,2938,0.191104859134937,-0.010710906,1.0
2006-12-20 00:00:00+00,SHORT,1745,0.14940899925086024,-0.010414104,1.0
2006-12-28 00:00:00+00,SHORT,3573,0.40669741048722857,-0.009592724,1.0
2007-01-04 00:00:00+00,SHORT,3994,0.0,-0.0047095213,1.0
2007-01-17 00:00:00+00,SHORT,1303,0.9523809523809523,-0.009516123,1.0
2007-01-19 00:00:00+00,SHORT,4074,0.47590939215240635,-0.0074375984,1.0
2007-02-15 00:00:00+00,SHORT,629,0.2909627031298495,-0.0026608168,1.0
2007-02-20 00:00:00+00,SHORT,309,0.3032638217699565,-0.010763292,1.0
2007-02-21 00:00:00+00,SHORT,4128,0.5518713941888382,0.006797517,1.0
2007-02-21 00:00:00+00,SHORT,475,0.25361096138855177,-0.012751216,1.0
2007-02-21 00:00:00+00,SHORT,643,0.26556158489379705,-0.0040063253,1.0
2007-02-21 00:00:00+00,SHORT,900,0.5251284904995384,-0.0066494625,1.0
2007-02-21 00:00:00+00,SHORT,3127,0.18060867354648416,-0.009721229,1.0
2007-02-21 00:00:00+00,SHORT,3330,0.4058487756904478,-0.004797036,1.0
2007-02-21 00:00:00+00,SHORT,3716,0.3885656925828381,-0.010263909,1.0
2007-02-21 00:00:00+00,SHORT,3841,0.9166666666666666,-0.012533629,1.0
2007-02-22 00:00:00+00,SHORT,4128,0.4555963154663484,-0.0015562696,1.0
2007-02-22 00:00:00+00,SHORT,2090,0.5580440962558205,-0.01064822,1.0
2007-02-22 00:00:00+00,SHORT,394,0.3437072193983553,-0.005475881,1.0
2007-02-22 00:00:00+00,SHORT,643,0.3487882562697742,-0.010702793,1.0
2007-02-22 00:00:00+00,SHORT,900,0.4517959378763531,-0.010917439,1.0
2007-02-22 00:00:00+00,SHORT,1022,0.726249010257143,-0.006797941,1.0
2007-02-22 00:00:00+00,SHORT,3381,0.20279423488044918,-0.013036828,1.0
2007-02-23 00:00:00+00,SHORT,2050,0.60038960810321,-8.934787E-4,1.0
2007-02-23 00:00:00+00,SHORT,874,0.0,-0.0064700255,1.0
2007-02-23 00:00:00+00,SHORT,3824,0.5006959194093497,-0.01042692,1.0
2007-02-26 00:00:00+00,SHORT,2393,0.1976275397958454,-0.0022457042,1.0
2007-02-26 00:00:00+00,SHORT,2553,0.875,-0.013600203,1.0
2007-02-26 00:00:00+00,SHORT,1297,0.1909261879723976,-0.0036303126,1.0
2007-03-07 00:00:00+00,SHORT,1235,0.0,-0.0018566153,1.0
2007-03-22 00:00:00+00,SHORT,2297,0.0,-0.007893348,1.0
2007-04-04 00:00:00+00,SHORT,4150,0.3192014259979915,-0.0076780487,1.0
2007-04-09 00:00:00+00,SHORT,4150,0.25606091449272617,-0.0101656765,1.0
2007-04-13 00:00:00+00,SHORT,2105,0.5994683740869456,-0.0044819894,1.0
2007-04-17 00:00:00+00,SHORT,2064,0.12379684254414337,-0.0044947295,1.0
2007-04-19 00:00:00+00,SHORT,1250,0.22945548444924047,-0.012006375,1.0
2007-04-23 00:00:00+00,SHORT,3782,0.454054302748257,-0.004007936,1.0
2007-04-24 00:00:00+00,SHORT,335,0.34864204218827866,-0.005968194,1.0
2007-04-25 00:00:00+00,SHORT,664,0.3943046484093282,-0.0069404794,1.0
2007-04-26 00:00:00+00,SHORT,69,0.9444444444444444,-0.013190676,1.0
2007-04-26 00:00:00+00,SHORT,3137,0.7838517217848191,-0.0017284588,1.0
2007-04-26 00:00:00+00,SHORT,1650,0.0,9.404341E-4,1.0
2007-04-27 00:00:00+00,SHORT,1790,0.41138302157600465,-0.008427898,1.0
2007-05-01 00:00:00+00,SHORT,3699,0.3165206163644239,-0.009139721,1.0
2007-05-03 00:00:00+00,SHORT,1817,0.5080182320072609,-0.008319738,1.0
2007-05-08 00:00:00+00,SHORT,2050,0.21604399532229912,0.0044663814,1.0
2007-05-09 00:00:00+00,SHORT,2050,0.09735312927376161,-0.0043777707,1.0
2007-05-23 00:00:00+00,SHORT,3065,0.26527709849058295,-0.008030262,1.0
2007-05-23 00:00:00+00,SHORT,1650,0.0,-0.012476047,1.0
2007-06-01 00:00:00+00,SHORT,2221,0.5363020494376368,0.0016884335,1.0
2007-06-01 00:00:00+00,SHORT,3629,0.31357933571423086,-0.0040904954,1.0
2007-06-04 00:00:00+00,SHORT,2731,0.47682733179839815,-0.0012955868,1.0
2007-06-05 00:00:00+00,SHORT,440,0.18827382114014277,-0.012936699,1.0
2007-06-05 00:00:00+00,SHORT,3703,0.0,-0.008837528,1.0
2007-06-05 00:00:00+00,SHORT,2028,0.14684040318519054,0.0022840695,1.0
2007-06-15 00:00:00+00,SHORT,2176,0.45080028978323433,-0.0068069547,1.0
2007-06-18 00:00:00+00,SHORT,2176,0.4884067665066275,-0.010528278,1.0
2007-06-18 00:00:00+00,SHORT,694,0.491686495858086,2.998214E-4,1.0
2007-07-05 00:00:00+00,SHORT,401,0.0,-0.01180044,1.0
2007-07-09 00:00:00+00,SHORT,194,0.5100680403881688,-0.010978804,1.0
2007-07-13 00:00:00+00,SHORT,2686,0.14399683567087046,-0.009343306,1.0
2007-07-13 00:00:00+00,SHORT,2898,1.0,-0.0077512017,1.0
2007-07-13 00:00:00+00,SHORT,3596,1.0,-0.012990394,1.0
2007-07-16 00:00:00+00,SHORT,2898,0.9444444444444444,-0.0098971855,1.0
2007-07-17 00:00:00+00,SHORT,2801,0.670961081620263,-0.009372216,1.0
2007-07-17 00:00:00+00,SHORT,3130,0.7021494226063881,-0.005028347,1.0
2007-07-18 00:00:00+00,SHORT,1967,0.4509480015639367,-0.0075013847,1.0
2007-07-19 00:00:00+00,SHORT,1173,0.5195741498464739,-0.0045342417,1.0
2007-07-19 00:00:00+00,SHORT,1967,0.6680380651026119,-0.0107827205,1.0
2007-07-19 00:00:00+00,SHORT,2042,1.0,-0.009042617,1.0
2007-07-20 00:00:00+00,SHORT,2391,1.0,-0.013538707,1.0
2007-07-20 00:00:00+00,SHORT,786,1.0,-0.01162184,1.0
2007-07-20 00:00:00+00,SHORT,1966,1.0,-0.008204226,1.0
2007-07-23 00:00:00+00,SHORT,2818,0.57821885306622,-0.013199779,1.0
2007-07-23 00:00:00+00,SHORT,1966,0.8571428571428572,-0.011041942,1.0
2007-07-24 00:00:00+00,SHORT,3233,0.34472384892941405,-0.0023963396,1.0
2007-07-24 00:00:00+00,SHORT,3882,1.0,0.002732791,1.0
2007-07-25 00:00:00+00,SHORT,3233,0.30704572267405683,-0.00983612,1.0
2007-07-25 00:00:00+00,SHORT,3882,0.9523809523809523,-0.008064865,1.0
2007-08-03 00:00:00+00,SHORT,487,0.0,-0.0029657364,1.0
2007-08-08 00:00:00+00,SHORT,2747,0.06260898034890704,-0.008105568,1.0
2007-08-08 00:00:00+00,SHORT,3744,1.0,-0.0121328635,1.0
2007-08-09 00:00:00+00,SHORT,710,0.2129323994699738,-0.0035906872,1.0
2007-08-09 00:00:00+00,SHORT,959,1.0,0.0038054648,1.0
2007-08-10 00:00:00+00,SHORT,959,0.17904777711629052,-0.0022838837,1.0
2007-09-20 00:00:00+00,SHORT,2095,0.7431583281619206,-0.00788104,1.0
2007-09-21 00:00:00+00,SHORT,2095,0.7812931529373413,-0.01050384,1.0
2007-10-08 00:00:00+00,SHORT,558,0.8666666666666667,0.0015627061,1.0
2007-10-08 00:00:00+00,SHORT,3824,0.6861999032428447,-0.0017761509,1.0
2007-10-09 00:00:00+00,SHORT,558,0.8,-0.0045634084,1.0
2007-10-10 00:00:00+00,SHORT,2440,0.5249860336987018,0.005395398,1.0
2007-10-10 00:00:00+00,SHORT,558,0.7333333333333334,-0.013341973,1.0
2007-10-11 00:00:00+00,SHORT,3521,0.0,-0.003639184,1.0
2007-10-11 00:00:00+00,SHORT,1851,1.0,-0.013043203,1.0
2007-10-11 00:00:00+00,SHORT,4000,0.0,1.7693595E-4,1.0
2007-10-12 00:00:00+00,SHORT,88,0.0,-0.013562165,1.0
2007-10-26 00:00:00+00,SHORT,487,0.0,-0.00971293,1.0
2007-10-29 00:00:00+00,SHORT,1236,0.31391912923991294,-0.011904466,1.0
2007-10-30 00:00:00+00,SHORT,2261,0.0,-0.011420623,1.0
2007-11-01 00:00:00+00,SHORT,2961,0.0,-0.002047351,1.0
2007-11-05 00:00:00+00,SHORT,4083,0.0,0.009099964,1.0
2007-11-06 00:00:00+00,SHORT,3610,0.30421178748793215,-0.012607349,1.0
2007-11-06 00:00:00+00,SHORT,4083,0.0,-0.0023385875,1.0
2007-11-07 00:00:00+00,SHORT,1523,0.0,-0.011295308,1.0
2007-11-09 00:00:00+00,SHORT,3831,0.40516116750441045,-0.009729077,1.0
2007-11-29 00:00:00+00,SHORT,2961,0.0,-0.006819485,1.0
2007-12-07 00:00:00+00,SHORT,3831,0.0,-0.005962164,1.0
2007-12-10 00:00:00+00,SHORT,3831,0.0,-0.008710569,1.0
2007-12-13 00:00:00+00,SHORT,580,0.5073789596456888,-0.0098940125,1.0
2007-12-24 00:00:00+00,SHORT,2640,0.9166666666666666,0.0019322309,1.0
2007-12-24 00:00:00+00,SHORT,1927,1.0,-0.0123694595,1.0
2007-12-26 00:00:00+00,SHORT,270,0.6377651063453719,-0.0130184945,1.0
2007-12-26 00:00:00+00,SHORT,3182,0.5156161956554378,-0.013547614,1.0
2007-12-28 00:00:00+00,SHORT,2863,0.9230769230769231,-0.0036823875,1.0
2007-12-31 00:00:00+00,SHORT,2285,0.875,-0.004444386,1.0
2008-01-08 00:00:00+00,SHORT,2617,0.4570697626891076,-0.0055509373,1.0
2008-01-08 00:00:00+00,SHORT,2961,0.0,-0.0016002461,1.0
2008-01-08 00:00:00+00,SHORT,1411,0.0,-0.013576699,1.0
2008-01-09 00:00:00+00,SHORT,2617,0.3935921883502896,-0.008598716,1.0
2008-01-10 00:00:00+00,SHORT,2961,0.23658832806389862,-0.009814463,1.0
2008-01-10 00:00:00+00,SHORT,3067,0.0,-0.010735855,1.0
2008-01-10 00:00:00+00,SHORT,3522,0.7262656720045253,-0.0073145675,1.0
2008-01-11 00:00:00+00,SHORT,2751,0.875,-0.013103416,1.0
2008-01-11 00:00:00+00,SHORT,937,0.6596316543694865,-0.0116182845,1.0
2008-01-11 00:00:00+00,SHORT,1411,0.0,-0.00880839,1.0
2008-01-15 00:00:00+00,SHORT,2262,0.9,-0.0047042607,1.0
2008-01-17 00:00:00+00,SHORT,1848,0.46254820987780587,-0.013298995,1.0
2008-02-14 00:00:00+00,SHORT,167,1.0,-1.563564E-5,1.0
2008-02-15 00:00:00+00,SHORT,167,0.8571428571428572,-0.006593527,1.0
2008-02-26 00:00:00+00,SHORT,3137,1.0,-0.0055701206,1.0
2008-02-27 00:00:00+00,SHORT,219,0.2361911301841366,-0.0036876725,1.0
2008-02-27 00:00:00+00,SHORT,862,0.7781775780665718,-0.005568135,1.0
2008-02-27 00:00:00+00,SHORT,3702,0.6326475656986152,-0.0077016414,1.0
2008-02-27 00:00:00+00,SHORT,4062,0.0,-0.009409606,1.0
2008-02-28 00:00:00+00,SHORT,2932,0.4030080151403474,-0.01147413,1.0
2008-03-05 00:00:00+00,SHORT,1631,0.0,-0.005093042,1.0
2008-04-02 00:00:00+00,SHORT,2343,0.6459912743684157,-0.0061014052,1.0
2008-04-07 00:00:00+00,SHORT,1244,0.43235236472255356,-0.013504458,1.0
2008-04-21 00:00:00+00,SHORT,2482,0.665669558216045,0.0015837527,1.0
2008-04-22 00:00:00+00,SHORT,2898,0.42580437012824224,-0.012866141,1.0
2008-04-24 00:00:00+00,SHORT,4215,0.16399896671934536,-0.0028559503,1.0
2008-04-28 00:00:00+00,SHORT,4049,0.41786662061642293,-0.0063349674,1.0
2008-05-02 00:00:00+00,SHORT,9,0.0,-0.0101715205,1.0
2008-05-02 00:00:00+00,SHORT,2119,1.0,-0.0057540196,1.0
2008-05-02 00:00:00+00,SHORT,221,1.0,-0.011621801,1.0
2008-05-02 00:00:00+00,SHORT,2870,0.789775191973337,-0.005338306,1.0
2008-05-05 00:00:00+00,SHORT,2084,0.568549741450611,-0.012179118,1.0
2008-05-05 00:00:00+00,SHORT,160,0.28106011439440054,-0.004676379,1.0
2008-05-05 00:00:00+00,SHORT,194,0.2577963007061077,0.008045453,1.0
2008-05-12 00:00:00+00,SHORT,3890,1.0,-0.012950844,1.0
2008-05-16 00:00:00+00,SHORT,713,0.8319687839712424,-0.0056700846,1.0
2008-05-19 00:00:00+00,SHORT,2055,1.0,-0.008813609,1.0
2008-05-19 00:00:00+00,SHORT,3824,1.0,-0.01231342,1.0
2008-05-20 00:00:00+00,SHORT,796,0.0,-0.0030482018,1.0
2008-05-21 00:00:00+00,SHORT,1949,0.9122107969982548,-0.012256357,1.0
2008-05-22 00:00:00+00,SHORT,3420,0.6782689604116854,-0.0061990493,1.0
2008-05-22 00:00:00+00,SHORT,3831,0.7447182230466656,-0.01066506,1.0
2008-05-29 00:00:00+00,SHORT,2541,0.0,-0.011999532,1.0
