time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.5_df055,delta_volume_21_df024,skew_weighted_10_df037
2005-09-02 00:00:00+00,SHORT,1668,0.332099787628739,-0.0040200213,77900.0,0.75048727
2005-09-06 00:00:00+00,SHORT,69,0.0,-0.028314358,-147500.0,0.71468127
2005-09-12 00:00:00+00,SHORT,694,0.26783350246089555,-0.06037659,24900.0,0.7144286
2005-09-12 00:00:00+00,SHORT,1297,0.7597757005471123,0.0057499986,132115.0,0.7063471
2005-09-12 00:00:00+00,SHORT,1299,0.38453418035454523,-0.021343231,142000.0,0.70886916
2005-09-12 00:00:00+00,SHORT,1960,1.0,-0.014827177,283908.0,0.70909536
2005-09-13 00:00:00+00,SHORT,3471,0.0,-0.02240686,927232.0,0.8403394
2005-09-14 00:00:00+00,SHORT,1383,0.0,-0.016745405,8704.0,0.7080188
2005-09-14 00:00:00+00,SHORT,3471,0.0,-0.04611876,-176248.0,0.71015596
2005-09-15 00:00:00+00,SHORT,3471,0.0,-0.04482913,-225040.0,0.8244523
2005-09-16 00:00:00+00,SHORT,869,1.0,-0.032637276,660300.0,0.8028476
2005-09-16 00:00:00+00,SHORT,3471,0.0,-0.05368016,1066204.0,0.7727979
2005-09-19 00:00:00+00,SHORT,1816,0.2997056958771856,-0.011145163,1292200.0,0.8427674
2005-09-27 00:00:00+00,SHORT,3804,0.42802263075547786,-0.040423937,-95500.0,0.7978587
2005-09-28 00:00:00+00,SHORT,2105,0.0,-0.05734357,177588.0,0.8547482
2005-09-28 00:00:00+00,SHORT,2670,0.0,-0.017631816,1568500.0,0.77843505
2005-09-28 00:00:00+00,SHORT,3236,0.44651790893651205,-0.014046419,393200.0,0.7191466
2005-09-29 00:00:00+00,SHORT,2105,0.0,-0.064457335,9724.0,0.7017692
2005-09-29 00:00:00+00,SHORT,4215,0.6005828116016185,-0.023423614,300.0,0.69823265
2005-09-29 00:00:00+00,SHORT,2670,0.0,-0.03436069,-42200.0,0.7362004
2005-09-30 00:00:00+00,SHORT,3255,0.3114927048252305,-0.014831836,24800.0,0.7536376
