time,side,ticker_id,mv_dn_composite_labels,dist_lower_bb_20_2.5_df055,price_drift_1_df005,dist_upper_bb_50_2.5_df055
2005-03-07 00:00:00+00,SHORT,3275,0.46674457578862205,-0.17682353,-0.0019730353,-0.0020634534
2005-03-07 00:00:00+00,SHORT,3855,0.3434763189544432,-0.11067795,0.003132832,-0.017666848
2005-03-07 00:00:00+00,SHORT,1851,0.32022596222075916,-0.13236831,-0.00234055,-0.02278726
2005-03-08 00:00:00+00,SHORT,2425,0.2394055593161007,-0.038060114,0.0059034056,-0.01824856
2005-03-08 00:00:00+00,SHORT,898,1.0,-0.09192872,0.0023957614,-0.0067137666
2005-03-08 00:00:00+00,SHORT,903,0.5285590603134446,-0.19747353,0.0064,0.015584775
2005-03-08 00:00:00+00,SHORT,1022,0.9568225337664427,-0.15314046,-0.002109066,-0.0106970975
2005-03-08 00:00:00+00,SHORT,3124,0.5671183428946235,-0.17999774,0.015545841,0.0131508745
2005-03-08 00:00:00+00,SHORT,1184,0.6176307542600878,-0.1607596,0.0045195227,5.6671444E-4
2005-03-08 00:00:00+00,SHORT,3275,0.46417412179545753,-0.17497453,-0.0072487644,-0.013177615
2005-03-08 00:00:00+00,SHORT,1371,0.3779902334382112,-0.06401727,0.0035587188,-0.022544224
2005-03-08 00:00:00+00,SHORT,3539,0.6750055325703885,-0.05937484,0.004716981,-0.008955715
2005-03-08 00:00:00+00,SHORT,3561,0.8116853111369149,-0.09457645,-0.006875296,-0.021472475
2005-03-08 00:00:00+00,SHORT,1851,0.35727183397401724,-0.15233514,0.011143695,-0.014566043
2005-03-09 00:00:00+00,SHORT,2425,0.1831906726568755,-0.033925723,-0.0034234433,-0.021889487
2005-03-09 00:00:00+00,SHORT,3275,0.30281359718142004,-0.17307797,-0.0039827414,-0.020190418
2005-03-10 00:00:00+00,SHORT,2425,0.2085964988855293,-0.038396463,0.0056435484,-0.016333025
2005-03-10 00:00:00+00,SHORT,2430,0.36382622078024474,-0.05313032,0.0016701461,-0.017450651
2005-03-10 00:00:00+00,SHORT,475,0.8980693036003441,-0.08349176,0.0037123659,-0.0193363
2005-03-10 00:00:00+00,SHORT,3124,0.4647982894979285,-0.16706534,0.0010327965,-0.011346562
2005-03-11 00:00:00+00,SHORT,629,0.5357780265305563,-0.19599572,-0.0074318745,-0.010666618
2005-03-11 00:00:00+00,SHORT,2870,0.6025224093795137,-0.15696329,0.0055855163,-0.022565152
2005-03-11 00:00:00+00,SHORT,3124,0.37353887080961895,-0.17322564,0.005669361,-0.012731927
2005-03-14 00:00:00+00,SHORT,2425,0.19852216590128835,-0.024428912,0.012375416,-0.018418701
2005-03-14 00:00:00+00,SHORT,629,0.5460879840797739,-0.18031314,-0.0016638935,-0.016959708
2005-03-14 00:00:00+00,SHORT,799,1.0,-0.041395664,0.011904762,-0.011882232
2005-03-14 00:00:00+00,SHORT,1851,0.13451498937884848,-0.13935773,0.011827321,-0.02172773
2005-03-15 00:00:00+00,SHORT,629,0.6416329096580197,-0.17540456,0.0,-0.02110326
2005-03-15 00:00:00+00,SHORT,2042,1.0,-0.0819087,0.014416353,-0.012528407
2005-03-16 00:00:00+00,SHORT,2042,0.9411764705882353,-0.06662245,-0.0081662955,-0.021775268
2005-03-17 00:00:00+00,SHORT,641,0.0,-0.057346676,0.014667106,-0.022779997
2005-03-18 00:00:00+00,SHORT,641,0.0,-0.05670574,-3.2483353E-4,-0.024268063
2005-03-18 00:00:00+00,SHORT,3100,0.31669524632408247,-0.10093465,-0.004240882,-0.023767026
2005-03-21 00:00:00+00,SHORT,3293,0.3970525859066154,-0.06453478,7.7204895E-4,-0.001976315
2005-03-21 00:00:00+00,SHORT,3905,0.5397076323069038,-0.06915547,0.003945885,-0.010935138
2005-03-22 00:00:00+00,SHORT,3531,0.6930189571393245,-0.1477048,0.01567475,-0.017701473
2005-03-23 00:00:00+00,SHORT,3293,0.1427886855195608,-0.037338965,-0.00856531,-0.021936018
2005-03-24 00:00:00+00,SHORT,3293,0.255096864138721,-0.03592445,6.86236E-4,-0.021535914
2005-03-28 00:00:00+00,SHORT,4218,1.0,-0.1026312,0.016628861,-0.017026916
2005-03-28 00:00:00+00,SHORT,3293,0.089457547184049,-0.03523281,-9.712557E-5,-0.02162096
2005-03-30 00:00:00+00,SHORT,2923,0.6038748420173526,-0.08008276,0.011029412,-0.024221165
2005-03-30 00:00:00+00,SHORT,3293,0.06517423979454019,-0.037890565,0.012519232,-0.014762864
2005-04-05 00:00:00+00,SHORT,1308,0.21055685581344497,-0.05438179,0.005711319,-0.009124447
2005-04-06 00:00:00+00,SHORT,2269,0.0,-0.061401974,-0.0064,-0.018840753
2005-04-07 00:00:00+00,SHORT,2269,0.0,-0.05466088,-0.006924316,-0.021733455
2005-04-07 00:00:00+00,SHORT,444,1.0,-0.13051221,0.0073260074,0.006049077
2005-04-07 00:00:00+00,SHORT,3293,0.0,-0.025872787,0.01274726,-0.02404704
2005-04-07 00:00:00+00,SHORT,1740,0.6172053034362708,-0.14994806,-0.009659715,-0.018124258
2005-04-07 00:00:00+00,SHORT,3903,0.19636894421979645,-0.14988628,0.010607915,0.008123477
2005-04-08 00:00:00+00,SHORT,2269,0.0,-0.04857537,-0.005675369,-0.024152594
2005-04-08 00:00:00+00,SHORT,444,0.5881820195265718,-0.12266785,-0.008888889,-0.0057664877
2005-04-08 00:00:00+00,SHORT,937,0.3305777927761593,-0.08679069,-0.0084814215,-0.01943532
2005-04-08 00:00:00+00,SHORT,1250,0.0,-0.09286035,-0.009170034,-0.011904094
2005-04-08 00:00:00+00,SHORT,1585,0.25504818674103985,-0.046373416,-0.0019397746,-0.021824352
2005-04-08 00:00:00+00,SHORT,1710,0.6047963759851664,-0.06181985,-0.005284947,-0.015713707
2005-04-08 00:00:00+00,SHORT,3903,0.16252604697762363,-0.14276555,-0.006863141,-0.0043729045
2005-04-11 00:00:00+00,SHORT,2269,0.0,-0.063007355,0.01516634,-0.00950337
2005-04-11 00:00:00+00,SHORT,444,0.4628760955601689,-0.11949321,-0.0022421526,-0.011254185
2005-04-11 00:00:00+00,SHORT,1250,0.0,-0.08793628,-0.0045490195,-0.01810009
2005-04-11 00:00:00+00,SHORT,1710,0.7357944543897293,-0.05409995,-0.007438236,-0.02024718
2005-04-11 00:00:00+00,SHORT,3890,0.26140720655368604,-0.065494224,0.0012459507,-0.0070747905
2005-04-12 00:00:00+00,SHORT,4122,1.0,-0.046058424,0.004030904,-0.017373338
2005-04-12 00:00:00+00,SHORT,2269,0.0,-0.05941635,-0.002248996,-0.011038086
2005-04-12 00:00:00+00,SHORT,1171,0.30771282186318694,-0.08697285,0.0064117243,-0.0075285384
