time,side,ticker_id,mv_up_composite_labels,ev_ebitda_industry_relative_df086,dist_lower_bb_50_2.0_df055
2007-08-17 00:00:00+00,LONG,1244,0.5807761737944841,0.0613,-0.001803304
2007-08-17 00:00:00+00,LONG,1967,0.0,0.0777,-0.0017114123
2007-08-20 00:00:00+00,LONG,3613,0.9166666666666666,0.0292,-0.008727946
2007-08-20 00:00:00+00,LONG,1967,0.0,0.0777,-0.003136067
2007-08-21 00:00:00+00,LONG,3613,0.875,0.0288,0.002017425
2007-08-21 00:00:00+00,LONG,1967,0.0,0.0777,-0.0022526847
2007-08-22 00:00:00+00,LONG,3613,0.8333333333333334,0.0284,-0.007146876
2007-08-28 00:00:00+00,LONG,4176,0.8222222222222222,0.1051,-0.0055140695
2007-08-28 00:00:00+00,LONG,2938,0.1704021073360686,0.1137,-0.00419522
2007-08-28 00:00:00+00,LONG,1411,1.0,0.0896,-0.0047087367
2007-08-29 00:00:00+00,LONG,2297,1.0,0.0898,0.01417324
2007-09-28 00:00:00+00,LONG,3067,0.3555555555555555,0.1455,-0.008054397
2007-10-22 00:00:00+00,LONG,1210,0.0,0.1213,-0.003757742
2007-10-23 00:00:00+00,LONG,1210,0.0,0.1215,-0.008568833
2007-11-07 00:00:00+00,LONG,799,0.13229886262605883,0.138,0.007628375
2007-11-09 00:00:00+00,LONG,2568,1.0,0.0322,-0.0031542515
2007-11-12 00:00:00+00,LONG,2568,0.9565217391304348,0.0312,-0.0058123153
2007-11-12 00:00:00+00,LONG,787,1.0,0.0192,-0.007148078
2007-11-12 00:00:00+00,LONG,1160,0.0,0.0378,-0.005804257
2007-11-21 00:00:00+00,LONG,787,0.0,0.0194,-0.005696154
2007-11-21 00:00:00+00,LONG,3192,1.0,0.0734,0.0037648445
2007-11-27 00:00:00+00,LONG,2801,1.0,0.1229,-0.002474506
2007-11-30 00:00:00+00,LONG,1039,0.0,0.114,0.061962683
2007-12-03 00:00:00+00,LONG,1039,0.0,0.1143,0.01566903
2008-01-22 00:00:00+00,LONG,562,0.0,0.058,0.015552137
2008-01-23 00:00:00+00,LONG,2430,0.0,0.0722,-0.005224273
2008-01-23 00:00:00+00,LONG,1668,0.23365856137865273,0.1587,0.04077423
2008-01-24 00:00:00+00,LONG,1668,0.0,0.1591,-0.001233774
2008-01-25 00:00:00+00,LONG,799,0.19355066669303217,0.1184,0.0061884965
2008-01-25 00:00:00+00,LONG,1668,0.1515768526387794,0.1592,-0.0011876466
2008-02-29 00:00:00+00,LONG,1411,0.0,0.1329,-0.006647485
2008-03-14 00:00:00+00,LONG,2090,1.0,0.1255,-0.007463759
2008-03-17 00:00:00+00,LONG,3309,0.0,0.1221,0.02654221
2008-03-19 00:00:00+00,LONG,3309,0.0,0.122,0.0114291515
2008-06-02 00:00:00+00,LONG,3522,0.07017543859649122,0.1289,-9.5149764E-4
2008-06-03 00:00:00+00,LONG,3522,0.052631578947368474,0.1285,0.0049198717
2008-06-04 00:00:00+00,LONG,3522,0.03508771929824572,0.129,-0.004159593
2008-06-06 00:00:00+00,LONG,84,0.0,0.1012,0.005827762
2008-06-06 00:00:00+00,LONG,3522,0.0,0.1278,0.015391689
2008-06-09 00:00:00+00,LONG,84,0.0,0.1012,0.00418866
2008-07-03 00:00:00+00,LONG,3013,0.0,0.0601,0.0048310575
2008-07-15 00:00:00+00,LONG,4112,0.0,0.1159,0.04278914
2008-07-15 00:00:00+00,LONG,397,1.0,0.0127,0.008393291
2008-07-16 00:00:00+00,LONG,4112,0.0,0.1145,-0.007721243
2008-07-17 00:00:00+00,LONG,1308,0.0,0.0425,0.006452759
2008-07-18 00:00:00+00,LONG,1308,0.9714285714285714,0.0422,7.519589E-5
2008-07-21 00:00:00+00,LONG,4112,0.0,0.1138,0.006105233
2008-07-31 00:00:00+00,LONG,730,0.0,0.0848,0.041864734
2008-08-01 00:00:00+00,LONG,730,0.0,0.0823,0.05106766
2008-08-04 00:00:00+00,LONG,730,0.0,0.081,0.022266472
2008-08-05 00:00:00+00,LONG,730,0.0,0.0773,0.010402726
2008-10-10 00:00:00+00,LONG,2067,1.0,0.0149,0.04668588
2008-10-13 00:00:00+00,LONG,2482,0.0,0.1329,-0.0010115192
2008-10-13 00:00:00+00,LONG,1308,0.0,0.0398,0.037172068
2008-10-14 00:00:00+00,LONG,2482,0.0,0.135,-0.0067360513
2008-10-14 00:00:00+00,LONG,1308,0.0,0.0398,0.042089622
2008-10-15 00:00:00+00,LONG,2482,0.0,0.1334,0.055540416
2008-10-16 00:00:00+00,LONG,2482,0.0,0.1339,-0.0013500918
2008-10-16 00:00:00+00,LONG,1308,0.8666666666666667,0.0404,0.012921667
2008-10-17 00:00:00+00,LONG,2482,0.0,0.1357,-6.3131796E-4
2008-10-17 00:00:00+00,LONG,1308,0.0,0.0404,0.016873388
2008-11-21 00:00:00+00,LONG,3681,0.0,0.0343,0.06984821
2008-11-25 00:00:00+00,LONG,3681,0.0,0.0353,-0.005469114
2009-02-20 00:00:00+00,LONG,4074,1.0,0.1443,0.0074832686
2009-02-23 00:00:00+00,LONG,4074,0.9615384615384616,0.1445,-4.975806E-4
2009-03-10 00:00:00+00,LONG,397,1.0,0.0113,0.018667674
2009-03-11 00:00:00+00,LONG,157,0.0,0.0157,0.03325314
2009-07-10 00:00:00+00,LONG,1012,0.8959952049531258,0.0117,0.0125032095
2009-07-13 00:00:00+00,LONG,4187,0.7603635754459181,0.0148,-0.0026411605
2009-07-13 00:00:00+00,LONG,1012,0.9319539517249994,0.0116,-0.008111906
2009-09-17 00:00:00+00,LONG,2670,0.0,0.1419,0.0052691703
2009-10-27 00:00:00+00,LONG,3681,0.0,0.0752,-0.0076975147
2009-10-30 00:00:00+00,LONG,3681,1.0,0.0735,0.01509033
2009-11-02 00:00:00+00,LONG,3681,0.9705882352941176,0.0769,5.6787353E-4
2009-12-17 00:00:00+00,LONG,1303,1.0,0.0442,0.01978904
2009-12-18 00:00:00+00,LONG,1303,0.9523809523809523,0.0443,0.013556409
2009-12-21 00:00:00+00,LONG,1303,0.9047619047619048,0.0436,-5.473728E-4
2010-02-05 00:00:00+00,LONG,4034,0.0,0.1264,-0.0021969234
2010-02-08 00:00:00+00,LONG,4034,0.0,0.1261,-7.350603E-4
2010-02-12 00:00:00+00,LONG,3293,0.3717306366906956,0.0122,-0.0039453832
2010-04-27 00:00:00+00,LONG,1767,0.0,0.0136,0.012406454
2010-04-30 00:00:00+00,LONG,3013,0.0,0.0267,0.009519725
2010-05-05 00:00:00+00,LONG,4112,0.0,0.0759,0.010285342
2010-05-21 00:00:00+00,LONG,397,0.40580228305044774,0.0126,0.025141494
2010-05-24 00:00:00+00,LONG,39,1.0,0.0318,0.01717165
2010-05-24 00:00:00+00,LONG,397,0.35306791887091765,0.0127,0.0045583486
2010-05-25 00:00:00+00,LONG,4112,1.0,0.086,-0.004280662
2010-05-25 00:00:00+00,LONG,39,0.8573904348140649,0.0321,0.0063871257
2010-05-25 00:00:00+00,LONG,397,0.6516092275857919,0.0127,0.0031271963
2010-05-26 00:00:00+00,LONG,39,0.80299612933633,0.0322,0.0026956392
2010-05-26 00:00:00+00,LONG,397,0.6432756551752833,0.0126,0.009478236
2010-06-01 00:00:00+00,LONG,39,0.7619047619047619,0.0318,0.0048481296
2010-06-01 00:00:00+00,LONG,397,0.31054157467671,0.0127,-0.004715963
2010-06-04 00:00:00+00,LONG,39,0.6190476190476191,0.0318,0.002721379
2010-06-07 00:00:00+00,LONG,39,0.5714285714285714,0.0316,0.005508891
2010-06-08 00:00:00+00,LONG,39,0.5238095238095238,0.0319,-0.0050300756
2010-06-09 00:00:00+00,LONG,39,0.4761904761904763,0.0317,-0.0037709912
2010-07-06 00:00:00+00,LONG,4112,0.9459459459459459,0.0817,0.021582346
2010-09-13 00:00:00+00,LONG,2350,1.0,0.0242,0.0035605554
2010-10-05 00:00:00+00,LONG,395,0.9579444717759141,0.0483,0.0050856285
2010-10-06 00:00:00+00,LONG,395,0.967741935483871,0.0482,0.006279064
2010-10-07 00:00:00+00,LONG,395,0.935483870967742,0.0483,0.0059579047
2010-10-08 00:00:00+00,LONG,395,0.9032258064516129,0.0483,-0.0031332257
2010-10-11 00:00:00+00,LONG,395,0.8709677419354839,0.0483,-0.005963056
2010-11-16 00:00:00+00,LONG,562,0.0,0.0973,-0.007854771
2010-11-16 00:00:00+00,LONG,1437,0.0,0.059,0.008468683
2010-11-23 00:00:00+00,LONG,3013,0.8950331472933621,0.0176,0.02321158
2010-11-26 00:00:00+00,LONG,3013,0.3577052231693238,0.0175,-0.008647394
2010-11-29 00:00:00+00,LONG,1615,0.35853000864081264,0.1471,0.01872377
2010-11-30 00:00:00+00,LONG,2119,0.9642857142857143,0.0432,-0.0014786577
2010-11-30 00:00:00+00,LONG,3335,1.0,0.1363,0.009156082
2010-11-30 00:00:00+00,LONG,1615,0.41635925984164646,0.1457,0.021992432
2010-12-01 00:00:00+00,LONG,3335,0.9642857142857143,0.1367,-0.006990475
2010-12-20 00:00:00+00,LONG,3681,1.0,0.0902,0.015382325
2010-12-21 00:00:00+00,LONG,2548,0.05714285714285716,0.0578,-0.004370992
2010-12-22 00:00:00+00,LONG,2548,0.01686893512794779,0.0572,0.002078969
2010-12-23 00:00:00+00,LONG,2548,0.0,0.0575,0.004113654
2010-12-27 00:00:00+00,LONG,475,0.6096327430631721,0.0309,-9.522496E-4
2010-12-28 00:00:00+00,LONG,475,0.6368035852609286,0.0311,-0.004674264
2010-12-28 00:00:00+00,LONG,502,0.589156542938729,0.0748,-0.007093138
2010-12-29 00:00:00+00,LONG,475,0.5797129457618131,0.031,-0.005679925
2010-12-30 00:00:00+00,LONG,502,0.8372093023255813,0.0748,-0.00734004
2010-12-31 00:00:00+00,LONG,502,0.813953488372093,0.0748,0.0065839845
2011-02-10 00:00:00+00,LONG,4112,1.0,0.0607,0.006785662
2011-03-10 00:00:00+00,LONG,3013,0.0,0.1433,-0.0064476705
2011-03-15 00:00:00+00,LONG,2430,0.23650738992620388,0.0887,0.02787732
2011-03-16 00:00:00+00,LONG,2430,0.19995146813539616,0.0891,0.021544619
2011-03-16 00:00:00+00,LONG,3310,0.23562257734431705,0.019,0.03153848
2011-03-17 00:00:00+00,LONG,2430,0.11757344040225215,0.091,-0.0015495488
2011-03-17 00:00:00+00,LONG,3310,0.22063291749175082,0.0193,0.02351647
2011-03-18 00:00:00+00,LONG,3310,0.14801447453777417,0.0196,-7.036711E-5
2011-03-23 00:00:00+00,LONG,64,0.0,0.1546,0.0073020062
2011-04-19 00:00:00+00,LONG,1108,0.0,0.1014,0.02528424
2011-05-13 00:00:00+00,LONG,85,0.0,0.1319,0.003985514
2011-05-18 00:00:00+00,LONG,101,0.0,0.1275,-0.0025912002
2011-05-25 00:00:00+00,LONG,1108,0.0,0.1389,-0.0060388553
2011-06-08 00:00:00+00,LONG,64,0.0,0.0391,0.0068302997
2011-06-13 00:00:00+00,LONG,3574,0.0,0.0424,0.0041210004
2011-06-16 00:00:00+00,LONG,502,0.0,0.0171,0.008186837
2011-06-23 00:00:00+00,LONG,1099,0.0,0.0875,-0.008079844
2011-06-24 00:00:00+00,LONG,1099,0.0,0.087,-0.0070703933
2011-06-24 00:00:00+00,LONG,1678,1.0,0.0327,0.019470952
2011-06-27 00:00:00+00,LONG,1678,0.9666666666666667,0.0333,0.0035541086
2011-08-08 00:00:00+00,LONG,557,1.0,0.011,0.011057016
2011-08-10 00:00:00+00,LONG,73,0.6156353402138544,0.1496,0.062054023
2011-08-11 00:00:00+00,LONG,73,0.4880693997744458,0.1456,0.0132029895
2011-08-12 00:00:00+00,LONG,73,0.5372766845169236,0.1452,-0.0025241114
2011-08-18 00:00:00+00,LONG,73,0.522015537947303,0.1517,-0.0041862563
2011-08-19 00:00:00+00,LONG,73,0.6878795690718217,0.1424,-0.00867303
2011-08-19 00:00:00+00,LONG,4083,0.0,0.0869,0.06844378
2011-08-22 00:00:00+00,LONG,4083,0.0,0.0866,0.046533506
2011-08-23 00:00:00+00,LONG,76,1.0,0.0431,0.015398373
2011-08-23 00:00:00+00,LONG,4083,0.0,0.0873,-0.005678048
2011-09-22 00:00:00+00,LONG,3310,1.0,0.0591,-1.0363496E-4
2011-11-17 00:00:00+00,LONG,1762,0.0,0.0208,0.007962534
2011-12-01 00:00:00+00,LONG,3648,0.443113543374481,0.0947,-0.002186893
2011-12-19 00:00:00+00,LONG,791,0.5201731230788362,0.1372,-0.00332734
2011-12-20 00:00:00+00,LONG,429,0.2731359191059937,0.0992,0.01870704
2011-12-20 00:00:00+00,LONG,3897,1.0,0.078,-0.0043340386
2012-01-25 00:00:00+00,LONG,1303,0.0,0.0551,0.055581752
2012-01-26 00:00:00+00,LONG,2285,1.0,0.1463,0.004610403
2012-01-26 00:00:00+00,LONG,1303,0.0,0.0565,0.015824938
2012-01-26 00:00:00+00,LONG,1678,0.4572438686551168,0.0184,-0.0039075967
2012-01-27 00:00:00+00,LONG,1303,0.0,0.0564,0.006643873
2012-03-14 00:00:00+00,LONG,3748,0.8437234552250941,0.1507,0.010124731
2012-03-15 00:00:00+00,LONG,3748,0.7826689826728356,0.1504,0.009442911
2012-03-16 00:00:00+00,LONG,3748,0.8122519316614867,0.1505,0.0125512825
2012-03-19 00:00:00+00,LONG,3748,0.8149507285642001,0.1502,0.0062644035
2012-03-22 00:00:00+00,LONG,3748,0.7802628897233141,0.1507,-0.006503055
2012-03-23 00:00:00+00,LONG,3748,0.7449497247924995,0.1507,-0.0074309586
