time,side,ticker_id,mv_dn_composite_labels,price_drift_1_df005,dist_upper_bb_20_2.0_df055
2006-02-06 00:00:00+00,SHORT,1949,0.4910484775393386,0.021413703,0.009921204
2006-02-08 00:00:00+00,SHORT,1297,0.0,0.0280574,7.5026194E-4
2006-02-14 00:00:00+00,SHORT,394,0.3470640881936,0.033143938,0.020384774
2006-02-17 00:00:00+00,SHORT,3744,1.0,0.023528531,0.028577222
2006-02-22 00:00:00+00,SHORT,2248,0.4889008943378846,0.021600494,0.008032138
2006-02-23 00:00:00+00,SHORT,219,0.0,0.024833959,0.004488008
2006-02-23 00:00:00+00,SHORT,3286,0.0,0.02028302,0.0020606162
2006-02-24 00:00:00+00,SHORT,2343,0.47205252996626823,0.034285564,0.0030299583
2006-02-27 00:00:00+00,SHORT,1631,0.3603787156986702,0.03259812,0.006785534
2006-02-27 00:00:00+00,SHORT,4034,1.0,0.023148147,0.03374082
2006-03-07 00:00:00+00,SHORT,1108,0.587040353542918,0.028037382,0.0140382275
2006-03-16 00:00:00+00,SHORT,1650,0.0,0.02077922,4.1510927E-4
2006-03-22 00:00:00+00,SHORT,3127,0.22065970567597123,0.024383983,0.028511077
2006-03-22 00:00:00+00,SHORT,1303,0.7930369898173947,0.025346225,0.015038253
2006-03-29 00:00:00+00,SHORT,167,1.0,0.033917468,0.01768295
2006-03-29 00:00:00+00,SHORT,2999,0.680065050872031,0.020011222,0.009371884
2006-03-29 00:00:00+00,SHORT,1939,1.0,0.020702586,0.0058313287
2006-04-03 00:00:00+00,SHORT,3013,0.0,0.025235109,0.0013053402
2006-04-03 00:00:00+00,SHORT,3286,0.7711314042179561,0.021507666,3.2001353E-5
2006-04-05 00:00:00+00,SHORT,2297,0.4063706918470947,0.032967035,0.0038288801
2006-04-06 00:00:00+00,SHORT,220,1.0,0.03133369,0.017836245
2006-04-19 00:00:00+00,SHORT,2085,1.0,0.022155086,0.019207152
2006-04-19 00:00:00+00,SHORT,2690,0.45640811050335295,0.029517688,0.016193537
2006-04-20 00:00:00+00,SHORT,1988,0.42608771276203755,0.03381818,0.016792404
2006-04-24 00:00:00+00,SHORT,487,0.6145385765254086,0.02653486,0.001236682
2006-04-25 00:00:00+00,SHORT,2548,0.6537547639451712,0.022026848,0.0046063224
2006-04-25 00:00:00+00,SHORT,1396,1.0,0.03076923,-6.728788E-5
2006-05-01 00:00:00+00,SHORT,1195,1.0,0.020417884,9.562052E-4
2006-05-02 00:00:00+00,SHORT,457,0.6032716197878029,0.023266306,0.0129779
2006-05-02 00:00:00+00,SHORT,1473,1.0,0.029616725,0.006164509
2006-05-05 00:00:00+00,SHORT,2090,1.0,0.021011163,0.0018500922
2006-05-05 00:00:00+00,SHORT,3109,1.0,0.031220725,0.017831013
2006-05-05 00:00:00+00,SHORT,3203,0.8411384219986103,0.025306433,0.0067527164
2006-05-05 00:00:00+00,SHORT,1719,1.0,0.022192333,0.02691899
2006-05-08 00:00:00+00,SHORT,2041,1.0,0.026399544,0.017498454
2006-05-09 00:00:00+00,SHORT,9,0.5372456087633902,0.021848317,0.0026635365
2006-05-09 00:00:00+00,SHORT,3947,1.0,0.03009915,0.0070339004
2006-05-11 00:00:00+00,SHORT,874,1.0,0.021865515,0.0011984035
2006-05-18 00:00:00+00,SHORT,2527,0.08015604694307644,0.023005242,0.0028420612
2006-05-26 00:00:00+00,SHORT,1377,0.5368634128463131,0.022377623,0.005840076
2006-06-01 00:00:00+00,SHORT,2396,0.7708797249141024,0.020606061,0.009543445
2006-06-02 00:00:00+00,SHORT,2703,0.5412289639639895,0.031212723,0.0018693493
2006-06-30 00:00:00+00,SHORT,3124,0.6407403335764376,0.028712409,0.022264237
2006-07-03 00:00:00+00,SHORT,429,0.045333774096473295,0.023505805,0.024659758
2006-07-03 00:00:00+00,SHORT,602,0.48113520077989974,0.032472406,0.025094612
