time,side,ticker_id,mv_dn_composite_labels,skew_weighted_20_df037,dist_upper_bb_20_2.5_df055
2005-09-06 00:00:00+00,SHORT,1076,0.5268388940868272,0.5584106,0.0068792887
2005-09-06 00:00:00+00,SHORT,1463,0.47277763521203353,0.5823579,-0.00813975
2005-09-06 00:00:00+00,SHORT,1514,0.6322647594946551,0.32985604,-0.0017927474
2005-09-07 00:00:00+00,SHORT,2613,0.0,0.43381822,-0.012130574
2005-09-07 00:00:00+00,SHORT,1076,0.4357081590624795,0.5441967,-0.006308096
2005-09-07 00:00:00+00,SHORT,3918,0.5390967500112482,0.36875424,0.003643992
2005-09-08 00:00:00+00,SHORT,2095,0.5055051885223582,0.3409004,0.0027030997
2005-09-09 00:00:00+00,SHORT,191,0.0,0.44021344,0.015663026
2005-09-09 00:00:00+00,SHORT,2661,1.0,0.35273886,0.009855195
2005-09-09 00:00:00+00,SHORT,1299,0.5170311403594415,0.33484226,-0.012236377
2005-09-09 00:00:00+00,SHORT,3538,1.0,0.27851528,-0.010911524
2005-09-12 00:00:00+00,SHORT,2640,0.0,0.40455619,-9.2104287E-4
2005-09-12 00:00:00+00,SHORT,1297,0.7597757005471123,0.47168347,0.0057499986
2005-09-12 00:00:00+00,SHORT,3614,0.48740076925033815,0.32229516,-0.008202059
2005-09-13 00:00:00+00,SHORT,1650,1.0,0.4704833,-0.006636783
2005-09-28 00:00:00+00,SHORT,3013,0.5285774135553772,0.44236863,-0.010542795
2005-09-29 00:00:00+00,SHORT,2270,0.23392095139912572,0.39661562,-0.011964961
2005-09-29 00:00:00+00,SHORT,1012,1.0,0.38269782,-0.0034025041
2005-09-29 00:00:00+00,SHORT,3754,0.48999192819101395,0.58292115,0.003253134
2005-09-30 00:00:00+00,SHORT,3811,0.05871772391149543,0.30689695,-0.011266039
2005-10-03 00:00:00+00,SHORT,2055,1.0,0.4198109,-0.011851556
2005-10-03 00:00:00+00,SHORT,2116,1.0,0.34512103,0.008280563
2005-10-03 00:00:00+00,SHORT,142,1.0,0.30286866,-0.0014852051
2005-10-03 00:00:00+00,SHORT,220,0.6555241429718353,0.34990874,-0.00490286
2005-10-03 00:00:00+00,SHORT,2270,0.2189816046148284,0.35928276,-0.010640705
2005-10-03 00:00:00+00,SHORT,2285,0.21452067610611805,0.32064652,-0.007509515
2005-10-03 00:00:00+00,SHORT,2437,0.431268646291442,0.35404587,-0.0032388743
2005-10-03 00:00:00+00,SHORT,2473,0.8011610124360771,0.5020856,2.7906717E-4
2005-10-03 00:00:00+00,SHORT,2567,0.29354802469742813,0.38987625,-0.0059208255
2005-10-03 00:00:00+00,SHORT,2816,0.6087719424194011,0.36123654,-0.011564071
2005-10-03 00:00:00+00,SHORT,2979,1.0,0.34581983,-0.0050957263
2005-10-03 00:00:00+00,SHORT,3114,0.7774963464060076,0.36048725,-0.0042856336
2005-10-03 00:00:00+00,SHORT,3471,1.0,0.39505732,-0.0043521062
2005-10-04 00:00:00+00,SHORT,91,1.0,0.6250446,-0.006699264
2005-10-04 00:00:00+00,SHORT,93,0.46559073133151685,0.3413172,-0.0039643287
2005-10-04 00:00:00+00,SHORT,4194,1.0,0.51074034,0.03626034
2005-10-04 00:00:00+00,SHORT,2582,1.0,0.39516285,-0.009109599
2005-10-04 00:00:00+00,SHORT,3241,0.0,0.3618762,-0.0071927635
2005-10-04 00:00:00+00,SHORT,3357,0.24055465214302377,0.50422585,-0.011480344
2005-10-04 00:00:00+00,SHORT,4034,1.0,0.60835546,0.0019026692
2005-10-10 00:00:00+00,SHORT,4137,0.0,0.40700564,0.009745389
2005-10-11 00:00:00+00,SHORT,2613,0.0,0.6267172,0.017117502
2005-10-19 00:00:00+00,SHORT,2247,0.0,0.39325723,0.0034296853
2005-10-20 00:00:00+00,SHORT,2247,0.0,0.3631044,-0.0033731028
2005-10-20 00:00:00+00,SHORT,3716,0.0,0.27745453,-0.0013403998
2005-10-21 00:00:00+00,SHORT,522,0.5543575191872698,0.30549687,-6.8730273E-4
2005-10-21 00:00:00+00,SHORT,1220,0.0,0.34627336,0.014172163
2005-10-24 00:00:00+00,SHORT,3244,0.3687661242730742,0.27094144,-0.007316392
2005-10-24 00:00:00+00,SHORT,3343,0.0,0.27761874,-0.0048433035
2005-11-01 00:00:00+00,SHORT,1175,1.0,0.46331334,0.042038415
2005-11-02 00:00:00+00,SHORT,3275,0.0,0.39335385,0.0033426657
2005-11-02 00:00:00+00,SHORT,3310,0.0,0.5468459,-0.003927378
2005-11-03 00:00:00+00,SHORT,2196,0.14990815891824077,0.35967025,3.2590053E-4
2005-11-03 00:00:00+00,SHORT,694,0.09018147770835146,0.3831766,0.0098694535
2005-11-04 00:00:00+00,SHORT,2196,0.13604803089797654,0.3091452,-0.010515856
2005-11-04 00:00:00+00,SHORT,1368,0.0,0.34632343,0.032652058
2005-11-07 00:00:00+00,SHORT,1368,0.0,0.31307742,-3.253866E-4
2005-11-09 00:00:00+00,SHORT,710,0.33642895144459917,0.43542036,-0.0030436378
2005-11-10 00:00:00+00,SHORT,2247,0.0,0.28365505,-0.009182349
2005-11-14 00:00:00+00,SHORT,39,0.37351541413018957,0.5957201,-0.010836506
2005-11-17 00:00:00+00,SHORT,4215,0.9166666666666666,0.29290894,-0.010165745
2005-11-21 00:00:00+00,SHORT,2554,0.44729306943481045,0.38595098,-0.012038768
2005-11-22 00:00:00+00,SHORT,3912,0.4968246089976102,0.4563004,-0.0076438286
2005-11-22 00:00:00+00,SHORT,1960,0.6109640145433266,0.43195832,0.020680817
2005-11-23 00:00:00+00,SHORT,1960,0.524803518726963,0.42844012,-0.009464242
2005-11-25 00:00:00+00,SHORT,2665,0.3040886593226361,0.387087,-0.002813528
2005-11-28 00:00:00+00,SHORT,3309,0.0,0.65646946,-0.007011676
2005-11-29 00:00:00+00,SHORT,3309,0.0,0.6654255,-0.011481826
2005-12-01 00:00:00+00,SHORT,2297,0.564537023647769,0.46344954,0.004252731
2005-12-01 00:00:00+00,SHORT,2835,0.0,0.50147593,0.015628787
2005-12-01 00:00:00+00,SHORT,3456,0.2617417015520155,0.2770605,0.010809678
2005-12-02 00:00:00+00,SHORT,19,0.3763331751861506,0.47038212,-0.011217325
2005-12-02 00:00:00+00,SHORT,444,0.42154631942497545,0.31618336,0.0053045903
2005-12-02 00:00:00+00,SHORT,588,0.15189822580745158,0.4859333,0.008121937
2005-12-02 00:00:00+00,SHORT,903,0.5960192588142917,0.59894675,-0.0020476796
2005-12-05 00:00:00+00,SHORT,444,0.3620087188588662,0.29202908,-0.009437921
2005-12-06 00:00:00+00,SHORT,3433,0.09329199058895249,0.33508688,8.910653E-4
2005-12-06 00:00:00+00,SHORT,2041,0.0,0.37336642,0.0071158437
2005-12-07 00:00:00+00,SHORT,1615,0.0,0.4847065,-0.0019402531
2005-12-12 00:00:00+00,SHORT,675,0.5534669503837981,0.2707693,-6.8030605E-4
2005-12-14 00:00:00+00,SHORT,243,0.23359293582537782,0.37700722,-0.011036553
2005-12-14 00:00:00+00,SHORT,2582,0.0,0.4498118,-0.011643051
2005-12-14 00:00:00+00,SHORT,870,0.0,0.43166143,-0.0043676076
2005-12-14 00:00:00+00,SHORT,4005,0.3213857135443851,0.47868738,0.016641008
2005-12-16 00:00:00+00,SHORT,3052,0.25939308310238945,0.29036453,-0.0016967927
2005-12-16 00:00:00+00,SHORT,1235,0.5676695915744582,0.52654475,-0.012206104
2005-12-16 00:00:00+00,SHORT,2032,0.19608305321825206,0.38911977,-0.010478649
2005-12-19 00:00:00+00,SHORT,2971,0.0,0.41035745,0.018183457
2005-12-29 00:00:00+00,SHORT,559,0.0,0.41045213,-0.010780888
2006-01-03 00:00:00+00,SHORT,559,0.0,0.36688685,-0.010967848
2006-01-04 00:00:00+00,SHORT,2670,0.7248949887078712,0.40967974,-0.003315617
2006-01-05 00:00:00+00,SHORT,3142,0.0,0.3911288,-0.007853151
2006-01-06 00:00:00+00,SHORT,405,0.8396667998144538,0.4255934,-0.005641263
2006-01-06 00:00:00+00,SHORT,588,0.0,0.37683848,-0.0085708145
2006-01-06 00:00:00+00,SHORT,3142,0.0,0.3800146,-0.011849343
2006-01-06 00:00:00+00,SHORT,3203,1.0,0.64287114,-0.0062518944
2006-01-06 00:00:00+00,SHORT,1967,0.14559746373647175,0.43930474,-0.0093359575
2006-01-09 00:00:00+00,SHORT,19,0.0,0.30152753,-0.012200949
2006-01-09 00:00:00+00,SHORT,2261,0.0,0.45847479,-0.008247417
2006-01-09 00:00:00+00,SHORT,2327,0.3527959295276325,0.2869296,-0.0082090795
2006-01-09 00:00:00+00,SHORT,429,0.18792032021594396,0.4873592,-0.010381604
2006-01-09 00:00:00+00,SHORT,3013,0.0,0.46200514,-0.0061714794
2006-01-09 00:00:00+00,SHORT,1434,0.2420860315452285,0.44011167,0.0033583874
2006-01-09 00:00:00+00,SHORT,1762,0.0,0.363527,-0.0021699115
2006-01-09 00:00:00+00,SHORT,3824,0.7151611929184389,0.4649351,0.005373621
2006-01-09 00:00:00+00,SHORT,1803,0.4480819002875423,0.346581,-0.0043508476
2006-01-10 00:00:00+00,SHORT,2084,1.0,0.41275063,-0.01002689
2006-01-10 00:00:00+00,SHORT,2230,0.38894570671880085,0.5008767,-0.005807062
2006-01-10 00:00:00+00,SHORT,2557,0.5624944867269864,0.52456594,0.0038114192
2006-01-10 00:00:00+00,SHORT,3473,0.17768242467481396,0.35403228,-0.0053194277
2006-01-10 00:00:00+00,SHORT,1434,0.20371295850544438,0.2938748,-0.009204712
2006-01-11 00:00:00+00,SHORT,2090,0.1520704171339358,0.37716624,-0.0055457954
2006-01-11 00:00:00+00,SHORT,2106,1.0,0.53973633,-0.006054343
2006-01-11 00:00:00+00,SHORT,2230,0.3539430481928154,0.4918566,-0.00968435
2006-01-11 00:00:00+00,SHORT,394,0.0,0.47374845,-0.0038702127
2006-01-11 00:00:00+00,SHORT,516,0.09158997025879478,0.34658423,-0.006360277
2006-01-11 00:00:00+00,SHORT,2993,0.6714105214134006,0.30618763,-0.009880496
2006-01-11 00:00:00+00,SHORT,3078,0.0,0.34815466,-0.010846293
2006-01-11 00:00:00+00,SHORT,3127,0.16154701543700692,0.3663181,0.0103315925
2006-01-11 00:00:00+00,SHORT,1090,1.0,0.43349224,0.0060327426
2006-01-11 00:00:00+00,SHORT,1377,0.507589722941336,0.3591745,-0.0075394437
2006-01-12 00:00:00+00,SHORT,13,0.0,0.40132225,0.0065222955
2006-01-12 00:00:00+00,SHORT,4224,0.4658213139319328,0.32677647,-0.008228373
2006-01-12 00:00:00+00,SHORT,183,0.881731093561648,0.3335435,-0.0035228035
2006-01-13 00:00:00+00,SHORT,13,0.0,0.44984388,-0.009630736
2006-01-13 00:00:00+00,SHORT,2497,1.0,0.39311668,0.033257604
2006-01-13 00:00:00+00,SHORT,450,0.4012303173346503,0.31512323,-0.011537583
