time,side,ticker_id,mv_up_composite_labels,dist_lower_bb_20_2.0_df055,dist_lower_bb_50_2.0_df055,joint_fall_flag_5_20_df042
2005-01-31 00:00:00+00,LONG,3330,0.0470183361156952,-0.02485598,-0.021689024,0.0
2005-01-31 00:00:00+00,LONG,1300,0.3573994154439348,-0.022260776,-0.013893303,0.0
2005-01-31 00:00:00+00,LONG,3538,0.9020792511653218,-0.014052995,-0.009649317,0.0
2005-01-31 00:00:00+00,LONG,1514,0.9459459459459459,-0.020797467,-0.010827532,0.0
2005-01-31 00:00:00+00,LONG,3912,0.0,-0.067521416,-0.014202977,0.0
2005-01-31 00:00:00+00,LONG,4034,0.9583333333333334,-0.036702804,-0.019136958,0.0
2005-02-01 00:00:00+00,LONG,2430,0.35716356856194903,-0.02467274,-0.018461403,0.0
2005-02-01 00:00:00+00,LONG,835,0.40743043192337297,-0.024188057,-0.012763014,0.0
2005-02-01 00:00:00+00,LONG,1076,0.5566279330391695,-0.023032183,-0.02052728,0.0
2005-02-01 00:00:00+00,LONG,1299,0.6199060819317226,-0.020505117,-0.010211785,0.0
2005-02-01 00:00:00+00,LONG,3470,0.39552374503994236,-0.026701177,-0.013530011,0.0
2005-02-01 00:00:00+00,LONG,4016,0.1109924846281859,-0.015336821,-0.008971733,0.0
2005-02-02 00:00:00+00,LONG,4218,0.33263935320452415,-0.015994502,-0.015769316,0.0
2005-02-02 00:00:00+00,LONG,835,0.5117225571815651,-0.026109572,-0.015869215,0.0
2005-02-02 00:00:00+00,LONG,1299,0.620633831064151,-0.019838748,-0.011003855,0.0
2005-02-02 00:00:00+00,LONG,1371,0.0,-0.021380298,-0.017423412,0.0
2005-02-03 00:00:00+00,LONG,2710,0.0,-0.026799597,-0.015342212,0.0
2005-02-03 00:00:00+00,LONG,786,0.0,-0.037971105,-0.016835405,0.0
2005-02-03 00:00:00+00,LONG,835,0.4830376720032014,-0.028100766,-0.017589988,0.0
2005-02-03 00:00:00+00,LONG,2923,0.14597270459678033,-0.02207996,-0.01643606,0.0
2005-02-03 00:00:00+00,LONG,918,0.7779791801175078,-0.028709054,-0.016120853,0.0
2005-02-03 00:00:00+00,LONG,1144,0.5176066650087443,-0.020728197,-0.009581561,0.0
2005-02-03 00:00:00+00,LONG,1371,0.0,-0.024532706,-0.02156917,0.0
2005-02-03 00:00:00+00,LONG,4016,0.05510707331443236,-0.024781728,-0.019625349,0.0
2005-02-03 00:00:00+00,LONG,1985,0.4710170749479398,-0.017742816,-0.01789818,0.0
2005-02-04 00:00:00+00,LONG,2430,0.3251213157763388,-0.02339786,-0.020560374,0.0
2005-02-04 00:00:00+00,LONG,786,0.0,-0.037446935,-0.01989851,0.0
2005-02-04 00:00:00+00,LONG,835,0.5274538822290994,-0.025906043,-0.014500293,0.0
2005-02-04 00:00:00+00,LONG,2923,0.84375,-0.013221497,-0.01069127,0.0
2005-02-04 00:00:00+00,LONG,918,0.748787491875752,-0.032518107,-0.02075998,0.0
2005-02-04 00:00:00+00,LONG,3216,0.20365061425504244,-0.036116388,-0.012020786,0.0
2005-02-04 00:00:00+00,LONG,4050,0.9137872200109185,-0.017223014,-0.01082886,0.0
2005-02-07 00:00:00+00,LONG,918,0.5438150375827774,-0.027158309,-0.016568638,0.0
2005-02-07 00:00:00+00,LONG,3216,0.3679335901728851,-0.0330095,-0.014294911,0.0
2005-02-07 00:00:00+00,LONG,3681,0.44369961477198905,-0.019122075,-0.015855003,0.0
2005-02-07 00:00:00+00,LONG,4016,0.0,-0.017944215,-0.017842872,0.0
2005-02-08 00:00:00+00,LONG,918,0.7407407407407407,-0.020922828,-0.011136348,0.0
2005-02-08 00:00:00+00,LONG,3216,0.3039198921501457,-0.029815186,-0.017084792,0.0
2005-02-08 00:00:00+00,LONG,3355,0.0,-0.03934476,-0.012874875,0.0
2005-02-08 00:00:00+00,LONG,1610,0.0,-0.025181424,-0.019144865,0.0
2005-02-08 00:00:00+00,LONG,3681,0.3102945114334567,-0.020366773,-0.017512038,0.0
2005-02-08 00:00:00+00,LONG,3703,0.0,-0.039652158,-0.019965393,0.0
2005-02-08 00:00:00+00,LONG,1807,0.0,-0.034723524,-0.009573054,0.0
2005-02-08 00:00:00+00,LONG,4050,0.0,-0.01851908,-0.010092489,0.0
2005-02-09 00:00:00+00,LONG,562,0.22574386352239942,-0.024549138,-0.020868653,0.0
2005-02-09 00:00:00+00,LONG,3681,0.5873948563729913,-0.019446544,-0.016915854,0.0
2005-02-10 00:00:00+00,LONG,4050,0.9038461538461539,-0.013478678,-0.008487279,0.0
2005-02-11 00:00:00+00,LONG,2070,0.0,-0.025348771,-0.019866988,0.0
2005-02-11 00:00:00+00,LONG,85,0.0,-0.020976447,-0.0208144,0.0
2005-02-11 00:00:00+00,LONG,212,0.0,-0.016420312,-0.01410806,0.0
2005-02-11 00:00:00+00,LONG,522,1.0,-0.046507336,-0.008209698,0.0
2005-02-11 00:00:00+00,LONG,629,0.406655737705583,-0.03559093,-0.02064543,0.0
2005-02-11 00:00:00+00,LONG,3355,0.0,-0.03897423,-0.009968157,0.0
2005-02-14 00:00:00+00,LONG,2070,0.0,-0.019585919,-0.0113195805,0.0
2005-02-14 00:00:00+00,LONG,212,0.0,-0.023485936,-0.020270336,0.0
2005-02-14 00:00:00+00,LONG,522,0.9523809523809523,-0.048548,-0.012689375,0.0
2005-02-14 00:00:00+00,LONG,3355,0.0,-0.040767476,-0.012254011,0.0
2005-02-14 00:00:00+00,LONG,4050,0.8653846153846154,-0.015161523,-0.014762971,0.0
2005-02-15 00:00:00+00,LONG,2070,0.0,-0.018970953,-0.008927973,0.0
2005-02-15 00:00:00+00,LONG,4169,0.24419155838541506,-0.021388654,-0.018573314,0.0
2005-02-15 00:00:00+00,LONG,212,0.0,-0.017505845,-0.016931921,0.0
2005-02-15 00:00:00+00,LONG,3782,0.0,-0.02031349,-0.02037836,0.0
2005-02-15 00:00:00+00,LONG,4050,0.8461538461538461,-0.01307253,-0.013901964,0.0
2005-02-16 00:00:00+00,LONG,2070,0.0,-0.0201244,-0.008362967,0.0
2005-02-16 00:00:00+00,LONG,2710,0.0,-0.031264443,-0.019178536,0.0
2005-02-16 00:00:00+00,LONG,4050,0.8269230769230769,-0.01628411,-0.0184249,0.0
2005-02-17 00:00:00+00,LONG,522,0.8095238095238095,-0.01805424,-0.010268968,0.0
2005-02-18 00:00:00+00,LONG,2070,0.0,-0.02555405,-0.007838203,0.0
2005-02-18 00:00:00+00,LONG,85,0.0,-0.020430705,-0.020000026,0.0
2005-02-18 00:00:00+00,LONG,3287,0.8636363636363636,-0.046845205,-0.011319567,0.0
2005-02-18 00:00:00+00,LONG,3702,0.5041873368532054,-0.034865137,-0.013912758,0.0
2005-02-22 00:00:00+00,LONG,2462,0.0,-0.021313777,-0.014665975,0.0
2005-02-22 00:00:00+00,LONG,3702,0.4440147687870752,-0.034643743,-0.020007784,0.0
2005-02-22 00:00:00+00,LONG,3782,0.6145597742465554,-0.024307806,-0.020475857,0.0
2005-02-23 00:00:00+00,LONG,2070,0.0,-0.028705904,-0.007973923,0.0
