time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.5_df055,weighted_neg_sum_20_df036
2005-09-02 00:00:00+00,SHORT,535,0.0,0.013926907,0.1739779
2005-09-02 00:00:00+00,SHORT,1668,0.332099787628739,-0.0040200213,0.03125453
2005-09-06 00:00:00+00,SHORT,401,0.625828394630446,-0.003378308,0.05596961
2005-09-06 00:00:00+00,SHORT,535,0.610778561860768,-0.0011297856,0.11893202
2005-09-06 00:00:00+00,SHORT,1022,0.5856832572785654,0.014861729,0.102624856
2005-09-06 00:00:00+00,SHORT,1076,0.5268388940868272,0.0068792887,0.037480284
2005-09-06 00:00:00+00,SHORT,1514,0.6322647594946551,-0.0017927474,0.05957043
2005-09-07 00:00:00+00,SHORT,3918,0.5390967500112482,0.003643992,0.13852897
2005-09-08 00:00:00+00,SHORT,2050,0.7457335855584232,-0.001251156,0.0767633
2005-09-08 00:00:00+00,SHORT,2095,0.5055051885223582,0.0027030997,0.14279969
2005-09-09 00:00:00+00,SHORT,191,0.0,0.015663026,0.09328671
2005-09-09 00:00:00+00,SHORT,2661,1.0,0.009855195,0.12982513
2005-09-12 00:00:00+00,SHORT,2640,0.0,-9.2104287E-4,0.10129328
2005-09-12 00:00:00+00,SHORT,988,1.0,-0.0043248925,0.102779366
2005-09-12 00:00:00+00,SHORT,1297,0.7597757005471123,0.0057499986,0.05710355
2005-09-12 00:00:00+00,SHORT,1767,0.5502642464024725,0.0028574038,0.09357341
2005-09-19 00:00:00+00,SHORT,2659,0.2621443178413516,0.01343773,0.09587197
2005-09-29 00:00:00+00,SHORT,1012,1.0,-0.0034025041,0.05654428
2005-09-29 00:00:00+00,SHORT,3754,0.48999192819101395,0.003253134,0.049676508
2005-09-30 00:00:00+00,SHORT,2381,0.1852625155030524,-7.829269E-4,0.11094109
2005-10-03 00:00:00+00,SHORT,2116,1.0,0.008280563,0.09564436
2005-10-03 00:00:00+00,SHORT,142,1.0,-0.0014852051,0.06934933
2005-10-03 00:00:00+00,SHORT,220,0.6555241429718353,-0.00490286,0.099306196
2005-10-03 00:00:00+00,SHORT,370,0.11683446163033723,-0.0048178704,0.051258944
2005-10-03 00:00:00+00,SHORT,2437,0.431268646291442,-0.0032388743,0.029424783
2005-10-03 00:00:00+00,SHORT,2473,0.8011610124360771,2.7906717E-4,0.061443284
2005-10-03 00:00:00+00,SHORT,2979,1.0,-0.0050957263,0.055442173
2005-10-03 00:00:00+00,SHORT,3114,0.7774963464060076,-0.0042856336,0.098515324
2005-10-03 00:00:00+00,SHORT,3471,1.0,-0.0043521062,0.11086183
2005-10-03 00:00:00+00,SHORT,1532,1.0,0.006314524,0.09043521
2005-10-03 00:00:00+00,SHORT,4062,0.2604219469703543,-0.0027386742,0.08268773
2005-10-04 00:00:00+00,SHORT,93,0.46559073133151685,-0.0039643287,0.11051748
2005-10-04 00:00:00+00,SHORT,4194,1.0,0.03626034,0.22456491
2005-10-04 00:00:00+00,SHORT,791,0.44143711571989197,-0.004635478,0.06396369
2005-10-04 00:00:00+00,SHORT,4034,1.0,0.0019026692,0.100821696
2005-10-07 00:00:00+00,SHORT,1939,1.0,-0.0021300456,0.17057283
2005-10-10 00:00:00+00,SHORT,4137,0.0,0.009745389,0.17051776
2005-10-11 00:00:00+00,SHORT,2613,0.0,0.017117502,0.06683975
2005-10-17 00:00:00+00,SHORT,183,0.0,-0.005253435,0.0765336
2005-10-19 00:00:00+00,SHORT,2247,0.0,0.0034296853,0.034101225
2005-10-19 00:00:00+00,SHORT,2681,0.0,0.0010076344,0.062449705
2005-10-20 00:00:00+00,SHORT,2247,0.0,-0.0033731028,0.03570636
2005-10-20 00:00:00+00,SHORT,3716,0.0,-0.0013403998,0.079346746
2005-10-21 00:00:00+00,SHORT,522,0.5543575191872698,-6.8730273E-4,0.08090789
2005-10-21 00:00:00+00,SHORT,1220,0.0,0.014172163,0.069712125
2005-10-24 00:00:00+00,SHORT,3343,0.0,-0.0048433035,0.12715444
2005-10-24 00:00:00+00,SHORT,3430,0.3146163285139102,0.00525534,0.07164815
2005-10-25 00:00:00+00,SHORT,502,0.0,0.0018981985,0.28926
2005-10-25 00:00:00+00,SHORT,2863,0.5120240956347297,0.0050130766,0.07173814
2005-10-31 00:00:00+00,SHORT,1838,0.0,-0.0051880763,0.08774605
2005-11-02 00:00:00+00,SHORT,3275,0.0,0.0033426657,0.1191738
2005-11-02 00:00:00+00,SHORT,3310,0.0,-0.003927378,0.052142225
2005-11-03 00:00:00+00,SHORT,2196,0.14990815891824077,3.2590053E-4,0.05374051
2005-11-03 00:00:00+00,SHORT,576,0.4052312288576687,-0.0034916156,0.10050656
2005-11-03 00:00:00+00,SHORT,694,0.09018147770835146,0.0098694535,0.13758887
2005-11-03 00:00:00+00,SHORT,2932,0.0,-0.0041423934,0.18553197
2005-11-03 00:00:00+00,SHORT,3613,0.0,0.006199912,0.21557117
2005-11-04 00:00:00+00,SHORT,1368,0.0,0.032652058,0.12398639
2005-11-04 00:00:00+00,SHORT,3825,1.0,-0.002369446,0.08918103
2005-11-07 00:00:00+00,SHORT,1368,0.0,-3.253866E-4,0.12838587
2005-11-07 00:00:00+00,SHORT,3825,0.5042334768060086,-0.0036467842,0.08365616
2005-11-09 00:00:00+00,SHORT,710,0.33642895144459917,-0.0030436378,0.10253125
2005-11-21 00:00:00+00,SHORT,2142,0.16241656547440741,-0.004017296,0.088697575
2005-11-22 00:00:00+00,SHORT,1960,0.6109640145433266,0.020680817,0.1432682
2005-11-25 00:00:00+00,SHORT,2665,0.3040886593226361,-0.002813528,0.07816117
2005-12-01 00:00:00+00,SHORT,2297,0.564537023647769,0.004252731,0.09150099
2005-12-01 00:00:00+00,SHORT,2835,0.0,0.015628787,0.105712056
2005-12-01 00:00:00+00,SHORT,3456,0.2617417015520155,0.010809678,0.07470935
2005-12-02 00:00:00+00,SHORT,444,0.42154631942497545,0.0053045903,0.08001498
2005-12-02 00:00:00+00,SHORT,588,0.15189822580745158,0.008121937,0.10996508
2005-12-02 00:00:00+00,SHORT,2936,0.422881709579737,-0.0046231933,0.044806086
2005-12-02 00:00:00+00,SHORT,903,0.5960192588142917,-0.0020476796,0.032616135
2005-12-06 00:00:00+00,SHORT,3433,0.09329199058895249,8.910653E-4,0.1388913
2005-12-06 00:00:00+00,SHORT,3837,0.3743382745448297,-0.004170589,0.11919197
2005-12-06 00:00:00+00,SHORT,2041,0.0,0.0071158437,0.11266433
2005-12-07 00:00:00+00,SHORT,1615,0.0,-0.0019402531,0.08782171
2005-12-12 00:00:00+00,SHORT,675,0.5534669503837981,-6.8030605E-4,0.054848913
2005-12-14 00:00:00+00,SHORT,870,0.0,-0.0043676076,0.113131166
2005-12-14 00:00:00+00,SHORT,4005,0.3213857135443851,0.016641008,0.06911179
2005-12-16 00:00:00+00,SHORT,3052,0.25939308310238945,-0.0016967927,0.046499677
2005-12-19 00:00:00+00,SHORT,2971,0.0,0.018183457,0.08949412
2006-01-04 00:00:00+00,SHORT,2670,0.7248949887078712,-0.003315617,0.09138897
2006-01-05 00:00:00+00,SHORT,2396,0.07748582933668298,-0.004457154,0.068231024
2006-01-06 00:00:00+00,SHORT,19,0.0,2.3389659E-5,0.11491989
2006-01-06 00:00:00+00,SHORT,405,0.8396667998144538,-0.005641263,0.068063095
2006-01-06 00:00:00+00,SHORT,4016,1.0,-0.0013549962,0.08871665
2006-01-09 00:00:00+00,SHORT,200,0.2293554079895701,-0.004201842,0.12004525
2006-01-09 00:00:00+00,SHORT,2548,0.40751120322521006,-8.1847975E-5,0.045385826
2006-01-09 00:00:00+00,SHORT,1434,0.2420860315452285,0.0033583874,0.034404647
2006-01-09 00:00:00+00,SHORT,1762,0.0,-0.0021699115,0.09517065
2006-01-09 00:00:00+00,SHORT,3824,0.7151611929184389,0.005373621,0.06367888
2006-01-09 00:00:00+00,SHORT,1803,0.4480819002875423,-0.0043508476,0.050942797
2006-01-09 00:00:00+00,SHORT,3897,0.5195089152395977,0.004428344,0.14046265
2006-01-10 00:00:00+00,SHORT,2557,0.5624944867269864,0.0038114192,0.051029477
2006-01-10 00:00:00+00,SHORT,3473,0.17768242467481396,-0.0053194277,0.0582801
2006-01-11 00:00:00+00,SHORT,2090,0.1520704171339358,-0.0055457954,0.032437723
2006-01-11 00:00:00+00,SHORT,2440,0.24727226754644255,3.8112787E-4,0.129763
2006-01-11 00:00:00+00,SHORT,394,0.0,-0.0038702127,0.23433614
2006-01-11 00:00:00+00,SHORT,444,0.3193941435711926,5.1788444E-4,0.0500231
2006-01-11 00:00:00+00,SHORT,3127,0.16154701543700692,0.0103315925,0.09888956
2006-01-11 00:00:00+00,SHORT,1090,1.0,0.0060327426,0.092976905
2006-01-11 00:00:00+00,SHORT,3748,0.0,0.003988588,0.1619056
2006-01-12 00:00:00+00,SHORT,13,0.0,0.0065222955,0.04983883
