time,side,ticker_id,mv_dn_composite_labels,ma_cloud_diff_8_50_df007,earnings_drift_10_df011
2007-07-18 00:00:00+00,SHORT,2066,0.5083603451495944,0.07054538,0.10351035
2007-07-19 00:00:00+00,SHORT,2066,0.6261570985546676,0.08388775,0.1129613
2007-07-20 00:00:00+00,SHORT,2066,0.37705728344061573,0.08984003,0.101260126
2007-08-07 00:00:00+00,SHORT,2747,0.14388929685500887,0.012768183,0.095701076
2007-08-08 00:00:00+00,SHORT,2617,0.25255138819625683,0.01599813,0.096130274
2007-08-08 00:00:00+00,SHORT,631,0.48631932011092277,0.01829136,0.0955134
2007-08-08 00:00:00+00,SHORT,1176,0.0,0.0061427997,0.14570361
2007-08-08 00:00:00+00,SHORT,3802,0.36964248702422176,-0.005512093,0.12216301
2007-08-09 00:00:00+00,SHORT,133,0.659592942371495,0.025690386,0.13971397
2007-08-09 00:00:00+00,SHORT,2582,0.0,0.048071407,0.19368422
2007-08-09 00:00:00+00,SHORT,631,0.875,0.025344234,0.102951095
2007-08-09 00:00:00+00,SHORT,1176,0.27621176143566356,0.018621404,0.19053549
2007-08-09 00:00:00+00,SHORT,1191,0.0,0.050575044,0.1220477
2007-08-09 00:00:00+00,SHORT,3273,1.0,0.08813164,0.16271333
2007-08-09 00:00:00+00,SHORT,1297,0.5821203674088679,0.007612533,0.09272195
2007-08-09 00:00:00+00,SHORT,1300,0.4967122186680833,-0.01524279,0.122555524
2007-08-09 00:00:00+00,SHORT,1383,1.0,0.070654,0.14301701
2007-08-10 00:00:00+00,SHORT,4118,0.9550545426068823,0.020012118,0.095834866
2007-08-10 00:00:00+00,SHORT,2582,0.0,0.059756394,0.11182365
2007-08-10 00:00:00+00,SHORT,1191,0.0,0.062080108,0.1039552
2007-08-10 00:00:00+00,SHORT,1300,0.40706321210349444,-0.003043764,0.11954528
2007-08-10 00:00:00+00,SHORT,1306,0.26444966354264676,-0.03226594,0.09299098
2007-08-13 00:00:00+00,SHORT,2582,0.0,0.07115335,0.09202687
2007-08-13 00:00:00+00,SHORT,1306,0.204029872616778,-0.021552961,0.099236645
2007-08-14 00:00:00+00,SHORT,2582,0.0,0.08053174,0.09737651
2007-08-17 00:00:00+00,SHORT,1064,0.21758346766112788,0.002250708,0.096491806
2007-09-21 00:00:00+00,SHORT,2175,0.0,-0.036513194,0.13396049
2007-09-24 00:00:00+00,SHORT,2175,0.0,-0.02134596,0.110065855
2007-10-11 00:00:00+00,SHORT,900,0.48590513077700537,0.05076544,0.120207086
2007-10-12 00:00:00+00,SHORT,900,0.4866785225331431,0.061316524,0.10014561
2007-11-13 00:00:00+00,SHORT,2778,1.0,-0.0032447367,0.1080786
2007-11-29 00:00:00+00,SHORT,11,0.0,0.02006335,0.10758098
