time,side,ticker_id,mv_up_composite_labels,dist_low52_vol_norm_60_df015,dist_lower_bb_50_2.0_df055
2005-05-17 00:00:00+00,LONG,4187,0.7545556912630998,0.11035141,0.010882892
2005-05-17 00:00:00+00,LONG,1173,0.975609756097561,0.15158784,-0.021720247
2005-05-17 00:00:00+00,LONG,1838,0.5625,0.14182965,-0.008818497
2005-05-17 00:00:00+00,LONG,4050,1.0,0.13139445,0.012200396
2005-05-18 00:00:00+00,LONG,1173,0.9512195121951219,0.14687587,-0.020092582
2005-05-18 00:00:00+00,LONG,4050,0.9772727272727273,0.1364257,4.7763108E-4
2005-05-19 00:00:00+00,LONG,4187,0.8846153846153846,0.11169653,-0.01571829
2005-05-20 00:00:00+00,LONG,1173,0.9024390243902439,0.14330941,-0.024694812
2005-05-25 00:00:00+00,LONG,3646,0.12165522041714738,0.122099124,-0.025739366
2005-05-31 00:00:00+00,LONG,1473,0.907052904020273,0.13828492,0.0016226039
2005-06-01 00:00:00+00,LONG,3420,0.3647742375777418,0.112716615,-0.023184959
2005-06-02 00:00:00+00,LONG,3646,0.010118975773177304,0.12593213,-0.018324586
2005-06-03 00:00:00+00,LONG,457,0.2900025597388019,0.11231939,0.016631521
2005-06-03 00:00:00+00,LONG,3646,0.0,0.113112256,-0.014967044
2005-06-06 00:00:00+00,LONG,457,0.21271652532649307,0.11614127,0.004658182
2005-06-07 00:00:00+00,LONG,457,0.2632154612761643,0.12751338,-0.012160276
2005-06-07 00:00:00+00,LONG,3646,0.0,0.14083007,-0.019381948
2005-06-08 00:00:00+00,LONG,2408,0.0,0.13803883,-0.020094505
2005-06-08 00:00:00+00,LONG,457,0.20012035316071572,0.11680322,-0.0052601555
2005-06-09 00:00:00+00,LONG,457,0.12816864259443098,0.1198151,-0.012780505
2005-06-09 00:00:00+00,LONG,3646,0.0,0.14008546,-0.017970819
2005-06-10 00:00:00+00,LONG,457,0.06447220094534159,0.12533036,-0.022539515
2005-06-10 00:00:00+00,LONG,937,0.0,0.13822204,-0.005216366
2005-06-16 00:00:00+00,LONG,2751,0.0,0.11563561,-0.024088386
2005-06-20 00:00:00+00,LONG,2751,0.0,0.11510596,-0.017764596
2005-06-22 00:00:00+00,LONG,2410,0.0,0.12807788,-0.02420458
2005-06-22 00:00:00+00,LONG,2751,0.0,0.12950844,-0.023120224
2005-06-23 00:00:00+00,LONG,2751,0.0,0.1179055,-0.011072577
2005-06-23 00:00:00+00,LONG,3641,0.017241379310344862,0.11078621,-0.0115392525
2005-06-24 00:00:00+00,LONG,2751,0.0,0.12774174,-0.015496316
2005-06-24 00:00:00+00,LONG,3641,1.0,0.11606936,-0.009878775
2005-06-24 00:00:00+00,LONG,3646,0.0,0.14787331,-0.02234309
2005-06-27 00:00:00+00,LONG,2710,1.0,0.13702019,0.015772844
2005-06-27 00:00:00+00,LONG,2751,0.0,0.12212275,-0.0068818857
2005-06-27 00:00:00+00,LONG,3641,0.962962962962963,0.118232176,-0.0031885386
2005-06-28 00:00:00+00,LONG,2751,0.0,0.11964991,0.0015012725
2005-06-28 00:00:00+00,LONG,3641,0.0,0.14642547,-0.021830026
2005-06-28 00:00:00+00,LONG,3828,0.3924862044367972,0.11650123,-0.010934625
2005-06-29 00:00:00+00,LONG,3641,0.0,0.15261757,-0.01786289
2005-06-29 00:00:00+00,LONG,3828,0.38493893170384436,0.11298276,-0.01148915
2005-06-30 00:00:00+00,LONG,975,0.9375,0.12110117,-0.024942726
2005-06-30 00:00:00+00,LONG,3641,0.0,0.15129691,-0.013575627
2005-06-30 00:00:00+00,LONG,1715,0.0,0.14689937,-0.023609895
2005-07-01 00:00:00+00,LONG,2731,0.9736842105263158,0.124110594,0.0042023915
2005-07-01 00:00:00+00,LONG,975,0.5420288128463248,0.11624522,-0.024215633
2005-07-01 00:00:00+00,LONG,3641,0.0,0.14998992,-0.010180254
2005-07-01 00:00:00+00,LONG,1715,0.0,0.14889374,-0.015699608
2005-07-05 00:00:00+00,LONG,2731,0.8601851223162422,0.13601731,-0.022295823
2005-07-06 00:00:00+00,LONG,975,0.875,0.11418602,-0.02222231
2005-07-06 00:00:00+00,LONG,3791,0.37535843475304637,0.12065343,-0.018425874
2005-07-07 00:00:00+00,LONG,4169,0.07275306098769005,0.15341751,-0.018357353
2005-07-07 00:00:00+00,LONG,4223,0.0,0.113998905,-0.020415539
2005-07-07 00:00:00+00,LONG,2410,0.8148815244832741,0.13375725,-0.007134661
2005-07-07 00:00:00+00,LONG,2751,1.0,0.11392888,-7.2962296E-4
2005-07-07 00:00:00+00,LONG,3646,0.0,0.12241242,-0.008716535
2005-07-07 00:00:00+00,LONG,3791,0.4311845604692407,0.122800596,-0.017571693
2005-07-07 00:00:00+00,LONG,1846,0.22174903010638805,0.12912929,-0.0018067035
2005-07-08 00:00:00+00,LONG,2410,0.7571537549515692,0.15042359,-0.017459828
2005-07-08 00:00:00+00,LONG,2543,0.0,0.13411587,-0.021248281
2005-07-08 00:00:00+00,LONG,2751,0.0,0.12714466,-0.009513515
2005-07-08 00:00:00+00,LONG,3791,0.0,0.14202857,-0.023096228
2005-07-08 00:00:00+00,LONG,1846,0.5350750210974556,0.14000666,-0.008984833
2005-07-11 00:00:00+00,LONG,2747,0.0,0.12149785,-0.022106713
2005-07-11 00:00:00+00,LONG,2751,0.0,0.13095859,-0.011913984
2005-07-11 00:00:00+00,LONG,1633,0.35913138103841924,0.11946416,-0.0021373534
2005-07-11 00:00:00+00,LONG,1846,0.161441205572268,0.15053844,-0.014476174
2005-07-12 00:00:00+00,LONG,2410,0.760414728113707,0.14541814,-0.012643198
2005-07-12 00:00:00+00,LONG,2751,0.0,0.14129797,-0.018609706
2005-07-12 00:00:00+00,LONG,1139,0.35263752167541274,0.10912699,-0.024885653
2005-07-12 00:00:00+00,LONG,1633,0.2969396952922606,0.13435201,-0.015906854
2005-07-12 00:00:00+00,LONG,1731,0.8836797872481819,0.123649806,-0.02582136
2005-07-12 00:00:00+00,LONG,1846,0.44739117191118805,0.15369235,-0.013997476
2005-07-13 00:00:00+00,LONG,2410,0.7267710335929821,0.14393139,-0.01120767
2005-07-13 00:00:00+00,LONG,2751,0.8823529411764706,0.1252296,-0.008408499
2005-07-13 00:00:00+00,LONG,1633,0.2899917511888513,0.12468562,-0.014011492
2005-07-14 00:00:00+00,LONG,2410,0.5139620464691297,0.15367712,-0.014006945
2005-07-14 00:00:00+00,LONG,1633,0.2940541145797086,0.12001409,-0.015598687
2005-07-15 00:00:00+00,LONG,1633,0.0,0.11606667,-0.017323943
2005-07-19 00:00:00+00,LONG,3907,0.4456179508927362,0.12942858,-0.021352548
2005-07-26 00:00:00+00,LONG,1715,1.0,0.13849357,0.007451501
2005-07-27 00:00:00+00,LONG,1715,0.9814814814814815,0.14349051,-0.0048430557
2005-08-03 00:00:00+00,LONG,3531,0.0,0.1379872,-0.02553194
2005-08-08 00:00:00+00,LONG,3100,0.869998553947048,0.15462516,-0.01011753
2005-08-10 00:00:00+00,LONG,133,0.795752460395794,0.15370725,-0.009012932
2005-08-11 00:00:00+00,LONG,3621,0.177454596869109,0.11625239,0.009688937
2005-08-12 00:00:00+00,LONG,3621,0.0,0.13446765,-0.008441408
2005-08-15 00:00:00+00,LONG,3621,0.0,0.15373999,-0.024484923
2005-08-16 00:00:00+00,LONG,3621,0.0,0.15049705,-0.024105204
2005-08-17 00:00:00+00,LONG,1160,0.0,0.14046066,0.011169194
2005-08-17 00:00:00+00,LONG,1210,0.0,0.117818736,-0.01871649
2005-08-17 00:00:00+00,LONG,3621,0.0,0.1459135,-0.022874681
2005-08-18 00:00:00+00,LONG,1160,0.0,0.14604004,6.32843E-5
2005-08-18 00:00:00+00,LONG,1210,0.0,0.1224377,-0.021359678
2005-08-18 00:00:00+00,LONG,3621,0.0,0.13395952,-0.01706131
2005-08-19 00:00:00+00,LONG,2778,0.19317339074045858,0.121617585,0.005613205
2005-08-19 00:00:00+00,LONG,3021,0.44678866958971514,0.12141276,-0.022444425
2005-08-19 00:00:00+00,LONG,1160,0.0,0.14088075,-0.0024664472
2005-08-19 00:00:00+00,LONG,1210,0.0,0.12662695,-0.022359489
2005-08-19 00:00:00+00,LONG,3621,0.12707382588551652,0.12177979,-0.011718921
2005-08-22 00:00:00+00,LONG,2778,0.1575797168130933,0.11981909,-0.0066672433
2005-08-22 00:00:00+00,LONG,1160,0.0,0.14471857,-0.014031854
2005-08-23 00:00:00+00,LONG,2778,0.13014563752172503,0.11886614,-0.013723583
2005-08-23 00:00:00+00,LONG,1160,0.0,0.13448533,-0.019383669
2005-08-23 00:00:00+00,LONG,3621,0.08142735021225224,0.13077359,-0.02359685
2005-08-24 00:00:00+00,LONG,2778,0.1676372642809113,0.11065858,-0.02074755
2005-08-24 00:00:00+00,LONG,1160,0.0,0.12626915,-0.015328412
2005-08-24 00:00:00+00,LONG,1210,0.0,0.12384346,-0.018198546
2005-08-24 00:00:00+00,LONG,3531,0.0,0.124005094,-0.024209887
2005-08-24 00:00:00+00,LONG,1715,0.6111111111111112,0.13905118,-0.016875634
2005-08-25 00:00:00+00,LONG,2351,0.43617348121792254,0.11286643,-0.024575476
2005-08-25 00:00:00+00,LONG,1160,0.0,0.12833546,-0.020435024
2005-08-25 00:00:00+00,LONG,1210,0.0,0.13167857,-0.022779554
2005-08-26 00:00:00+00,LONG,1160,0.0,0.12365027,-0.019019132
2005-08-26 00:00:00+00,LONG,1210,0.0,0.12657656,-0.01685301
2005-08-26 00:00:00+00,LONG,1715,0.5740740740740741,0.14792752,-0.020389067
2005-08-29 00:00:00+00,LONG,1160,0.0,0.12858056,-0.025089063
2005-08-29 00:00:00+00,LONG,1210,0.0,0.13692947,-0.024244605
2005-08-29 00:00:00+00,LONG,1715,0.5555555555555556,0.15361585,-0.024136659
2005-08-30 00:00:00+00,LONG,1160,0.0,0.12115204,-0.02090796
2005-08-30 00:00:00+00,LONG,1210,0.0,0.13159078,-0.01768141
2005-09-16 00:00:00+00,LONG,540,0.6296296296296297,0.11399226,-0.025270708
2005-09-20 00:00:00+00,LONG,2133,0.0,0.14922956,-0.019214248
2005-09-20 00:00:00+00,LONG,2253,0.011529267043915954,0.11749722,-0.022705078
2005-09-20 00:00:00+00,LONG,1160,0.0,0.12084766,-0.023470456
2005-09-20 00:00:00+00,LONG,1684,0.0,0.11912777,-0.018515011
2005-09-21 00:00:00+00,LONG,2133,0.0,0.1428874,-0.0022676247
2005-09-21 00:00:00+00,LONG,3621,0.0,0.12157924,-0.016406493
2005-09-21 00:00:00+00,LONG,1684,0.008762089157440872,0.11081857,4.4704782E-4
2005-09-21 00:00:00+00,LONG,1819,0.0,0.15413111,-7.3768344E-4
2005-09-22 00:00:00+00,LONG,2133,0.0,0.14737295,-0.003804413
2005-09-22 00:00:00+00,LONG,1684,0.0,0.11451568,7.5329235E-4
2005-09-23 00:00:00+00,LONG,2133,0.0,0.15044011,0.0018106216
2005-09-23 00:00:00+00,LONG,1684,0.0,0.11724019,0.002168704
2005-09-26 00:00:00+00,LONG,1684,0.0020370752463540177,0.11717134,0.0075664804
2005-09-27 00:00:00+00,LONG,1684,0.0,0.1230057,0.0055086794
2005-09-29 00:00:00+00,LONG,516,0.6879909449217477,0.12379041,0.0013379502
2005-09-30 00:00:00+00,LONG,516,0.6450519247129277,0.1342731,-0.0046852943
2005-10-03 00:00:00+00,LONG,516,0.712999549719481,0.12954575,-0.0021532371
2005-10-04 00:00:00+00,LONG,516,0.7829749713593191,0.11515178,0.0037047344
2005-10-05 00:00:00+00,LONG,516,0.782454197316132,0.11389815,0.0013268328
2005-10-06 00:00:00+00,LONG,516,0.8571428571428572,0.12316252,-0.0068090456
2005-10-06 00:00:00+00,LONG,3447,0.0,0.14329061,-0.016437577
